id,year,bus
1,1991,656105184
1,1992,650522389
1,1993,620555564
1,1994,605751527
1,1995,658518694
1,1996,637710185
1,1997,635046592
1,1998,689246563
1,1999,801718592
1,2000,821994536
1,2001,926017695
1,2002,976567696
1,2003,911622748
1,2004,893390100
1,2005,977056715
1,2006,1025549280
1,2007,972900135
1,2008,1023669105
1,2009,962613422
1,2010,949416965
1,2011,918379630
1,2012,926259260
1,2013,929197351
1,2014,921299294
1,2015,901881137
1,2016,910761347
1,2017,857530727
2,1991,116892846
2,1992,115815875
2,1993,120655000
2,1994,131085192
2,1995,137312337
2,1996,138079985
2,1997,142038360
2,1998,145491539
2,1999,147017247
2,2000,149779685
2,2001,152949280
2,2002,152143573
2,2003,147558238
2,2004,149619610
2,2005,156146589
2,2006,162266484
2,2007,167075915
2,2008,169281953
2,2009,170738602
2,2010,162224375
2,2011,155676004
2,2012,161680466
2,2013,161252466
2,2014,161229298
2,2015,162454667
2,2016,159895729
2,2017,154452189
3,1991,0
3,1992,0
3,1993,0
3,1994,0
3,1995,0
3,1996,0
3,1997,0
3,1998,0
3,1999,0
3,2000,0
3,2001,0
3,2002,0
3,2003,0
3,2004,0
3,2005,0
3,2006,0
3,2007,0
3,2008,0
3,2009,0
3,2010,0
3,2011,0
3,2012,0
3,2013,0
3,2014,0
3,2015,0
3,2016,0
3,2017,0
4,1991,0
4,1992,0
4,1993,0
4,1994,0
4,1995,0
4,1996,0
4,1997,0
4,1998,0
4,1999,0
4,2000,0
4,2001,0
4,2002,0
4,2003,0
4,2004,0
4,2005,0
4,2006,0
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
5,1991,0
5,1992,0
5,1993,0
5,1994,235648
5,1995,240254
5,1996,244554
5,1997,239395
5,1998,234899
5,1999,213435
5,2000,245310
5,2001,253853
5,2002,267089
5,2003,276397
5,2004,277674
5,2005,282353
5,2006,348013
5,2007,394877
5,2008,415008
5,2009,385419
5,2010,395635
5,2011,384738
5,2012,349030
5,2013,350523
5,2014,362976
5,2015,378103
5,2016,384044
5,2017,397913
6,1991,532266
6,1992,487934
6,1993,519246
