GEOID,year,pop,foreign
01007010001,2010,113.0,0.0
01007010002,2010,545.0,60.0
01007010003,2010,249.0,93.0
01007010004,2010,347.0,0.0
01009050101,2010,538.0,649.0
01009050102,2010,545.0,680.0
01009050200,2010,451.0,295.0
01009050300,2010,528.0,323.0
01009050400,2010,315.0,190.0
01009050500,2010,696.0,358.0
01009050601,2010,173.0,0.0
01009050602,2010,551.0,69.0
01009050700,2010,730.0,111.0
01021060101,2010,263.0,207.0
01021060102,2010,348.0,179.0
01021060200,2010,201.0,0.0
01021060300,2010,272.0,126.0
01021060401,2010,683.0,402.0
01021060402,2010,565.0,513.0
01021060500,2010,303.0,67.0
01021060600,2010,226.0,66.0
01021060700,2010,288.0,148.0
01073000100,2010,220.0,73.0
01073000300,2010,130.0,332.0
01073000400,2010,280.0,81.0
01073000500,2010,212.0,0.0
01073000700,2010,160.0,0.0
01073000800,2010,226.0,108.0
01073001100,2010,263.0,0.0
01073001200,2010,244.0,0.0
01073001400,2010,162.0,156.0
01073001500,2010,172.0,42.0
01073001600,2010,249.0,0.0
01073001902,2010,178.0,71.0
01073002000,2010,234.0,71.0
01073002100,2010,190.0,155.0
01073002200,2010,174.0,0.0
01073002303,2010,223.0,0.0
01073002305,2010,202.0,40.0
01073002306,2010,250.0,158.0
01073002400,2010,232.0,115.0
01073002700,2010,265.0,33.0
01073002900,2010,155.0,8.0
01073003001,2010,203.0,49.0
01073003002,2010,149.0,143.0
01073003100,2010,299.0,119.0
01073003200,2010,51.0,0.0
01073003300,2010,83.0,0.0
01073003400,2010,181.0,130.0
01073003500,2010,189.0,0.0
01073003600,2010,278.0,162.0
01073003700,2010,275.0,110.0
01073003802,2010,285.0,0.0
01073003803,2010,255.0,0.0
01073003900,2010,134.0,153.0
01073004000,2010,232.0,16.0
01073004200,2010,195.0,0.0
01073004500,2010,187.0,310.0
01073004701,2010,194.0,400.0
01073004702,2010,249.0,209.0
01073004800,2010,159.0,40.0
01073004901,2010,56.0,123.0
01073004902,2010,167.0,436.0
01073005000,2010,242.0,1293.0
01073005101,2010,91.0,0.0
01073005103,2010,127.0,0.0
01073005104,2010,138.0,677.0
01073005200,2010,317.0,0.0
01073005302,2010,279.0,56.0
01073005500,2010,115.0,9.0
01073005600,2010,280.0,148.0
01073005701,2010,181.0,17.0
01073005702,2010,267.0,0.0
01073005800,2010,178.0,872.0
01073005903,2010,250.0,260.0
