GEOID,year,black
01007010001,2010,73.0
01007010002,2010,304.0
01007010003,2010,833.0
01007010004,2010,2240.0
01009050101,2010,350.0
01009050102,2010,215.0
01009050200,2010,0.0
01009050300,2010,21.0
01009050400,2010,0.0
01009050500,2010,32.0
01009050601,2010,0.0
01009050602,2010,61.0
01009050700,2010,37.0
01021060101,2010,1256.0
01021060102,2010,480.0
01021060200,2010,0.0
01021060300,2010,70.0
01021060401,2010,281.0
01021060402,2010,602.0
01021060500,2010,686.0
01021060600,2010,241.0
01021060700,2010,436.0
01073000100,2010,2427.0
01073000300,2010,1766.0
01073000400,2010,3471.0
01073000500,2010,2994.0
01073000700,2010,2860.0
01073000800,2010,3322.0
01073001100,2010,5415.0
01073001200,2010,2958.0
01073001400,2010,2005.0
01073001500,2010,2550.0
01073001600,2010,3315.0
01073001902,2010,2374.0
01073002000,2010,2607.0
01073002100,2010,2114.0
01073002200,2010,2621.0
01073002303,2010,2820.0
01073002305,2010,1096.0
01073002306,2010,540.0
01073002400,2010,2692.0
01073002700,2010,2242.0
01073002900,2010,2202.0
01073003001,2010,2658.0
01073003002,2010,2066.0
01073003100,2010,3788.0
01073003200,2010,736.0
01073003300,2010,1306.0
01073003400,2010,2283.0
01073003500,2010,2886.0
01073003600,2010,4216.0
01073003700,2010,5682.0
01073003802,2010,5901.0
01073003803,2010,4880.0
01073003900,2010,1765.0
01073004000,2010,4364.0
01073004200,2010,2431.0
01073004500,2010,1399.0
01073004701,2010,630.0
01073004702,2010,115.0
01073004800,2010,40.0
01073004901,2010,207.0
01073004902,2010,821.0
01073005000,2010,1000.0
01073005101,2010,1746.0
01073005103,2010,2581.0
01073005104,2010,1841.0
01073005200,2010,4247.0
01073005302,2010,1785.0
01073005500,2010,1488.0
01073005600,2010,451.0
01073005701,2010,2604.0
01073005702,2010,3452.0
01073005800,2010,2066.0
01073005903,2010,2606.0
01073005905,2010,3179.0
01073005907,2010,1338.0
01073005908,2010,2673.0
01073005909,2010,1977.0
01073005910,2010,5424.0
01073010001,2010,1579.0
01073010002,2010,1221.0
01073010100,2010,2019.0
01073010200,2010,1842.0
01073010301,2010,1986.0
01073010302,2010,4338.0
01073010401,2010,2300.0
01073010402,2010,1903.0
01073010500,2010,1121.0
01073010602,2010,6017.0
01073010603,2010,2187.0
01073010701,2010,502.0
01073010702,2010,547.0
01073010703,2010,0.0
01073010704,2010,774.0
01073010705,2010,80.0
01073010706,2010,1289.0
01073010801,2010,92.0
01073010802,2010,0.0
01073010803,2010,2324.0
01073010804,2010,0.0
01073010805,2010,878.0
01073010900,2010,2984.0
01073011001,2010,508.0
01073011002,2010,1024.0
01073011104,2010,2837.0
01073011107,2010,609.0
01073011108,2010,484.0
01073011109,2010,123.0
01073011110,2010,450.0
01073011111,2010,586.0
01073011205,2010,221.0
01073011206,2010,572.0
01073011207,2010,2913.0
01073011208,2010,649.0
01073011209,2010,2986.0
01073011210,2010,1929.0
01073011301,2010,107.0
01073011302,2010,15.0
01073011400,2010,387.0
01073011500,2010,0.0
01073011600,2010,196.0
01073011703,2010,1036.0
01073011704,2010,57.0
01073011705,2010,301.0
01073011706,2010,83.0
01073011802,2010,3798.0
01073011803,2010,3782.0
01073011804,2010,2104.0
01073011901,2010,715.0
01073011904,2010,2564.0
01073012001,2010,2049.0
01073012002,2010,1967.0
01073012103,2010,2592.0
01073012104,2010,783.0
01073012200,2010,1148.0
01073012302,2010,59.0
01073012304,2010,1075.0
01073012305,2010,4257.0
01073012401,2010,3535.0
01073012402,2010,1196.0
01073012403,2010,1187.0
01073012500,2010,1207.0
01073012602,2010,517.0
01073012701,2010,558.0
01073012703,2010,154.0
01073012704,2010,212.0
01073012802,2010,12.0
01073012803,2010,133.0
01073012905,2010,48.0
01073012906,2010,891.0
01073012907,2010,530.0
01073012908,2010,1073.0
01073012910,2010,121.0
01073012911,2010,0.0
01073012912,2010,2042.0
01073012913,2010,1448.0
01073012914,2010,142.0
01073012915,2010,341.0
01073013002,2010,1548.0
01073013100,2010,4187.0
01073013200,2010,1945.0
01073013300,2010,2425.0
01073013400,2010,3678.0
01073013601,2010,3224.0
01073013801,2010,2210.0
01073013901,2010,1337.0
01073013902,2010,363.0
01073014001,2010,0.0
01073014002,2010,498.0
01073014102,2010,328.0
01073014104,2010,1562.0
01073014105,2010,2964.0
01073014203,2010,2004.0
01073014204,2010,966.0
01073014301,2010,710.0
01073014302,2010,1331.0
01073014404,2010,736.0
01073014405,2010,410.0
01073014406,2010,326.0
01073014408,2010,824.0
01073014409,2010,34.0
01073014410,2010,566.0
01073014412,2010,117.0
01073014413,2010,745.0
01113030200,2010,1456.0
01113030300,2010,860.0
01113030401,2010,1201.0
01113030402,2010,592.0
01113030500,2010,497.0
01113030600,2010,4079.0
01113030700,2010,2564.0
01113030800,2010,3429.0
01113030901,2010,710.0
01113030902,2010,2561.0
01113031000,2010,545.0
01113031100,2010,1365.0
01113031200,2010,1625.0
01115040103,2010,513.0
01115040104,2010,126.0
01115040105,2010,69.0
01115040106,2010,337.0
01115040201,2010,229.0
01115040203,2010,1259.0
01115040204,2010,288.0
01115040205,2010,184.0
01115040300,2010,434.0
01115040401,2010,573.0
01115040402,2010,245.0
01115040501,2010,539.0
01115040502,2010,2110.0
01117030102,2010,929.0
01117030103,2010,37.0
01117030211,2010,105.0
01117030212,2010,823.0
