GEOID,year,latino
01007010001,2010,0.0
01007010002,2010,9.0
01007010003,2010,125.0
01007010004,2010,0.0
01009050101,2010,1211.0
01009050102,2010,1034.0
01009050200,2010,494.0
01009050300,2010,414.0
01009050400,2010,198.0
01009050500,2010,481.0
01009050601,2010,29.0
01009050602,2010,163.0
01009050700,2010,222.0
01021060101,2010,428.0
01021060102,2010,271.0
01021060200,2010,0.0
01021060300,2010,152.0
01021060401,2010,474.0
01021060402,2010,1006.0
01021060500,2010,158.0
01021060600,2010,104.0
01021060700,2010,213.0
01073000100,2010,128.0
01073000300,2010,537.0
01073000400,2010,311.0
01073000500,2010,37.0
01073000700,2010,0.0
01073000800,2010,65.0
01073001100,2010,0.0
01073001200,2010,0.0
01073001400,2010,157.0
01073001500,2010,0.0
01073001600,2010,0.0
01073001902,2010,83.0
01073002000,2010,82.0
01073002100,2010,155.0
01073002200,2010,0.0
01073002303,2010,0.0
01073002305,2010,0.0
01073002306,2010,56.0
01073002400,2010,118.0
01073002700,2010,83.0
01073002900,2010,86.0
01073003001,2010,38.0
01073003002,2010,141.0
01073003100,2010,258.0
01073003200,2010,0.0
01073003300,2010,0.0
01073003400,2010,130.0
01073003500,2010,23.0
01073003600,2010,86.0
01073003700,2010,334.0
01073003802,2010,0.0
01073003803,2010,0.0
01073003900,2010,185.0
01073004000,2010,14.0
01073004200,2010,0.0
01073004500,2010,32.0
01073004701,2010,194.0
01073004702,2010,60.0
01073004800,2010,0.0
01073004901,2010,0.0
01073004902,2010,82.0
01073005000,2010,863.0
01073005101,2010,7.0
01073005103,2010,37.0
01073005104,2010,812.0
01073005200,2010,14.0
01073005302,2010,0.0
01073005500,2010,61.0
01073005600,2010,90.0
01073005701,2010,17.0
01073005702,2010,0.0
01073005800,2010,817.0
01073005903,2010,307.0
01073005905,2010,284.0
01073005907,2010,25.0
01073005908,2010,172.0
01073005909,2010,0.0
01073005910,2010,0.0
01073010001,2010,93.0
01073010002,2010,26.0
01073010100,2010,0.0
01073010200,2010,0.0
01073010301,2010,31.0
01073010302,2010,49.0
01073010401,2010,150.0
01073010402,2010,90.0
01073010500,2010,0.0
01073010602,2010,0.0
01073010603,2010,39.0
01073010701,2010,571.0
01073010702,2010,247.0
01073010703,2010,0.0
01073010704,2010,505.0
01073010705,2010,84.0
01073010706,2010,140.0
01073010801,2010,0.0
01073010802,2010,0.0
01073010803,2010,154.0
01073010804,2010,131.0
01073010805,2010,165.0
01073010900,2010,340.0
01073011001,2010,437.0
01073011002,2010,0.0
01073011104,2010,58.0
01073011107,2010,164.0
01073011108,2010,16.0
01073011109,2010,9.0
01073011110,2010,0.0
01073011111,2010,254.0
01073011205,2010,0.0
01073011206,2010,99.0
01073011207,2010,160.0
01073011208,2010,38.0
01073011209,2010,24.0
01073011210,2010,335.0
01073011301,2010,87.0
01073011302,2010,143.0
01073011400,2010,0.0
01073011500,2010,0.0
01073011600,2010,75.0
01073011703,2010,35.0
01073011704,2010,25.0
01073011705,2010,546.0
01073011706,2010,102.0
01073011802,2010,175.0
01073011803,2010,135.0
01073011804,2010,0.0
01073011901,2010,274.0
01073011904,2010,0.0
01073012001,2010,207.0
01073012002,2010,78.0
01073012103,2010,194.0
01073012104,2010,133.0
01073012200,2010,58.0
01073012302,2010,11.0
01073012304,2010,0.0
01073012305,2010,0.0
01073012401,2010,0.0
01073012402,2010,19.0
01073012403,2010,70.0
01073012500,2010,262.0
01073012602,2010,52.0
01073012701,2010,750.0
01073012703,2010,180.0
01073012704,2010,0.0
