GEOID,year,white
01007010001,2010,2935.0
01007010002,2010,5921.0
01007010003,2010,4009.0
01007010004,2010,6039.0
01009050101,2010,5603.0
01009050102,2010,5535.0
01009050200,2010,3306.0
01009050300,2010,4720.0
01009050400,2010,4221.0
01009050500,2010,6626.0
01009050601,2010,3288.0
01009050602,2010,8598.0
01009050700,2010,8840.0
01021060101,2010,2988.0
01021060102,2010,4847.0
01021060200,2010,2524.0
01021060300,2010,3532.0
01021060401,2010,4607.0
01021060402,2010,7484.0
01021060500,2010,2243.0
01021060600,2010,2929.0
01021060700,2010,4321.0
01073000100,2010,796.0
01073000300,2010,154.0
01073000400,2010,263.0
01073000500,2010,150.0
01073000700,2010,0.0
01073000800,2010,256.0
01073001100,2010,294.0
01073001200,2010,221.0
01073001400,2010,7.0
01073001500,2010,156.0
01073001600,2010,349.0
01073001902,2010,264.0
01073002000,2010,606.0
01073002100,2010,893.0
01073002200,2010,206.0
01073002303,2010,192.0
01073002305,2010,1669.0
01073002306,2010,2691.0
01073002400,2010,1248.0
01073002700,2010,860.0
01073002900,2010,31.0
01073003001,2010,181.0
01073003002,2010,120.0
01073003100,2010,41.0
01073003200,2010,0.0
01073003300,2010,0.0
01073003400,2010,161.0
01073003500,2010,423.0
01073003600,2010,553.0
01073003700,2010,171.0
01073003802,2010,375.0
01073003803,2010,27.0
01073003900,2010,27.0
01073004000,2010,186.0
01073004200,2010,47.0
01073004500,2010,1017.0
01073004701,2010,2221.0
01073004702,2010,2837.0
01073004800,2010,1917.0
01073004901,2010,822.0
01073004902,2010,1755.0
01073005000,2010,1878.0
01073005101,2010,22.0
01073005103,2010,169.0
01073005104,2010,492.0
01073005200,2010,52.0
01073005302,2010,1738.0
01073005500,2010,398.0
01073005600,2010,4200.0
01073005701,2010,84.0
01073005702,2010,206.0
01073005800,2010,768.0
01073005903,2010,2159.0
01073005905,2010,1895.0
01073005907,2010,722.0
01073005908,2010,1262.0
01073005909,2010,595.0
01073005910,2010,405.0
01073010001,2010,3750.0
01073010002,2010,3872.0
01073010100,2010,41.0
01073010200,2010,703.0
01073010301,2010,625.0
01073010302,2010,68.0
01073010401,2010,910.0
01073010402,2010,484.0
01073010500,2010,373.0
01073010602,2010,423.0
01073010603,2010,268.0
01073010701,2010,904.0
01073010702,2010,3927.0
01073010703,2010,2009.0
01073010704,2010,3675.0
01073010705,2010,2983.0
01073010706,2010,2619.0
01073010801,2010,5853.0
01073010802,2010,3468.0
01073010803,2010,3382.0
01073010804,2010,3026.0
01073010805,2010,6470.0
01073010900,2010,1705.0
01073011001,2010,4708.0
01073011002,2010,676.0
01073011104,2010,4603.0
01073011107,2010,8970.0
01073011108,2010,3880.0
01073011109,2010,3851.0
01073011110,2010,4670.0
01073011111,2010,6238.0
01073011205,2010,1819.0
01073011206,2010,4879.0
01073011207,2010,1853.0
01073011208,2010,2961.0
01073011209,2010,801.0
01073011210,2010,1206.0
01073011301,2010,3180.0
01073011302,2010,5763.0
01073011400,2010,6303.0
01073011500,2010,5390.0
01073011600,2010,3811.0
01073011703,2010,7286.0
01073011704,2010,4006.0
01073011705,2010,6862.0
01073011706,2010,2166.0
01073011802,2010,2920.0
01073011803,2010,1253.0
01073011804,2010,730.0
01073011901,2010,2123.0
01073011904,2010,35.0
01073012001,2010,2018.0
01073012002,2010,4650.0
01073012103,2010,2165.0
01073012104,2010,2115.0
01073012200,2010,2537.0
01073012302,2010,3674.0
01073012304,2010,1260.0
01073012305,2010,3479.0
01073012401,2010,287.0
01073012402,2010,1038.0
01073012403,2010,2431.0
01073012500,2010,2852.0
01073012602,2010,2210.0
01073012701,2010,2272.0
01073012703,2010,4371.0
01073012704,2010,1665.0
01073012802,2010,2536.0
01073012803,2010,4760.0
01073012905,2010,4071.0
01073012906,2010,4975.0
01073012907,2010,3647.0
01073012908,2010,2030.0
01073012910,2010,3092.0
01073012911,2010,5580.0
01073012912,2010,1653.0
01073012913,2010,1354.0
01073012914,2010,1806.0
01073012915,2010,5218.0
01073013002,2010,0.0
01073013100,2010,126.0
01073013200,2010,557.0
01073013300,2010,129.0
01073013400,2010,755.0
01073013601,2010,235.0
01073013801,2010,185.0
01073013901,2010,708.0
01073013902,2010,1743.0
01073014001,2010,4095.0
01073014002,2010,3020.0
01073014102,2010,4707.0
01073014104,2010,1659.0
01073014105,2010,1200.0
01073014203,2010,8490.0
01073014204,2010,7449.0
01073014301,2010,1904.0
01073014302,2010,2319.0
01073014404,2010,3778.0
01073014405,2010,3130.0
01073014406,2010,4904.0
01073014408,2010,1509.0
01073014409,2010,2903.0
01073014410,2010,3706.0
01073014412,2010,3928.0
01073014413,2010,6521.0
01113030200,2010,1110.0
01113030300,2010,2261.0
01113030401,2010,3891.0
01113030402,2010,1741.0
01113030500,2010,1453.0
01113030600,2010,1795.0
01113030700,2010,913.0
01113030800,2010,45.0
01113030901,2010,6442.0
01113030902,2010,2397.0
01113031000,2010,2587.0
01113031100,2010,425.0
01113031200,2010,2162.0
01115040103,2010,6234.0
01115040104,2010,5307.0
01115040105,2010,3324.0
01115040106,2010,5282.0
01115040201,2010,5031.0
01115040203,2010,4534.0
01115040204,2010,5281.0
01115040205,2010,5225.0
01115040300,2010,4942.0
01115040401,2010,4021.0
01115040402,2010,3123.0
01115040501,2010,10917.0
01115040502,2010,7470.0
01117030102,2010,3338.0
01117030103,2010,947.0
01117030211,2010,2357.0
01117030212,2010,1470.0
01117030213,2010,3319.0
01117030214,2010,6167.0
01117030215,2010,2718.0
01117030216,2010,5306.0
01117030217,2010,4433.0
01117030303,2010,5386.0
01117030304,2010,5156.0
01117030305,2010,4033.0
01117030306,2010,3002.0
01117030314,2010,2063.0
01117030315,2010,3314.0
01117030316,2010,4038.0
01117030317,2010,3348.0
01117030319,2010,1438.0
01117030320,2010,4277.0
01117030330,2010,4540.0
01117030331,2010,4180.0
01117030332,2010,981.0
01117030333,2010,4210.0
01117030334,2010,3028.0
01117030336,2010,4562.0
01117030337,2010,1127.0
01117030340,2010,4907.0
01117030341,2010,1292.0
01117030342,2010,2459.0
01117030344,2010,2061.0
01117030345,2010,2698.0
01117030405,2010,852.0
01117030406,2010,2151.0
01117030407,2010,1676.0
01117030408,2010,2211.0
01117030501,2010,4814.0
01117030502,2010,1177.0
01117030604,2010,5542.0
01117030605,2010,4860.0
01117030607,2010,4255.0
01117030608,2010,2408.0
01117030609,2010,5275.0
01117030701,2010,2677.0
01117030703,2010,3311.0
01117030704,2010,3894.0
01117030800,2010,3412.0
01117030900,2010,2571.0
01117980000,2010,0.0
01127020100,2010,2857.0
01127020200,2010,4091.0
01127020300,2010,6368.0
01127020400,2010,1393.0
01127020600,2010,2227.0
01127020700,2010,3265.0
01127020800,2010,5025.0
01127020900,2010,4515.0
01127021000,2010,3798.0
01127021100,2010,3728.0
01127021200,2010,3218.0
01127021300,2010,3074.0
01127021400,2010,3250.0
01127021500,2010,2992.0
01127021600,2010,1385.0
01127021700,2010,4327.0
01127021800,2010,3650.0
01127021900,2010,2139.0
04013010101,2010,3651.0
04013010102,2010,3886.0
04013030401,2010,3822.0
04013030402,2010,3356.0
04013040502,2010,3822.0
04013040506,2010,5592.0
04013040507,2010,6475.0
04013040512,2010,1915.0
04013040513,2010,2885.0
04013040514,2010,3157.0
04013040515,2010,3330.0
04013040516,2010,1170.0
04013040517,2010,4609.0
04013040518,2010,4110.0
04013040519,2010,2223.0
04013040520,2010,2818.0
04013040521,2010,2531.0
04013040522,2010,4192.0
04013040523,2010,3038.0
04013040524,2010,1086.0
04013040525,2010,3022.0
04013040526,2010,2219.0
04013040527,2010,3299.0
04013040528,2010,5747.0
04013040529,2010,2891.0
04013040530,2010,2812.0
04013040531,2010,2102.0
04013050603,2010,1900.0
04013050604,2010,1771.0
04013050605,2010,2411.0
04013050606,2010,4352.0
04013050607,2010,3739.0
04013050608,2010,4543.0
04013050609,2010,2472.0
04013050610,2010,3759.0
04013050611,2010,1022.0
04013050701,2010,2971.0
04013050702,2010,2006.0
04013060801,2010,2000.0
04013060802,2010,735.0
04013060901,2010,1761.0
04013060902,2010,499.0
04013060903,2010,1370.0
04013060904,2010,1375.0
04013061009,2010,3600.0
04013061010,2010,3310.0
04013061011,2010,3138.0
04013061012,2010,4828.0
04013061013,2010,2769.0
04013061014,2010,1921.0
04013061015,2010,3092.0
04013061016,2010,1082.0
04013061017,2010,1511.0
04013061018,2010,3700.0
04013061019,2010,1533.0
04013061020,2010,2367.0
04013061021,2010,580.0
04013061022,2010,4037.0
04013061023,2010,5118.0
04013061024,2010,1057.0
04013061025,2010,3900.0
04013061026,2010,3380.0
04013061027,2010,4087.0
04013061028,2010,1592.0
04013061029,2010,3038.0
04013061030,2010,4486.0
04013061031,2010,1398.0
04013061032,2010,3861.0
04013061033,2010,4584.0
04013061034,2010,3877.0
04013061035,2010,3559.0
04013061036,2010,1505.0
04013061037,2010,2230.0
04013061038,2010,2452.0
04013061039,2010,2346.0
04013061040,2010,2016.0
04013061041,2010,1365.0
04013061042,2010,1382.0
04013061043,2010,934.0
04013061044,2010,2766.0
04013061045,2010,3544.0
04013061046,2010,2693.0
04013061047,2010,1884.0
04013061100,2010,2063.0
04013061200,2010,2038.0
04013061300,2010,627.0
04013061401,2010,115.0
04013061402,2010,689.0
04013071503,2010,4845.0
04013071504,2010,3837.0
04013071505,2010,5220.0
04013071506,2010,3940.0
04013071509,2010,3633.0
04013071510,2010,3170.0
04013071511,2010,2554.0
04013071512,2010,4473.0
04013071513,2010,1494.0
04013071514,2010,2673.0
04013071515,2010,3320.0
04013071516,2010,2317.0
04013071517,2010,2304.0
04013071600,2010,1822.0
04013071701,2010,1312.0
04013071702,2010,3312.0
04013071801,2010,4778.0
04013071802,2010,2855.0
04013071903,2010,3759.0
04013071906,2010,2503.0
04013071909,2010,2766.0
04013071910,2010,3484.0
04013071911,2010,1840.0
04013071912,2010,1020.0
04013071913,2010,2154.0
04013071914,2010,1331.0
04013071915,2010,1881.0
04013082002,2010,2543.0
04013082007,2010,836.0
04013082008,2010,761.0
04013082009,2010,745.0
04013082010,2010,852.0
04013082012,2010,1134.0
04013082016,2010,1149.0
04013082017,2010,1399.0
04013082018,2010,788.0
04013082019,2010,1202.0
04013082020,2010,2024.0
04013082021,2010,1500.0
04013082022,2010,1228.0
04013082023,2010,2329.0
04013082024,2010,1624.0
04013082025,2010,633.0
04013082026,2010,1891.0
04013082027,2010,942.0
04013082028,2010,608.0
04013082203,2010,1145.0
04013082204,2010,1035.0
04013082205,2010,1541.0
04013082206,2010,342.0
04013082207,2010,848.0
04013082208,2010,432.0
04013082209,2010,149.0
04013082210,2010,1411.0
04013082211,2010,1904.0
04013083000,2010,623.0
04013092305,2010,2563.0
04013092306,2010,3573.0
04013092307,2010,3263.0
04013092308,2010,4327.0
04013092309,2010,3146.0
04013092311,2010,1357.0
04013092312,2010,2778.0
04013092401,2010,1658.0
04013092402,2010,1873.0
04013092500,2010,1424.0
04013092600,2010,786.0
