GEOID,year,asian
10020,2010,1195
10100,2010,324
10140,2010,987
10180,2010,2002
10220,2010,96
10260,2010,0
10300,2010,465
10380,2010,403
10420,2010,13533
10460,2010,895
10500,2010,1439
10540,2010,855
10580,2010,25863
10620,2010,1123
10660,2010,244
10700,2010,469
10740,2010,17912
10760,2010,22
10780,2010,1476
10820,2010,134
10860,2010,172
10880,2010,683
10900,2010,20003
10940,2010,169
10980,2010,147
11020,2010,748
11060,2010,329
11100,2010,5826
11140,2010,667
11180,2010,5331
11220,2010,330
11260,2010,21838
11300,2010,568
11340,2010,1104
11380,2010,111
11420,2010,150
11460,2010,27217
11500,2010,815
11540,2010,5902
11580,2010,99
11620,2010,483
11660,2010,159
11700,2010,3465
11740,2010,333
11780,2010,191
11820,2010,310
11860,2010,35
11900,2010,1763
11940,2010,341
11980,2010,409
12020,2010,5624
12060,2010,240770
12100,2010,20095
12140,2010,30
12180,2010,400
12220,2010,3417
12260,2010,9276
12300,2010,924
12380,2010,476
12420,2010,77778
12460,2010,105
12540,2010,32097
12580,2010,114986
12620,2010,1499
12660,2010,290
12700,2010,2250
12740,2010,458
12780,2010,665
12820,2010,27
12860,2010,245
12900,2010,326
12940,2010,13594
12980,2010,2217
13020,2010,602
13060,2010,763
13100,2010,110
13140,2010,9426
13180,2010,430
13220,2010,800
13260,2010,191
13300,2010,59
13340,2010,245
13380,2010,7274
13420,2010,607
13460,2010,1727
13500,2010,120
13540,2010,220
13620,2010,153
13660,2010,283
13700,2010,262
13740,2010,1148
13780,2010,6917
13820,2010,13459
13860,2010,260
13900,2010,376
13940,2010,306
13980,2010,5659
14020,2010,7141
14060,2010,6670
14100,2010,932
14140,2010,592
14180,2010,264
14220,2010,97
14260,2010,11127
14300,2010,106
14340,2010,50
14380,2010,431
14420,2010,92
14460,2010,282670
14500,2010,11856
14540,2010,2950
14580,2010,959
14620,2010,181
14660,2010,293
14700,2010,347
14740,2010,11859
14780,2010,468
14820,2010,312
14860,2010,40408
14940,2010,462
15020,2010,43
15060,2010,63
15100,2010,582
15140,2010,87
15180,2010,2638
15220,2010,108
15260,2010,1000
15340,2010,145
15380,2010,24687
15420,2010,228
15460,2010,419
15500,2010,1756
15540,2010,4506
15580,2010,168
15620,2010,166
15660,2010,471
15700,2010,301
15740,2010,141
15780,2010,38
15820,2010,111
15860,2010,1189
15900,2010,119
15940,2010,2888
15980,2010,8528
16020,2010,960
16060,2010,2055
16100,2010,302
16180,2010,1114
16220,2010,549
16260,2010,259
16300,2010,3781
16340,2010,291
16380,2010,190
16420,2010,67
16460,2010,162
16500,2010,560
16540,2010,1261
16580,2010,17659
16620,2010,2395
16660,2010,563
16700,2010,10083
16740,2010,51120
16820,2010,7236
16860,2010,6905
16900,2010,80
16940,2010,882
16980,2010,519771
17020,2010,8690
17060,2010,317
17140,2010,37742
17200,2010,201
17220,2010,379
17260,2010,134
17300,2010,4666
17340,2010,685
17380,2010,187
17420,2010,790
17460,2010,41022
17500,2010,241
17540,2010,285
17580,2010,749
17620,2010,10
17660,2010,665
17700,2010,159
17740,2010,277
17780,2010,9895
17820,2010,16193
17860,2010,5794
17900,2010,11728
17940,2010,352
17980,2010,4860
18020,2010,2410
18060,2010,412
18100,2010,109
18140,2010,54536
18180,2010,2122
18220,2010,53
18260,2010,844
18300,2010,668
18340,2010,143
18380,2010,264
18420,2010,86
18460,2010,974
18500,2010,1200
18580,2010,6116
18620,2010,279
18660,2010,387
18700,2010,4272
18740,2010,108
18820,2010,180
18860,2010,892
18880,2010,5633
18900,2010,217
18940,2010,142
18980,2010,355
19020,2010,583
19060,2010,523
19100,2010,319408
19140,2010,1345
19180,2010,365
19220,2010,292
19260,2010,517
19300,2010,1149
19340,2010,5502
19380,2010,14796
19460,2010,832
19500,2010,1067
19540,2010,50
19580,2010,113
19620,2010,353
19660,2010,7615
19700,2010,103
19740,2010,88754
19760,2010,259
19780,2010,16260
19820,2010,145842
19860,2010,276
19900,2010,28
19940,2010,123
19980,2010,570
20020,2010,1152
20060,2010,0
20100,2010,3527
20140,2010,577
20180,2010,369
20220,2010,997
20260,2010,2401
20300,2010,1056
20340,2010,227
20380,2010,978
20420,2010,241
20460,2010,228
20500,2010,21039
20540,2010,77
20580,2010,98
20620,2010,261
20660,2010,380
20700,2010,3530
20740,2010,3842
20780,2010,635
20820,2010,106
20900,2010,176
20940,2010,2698
20980,2010,270
21020,2010,558
21060,2010,2005
21120,2010,43
21140,2010,2210
21220,2010,516
21260,2010,840
21300,2010,876
21340,2010,8135
21380,2010,783
21420,2010,577
21460,2010,1159
21500,2010,2978
21540,2010,170
21580,2010,161
21640,2010,55
21660,2010,8314
21700,2010,2878
21740,2010,23
21780,2010,2898
21820,2010,2470
21860,2010,87
21900,2010,209
21940,2010,81
21980,2010,716
22020,2010,3691
22060,2010,1084
22100,2010,270
22140,2010,470
22180,2010,7574
22220,2010,9878
22260,2010,280
22280,2010,838
22300,2010,1211
22340,2010,77
22380,2010,1978
22420,2010,4188
22500,2010,1638
22520,2010,874
22540,2010,796
22580,2010,123
22620,2010,66
22660,2010,5383
22700,2010,259
22780,2010,1508
22800,2010,160
22820,2010,178
22840,2010,212
22860,2010,846
22900,2010,6192
22980,2010,178
23060,2010,8955
23140,2010,15
23180,2010,673
23240,2010,39
23300,2010,349
23340,2010,203
23380,2010,165
23420,2010,85253
23460,2010,616
23500,2010,294
23540,2010,12963
23580,2010,3117
23620,2010,273
23660,2010,496
23700,2010,464
23780,2010,1128
23820,2010,586
23860,2010,354
23900,2010,716
23940,2010,314
23980,2010,257
24020,2010,764
24100,2010,321
24140,2010,1286
24180,2010,329
24220,2010,1343
24260,2010,631
24300,2010,862
24340,2010,14778
24380,2010,65
24420,2010,577
24460,2010,72
24500,2010,525
24540,2010,3189
24580,2010,6421
24620,2010,290
24660,2010,20076
24700,2010,290
24740,2010,291
24780,2010,2418
24820,2010,142
24860,2010,10370
24900,2010,278
24940,2010,629
24980,2010,118
25020,2010,45
25060,2010,5618
25100,2010,185
25180,2010,2697
25220,2010,721
25260,2010,5810
25300,2010,57
25340,2010,295
25380,2010,127
25420,2010,14206
25460,2010,189
25500,2010,2308
25540,2010,44709
25580,2010,460
25620,2010,1204
25660,2010,76
25700,2010,293
25720,2010,125
25740,2010,467
25760,2010,25
25780,2010,215
25820,2010,59
25860,2010,8753
25900,2010,44461
25940,2010,1659
25980,2010,1208
26020,2010,102
26100,2010,6761
26140,2010,1851
26180,2010,420137
26220,2010,321
26260,2010,47
26300,2010,777
26340,2010,980
26380,2010,1833
26420,2010,365123
26460,2010,1017
26480,2010,75
26500,2010,217
26540,2010,165
26580,2010,1421
26620,2010,8664
26660,2010,697
26700,2010,362
26740,2010,308
26780,2010,229
26820,2010,902
26860,2010,737
26900,2010,36559
26940,2010,118
26980,2010,6767
27020,2010,90
27060,2010,9048
27100,2010,1206
27140,2010,5381
27180,2010,960
27220,2010,312
27260,2010,44020
27300,2010,101
27340,2010,3271
27380,2010,223
27420,2010,56
27460,2010,780
27500,2010,1534
27540,2010,154
27580,2010,37
27620,2010,1124
27660,2010,107
27700,2010,94
27740,2010,1422
27780,2010,819
27860,2010,1131
27900,2010,1704
27940,2010,1830
27980,2010,39224
28020,2010,5750
28060,2010,449
28100,2010,1027
28140,2010,44589
28180,2010,22012
28260,2010,541
28300,2010,851
28340,2010,172
28380,2010,18
28420,2010,6094
28500,2010,490
28540,2010,803
28580,2010,802
28620,2010,86
28660,2010,9466
28700,2010,1419
28740,2010,3105
28780,2010,727
28820,2010,245
28860,2010,324
28900,2010,618
28940,2010,9438
28980,2010,2714
29020,2010,832
29060,2010,611
29100,2010,4555
29140,2010,10353
29180,2010,3553
29220,2010,117
29260,2010,188
29300,2010,941
29340,2010,1853
29380,2010,449
29420,2010,1932
29460,2010,9264
29500,2010,24
29540,2010,9464
29580,2010,451
29620,2010,16690
29660,2010,947
29700,2010,1700
29740,2010,2211
29780,2010,81
29820,2010,157974
29860,2010,139
29900,2010,109
29940,2010,4206
29980,2010,151
30020,2010,2593
30060,2010,131
30100,2010,3081
30140,2010,1252
30220,2010,104
30260,2010,556
30280,2010,117
30300,2010,468
30340,2010,788
30380,2010,77
30420,2010,129
30460,2010,10558
30500,2010,2304
30580,2010,712
30620,2010,772
30660,2010,88
30700,2010,9857
30740,2010,416
30780,2010,9909
30820,2010,169
30860,2010,1920
30900,2010,323
30940,2010,281
30980,2010,1859
31020,2010,1477
31060,2010,974
31100,2010,1861342
31140,2010,18751
31180,2010,5323
31260,2010,599
31300,2010,963
31340,2010,2898
31380,2010,634
31420,2010,2745
31460,2010,2938
31500,2010,235
31540,2010,21811
31580,2010,234
31620,2010,164
31660,2010,565
31700,2010,13155
31740,2010,4358
31820,2010,1881
31860,2010,1590
31900,2010,840
31920,2010,140
31940,2010,215
31980,2010,303
32020,2010,381
32060,2010,455
32100,2010,364
32140,2010,540
32180,2010,103
32220,2010,353
32260,2010,444
32270,2010,1395
32280,2010,436
32300,2010,286
32340,2010,362
32380,2010,389
32420,2010,322
32460,2010,136
32500,2010,45
32540,2010,191
32580,2010,7190
32620,2010,249
32660,2010,224
32700,2010,160
32740,2010,335
32780,2010,2331
32820,2010,23950
32860,2010,944
32900,2010,18668
32940,2010,626
32980,2010,144
33020,2010,29
33060,2010,202
33100,2010,124143
33140,2010,618
33180,2010,22
33220,2010,1372
33260,2010,1646
33300,2010,648
33340,2010,43645
33380,2010,168
33420,2010,213
33460,2010,178813
33500,2010,535
33540,2010,1093
33580,2010,24
33620,2010,127
33660,2010,7393
33700,2010,26682
33740,2010,1367
33780,2010,673
33820,2010,135
33860,2010,5153
33940,2010,252
33980,2010,498
34020,2010,826
34060,2010,2842
34100,2010,520
34140,2010,685
34180,2010,877
34220,2010,301
34260,2010,186
34300,2010,406
34340,2010,326
34380,2010,1112
34420,2010,250
34460,2010,7
34500,2010,226
34540,2010,503
34580,2010,2113
34620,2010,1207
34660,2010,584
34700,2010,367
34740,2010,1013
34780,2010,451
34820,2010,2986
34860,2010,664
34900,2010,8761
34940,2010,3441
34980,2010,34600
35020,2010,195
35060,2010,185
35100,2010,1647
35140,2010,158
35220,2010,131
35260,2010,350
35300,2010,29466
35340,2010,1741
35380,2010,30551
35420,2010,250
35460,2010,127
35500,2010,130
35580,2010,246
35620,2010,1832106
35660,2010,2547
35700,2010,127
35740,2010,261
35820,2010,193
35840,2010,10572
35860,2010,37
35900,2010,334
35940,2010,205
35980,2010,11071
36020,2010,3194
36060,2010,147
36100,2010,4439
36140,2010,756
36180,2010,440
36220,2010,994
36260,2010,7909
36300,2010,1037
36340,2010,158
36380,2010,362
36420,2010,33666
36460,2010,475
36500,2010,13027
36540,2010,15714
36580,2010,570
36620,2010,390
36660,2010,340
36700,2010,601
36740,2010,80885
36780,2010,3870
36820,2010,169
36860,2010,871
36900,2010,305
36940,2010,306
36980,2010,533
37020,2010,221
37060,2010,917
37100,2010,55733
37140,2010,533
37220,2010,578
37260,2010,518
37300,2010,307
37340,2010,11035
37380,2010,1723
37420,2010,107
37460,2010,3784
37500,2010,57
37540,2010,44
37580,2010,266
37620,2010,779
37660,2010,114
37700,2010,2823
37740,2010,70
37780,2010,29
37800,2010,368
37820,2010,745
37860,2010,11242
37900,2010,6531
37940,2010,64
37980,2010,282034
38020,2010,558
38060,2010,130405
38100,2010,289
38180,2010,64
38200,2010,54
38220,2010,658
38260,2010,558
38300,2010,39324
38340,2010,1539
38380,2010,127
38420,2010,234
38460,2010,770
38500,2010,265
38540,2010,883
38580,2010,89
38620,2010,266
38660,2010,241
38700,2010,189
38740,2010,221
38780,2010,148
38820,2010,1154
38860,2010,8063
38900,2010,121476
38940,2010,5687
39020,2010,255
39060,2010,789
39100,2010,19157
39140,2010,1445
39220,2010,113
39260,2010,47
39300,2010,40927
39340,2010,6793
39380,2010,1196
39420,2010,3298
39460,2010,1708
39500,2010,429
39540,2010,2378
39580,2010,44747
39660,2010,1325
39700,2010,58
39740,2010,5140
39780,2010,755
39820,2010,4414
39860,2010,260
39900,2010,20973
39940,2010,381
39980,2010,545
40060,2010,36675
40080,2010,891
40100,2010,143
40140,2010,245796
40180,2010,201
40220,2010,4435
40260,2010,341
40300,2010,344
40340,2010,7749
40380,2010,25909
40420,2010,7415
40460,2010,265
40500,2010,220
40540,2010,232
40580,2010,791
40620,2010,1300
40660,2010,1320
40700,2010,1010
40740,2010,491
40760,2010,33
40780,2010,830
40820,2010,814
40860,2010,306
40900,2010,249756
40940,2010,262
40980,2010,2207
41060,2010,3271
41100,2010,1130
41140,2010,711
41180,2010,56602
41220,2010,748
41260,2010,101
41420,2010,7201
41460,2010,1275
41500,2010,25553
41540,2010,2648
41580,2010,1309
41620,2010,33478
41660,2010,1165
41700,2010,41017
41740,2010,326825
41780,2010,449
41820,2010,595
41860,2010,979071
41900,2010,99
41940,2010,548496
41980,2010,11108
42020,2010,8158
42060,2010,20663
42100,2010,10556
42140,2010,1622
42180,2010,13
42220,2010,18764
42300,2010,272
42340,2010,7008
42380,2010,306
42420,2010,223
42460,2010,108
42500,2010,33
42540,2010,6087
42580,2010,1990
42620,2010,421
42660,2010,371578
42680,2010,1551
42700,2010,1270
42740,2010,214
42780,2010,204
42820,2010,167
42860,2010,353
42900,2010,198
42940,2010,756
42980,2010,309
43060,2010,379
43100,2010,5064
43140,2010,832
43180,2010,238
43220,2010,730
43260,2010,160
43300,2010,1027
43320,2010,381
43340,2010,4391
43380,2010,403
43420,2010,2486
43460,2010,163
43500,2010,161
43540,2010,308
43580,2010,3467
43620,2010,3029
43660,2010,83
43700,2010,231
43740,2010,173
43780,2010,5294
43860,2010,696
43900,2010,5436
43940,2010,225
43980,2010,94
44020,2010,56
44060,2010,10244
44100,2010,2978
44140,2010,16724
44180,2010,4609
44220,2010,791
44260,2010,1144
44300,2010,7863
44340,2010,1029
44380,2010,2632
44420,2010,711
