GEOID,year,black
10020,2010,8138
10100,2010,159
10140,2010,708
10180,2010,12020
10220,2010,904
10260,2010,293
10300,2010,2389
10380,2010,9592
10420,2010,84306
10460,2010,2474
10500,2010,81402
10540,2010,584
10580,2010,62970
10620,2010,6835
10660,2010,222
10700,2010,1471
10740,2010,22237
10760,2010,14969
10780,2010,45029
10820,2010,239
10860,2010,307
10880,2010,1433
10900,2010,38121
10940,2010,1316
10980,2010,158
11020,2010,2187
11060,2010,1906
11100,2010,14700
11140,2010,18112
11180,2010,2072
11220,2010,747
11260,2010,16095
11300,2010,9245
11340,2010,28906
11380,2010,148
11420,2010,180
11460,2010,42746
11500,2010,23928
11540,2010,1639
11580,2010,4583
11620,2010,3435
11660,2010,5351
11700,2010,19621
11740,2010,321
11780,2010,3516
11820,2010,233
11860,2010,1026
11900,2010,1759
11940,2010,2129
11980,2010,5061
12020,2010,37421
12060,2010,1637937
12100,2010,43905
12140,2010,88
12180,2010,3397
12220,2010,30775
12260,2010,194154
12300,2010,844
12380,2010,743
12420,2010,121698
12460,2010,11508
12540,2010,45273
12580,2010,765145
12620,2010,1015
12660,2010,454
12700,2010,4182
12740,2010,443
12780,2010,1185
12820,2010,13351
12860,2010,1476
12900,2010,791
12940,2010,281075
12980,2010,14836
13020,2010,1582
13060,2010,4179
13100,2010,35
13140,2010,94671
13180,2010,2391
13220,2010,6492
13260,2010,210
13300,2010,3013
13340,2010,542
13380,2010,2177
13420,2010,332
13460,2010,505
13500,2010,15077
13540,2010,183
13620,2010,241
13660,2010,1166
13700,2010,1776
13740,2010,1042
13780,2010,9098
13820,2010,312834
13860,2010,178
13900,2010,475
13940,2010,200
13980,2010,7060
14020,2010,4770
14060,2010,11899
14100,2010,1196
14140,2010,4905
14180,2010,15877
14220,2010,14833
14260,2010,4679
14300,2010,2477
14340,2010,231
14380,2010,511
14420,2010,547
14460,2010,324172
14500,2010,2321
14540,2010,10587
14580,2010,318
14620,2010,979
14660,2010,500
14700,2010,210
14740,2010,6905
14780,2010,5988
14820,2010,1182
14860,2010,95224
14940,2010,133
15020,2010,10384
15060,2010,34
15100,2010,226
15140,2010,9616
15180,2010,1723
15220,2010,1552
15260,2010,25963
15340,2010,338
15380,2010,137980
15420,2010,44
15460,2010,1880
15500,2010,26668
15540,2010,2813
15580,2010,43
15620,2010,178
15660,2010,2159
15700,2010,8962
15740,2010,421
15780,2010,11761
15820,2010,1218
15860,2010,2659
15900,2010,1186
15940,2010,27861
15980,2010,48208
16020,2010,7976
16060,2010,8644
16100,2010,580
16180,2010,753
16220,2010,564
16260,2010,84
16300,2010,8274
16340,2010,5201
16380,2010,158
16420,2010,1360
16460,2010,1096
16500,2010,313
16540,2010,4684
16580,2010,25103
16620,2010,11487
16660,2010,2075
16700,2010,180591
16740,2010,397536
16820,2010,25371
16860,2010,71674
16900,2010,12444
16940,2010,2171
16980,2010,1645836
17020,2010,3220
17060,2010,3882
17140,2010,251044
17200,2010,167
17220,2010,1185
17260,2010,19873
17300,2010,48750
17340,2010,1378
17380,2010,23062
17420,2010,4167
17460,2010,416769
17500,2010,5874
17540,2010,1258
17580,2010,3409
17620,2010,3418
17660,2010,344
17700,2010,1989
17740,2010,1388
17780,2010,25846
17820,2010,35966
17860,2010,14339
17900,2010,247818
17940,2010,10247
17980,2010,117354
18020,2010,1287
18060,2010,25751
18100,2010,46
18140,2010,264666
18180,2010,1411
18220,2010,277
18260,2010,1549
18300,2010,302
18340,2010,189
18380,2010,10071
18420,2010,4095
18460,2010,1632
18500,2010,1681
18580,2010,15208
18620,2010,7375
18660,2010,656
18700,2010,870
18740,2010,375
18820,2010,278
18860,2010,991
18880,2010,16908
18900,2010,203
18940,2010,11074
18980,2010,729
19020,2010,7364
19060,2010,6197
19100,2010,910804
19140,2010,4215
19180,2010,10489
19220,2010,2366
19260,2010,35238
19300,2010,16613
19340,2010,25031
19380,2010,126005
19460,2010,17735
19500,2010,17300
19540,2010,118
19580,2010,712
19620,2010,772
19660,2010,49934
19700,2010,219
19740,2010,136622
19760,2010,4493
19780,2010,24803
19820,2010,989105
19860,2010,160
19900,2010,14663
19940,2010,1450
19980,2010,449
20020,2010,32882
20060,2010,12971
20100,2010,36160
20140,2010,20736
20180,2010,1758
20220,2010,1412
20260,2010,3799
20300,2010,234
20340,2010,845
20380,2010,22717
20420,2010,291
20460,2010,677
20500,2010,131713
20540,2010,5540
20580,2010,79
20620,2010,2241
20660,2010,5229
20700,2010,21589
20740,2010,1589
20780,2010,188
20820,2010,35
20900,2010,5953
20940,2010,5824
20980,2010,13823
21020,2010,20167
21060,2010,12381
21120,2010,539
21140,2010,10887
21220,2010,385
21260,2010,262
21300,2010,5344
21340,2010,22523
21380,2010,832
21420,2010,1517
21460,2010,18265
21500,2010,18911
21540,2010,58
21580,2010,212
21640,2010,14306
21660,2010,3312
21700,2010,1477
21740,2010,5
21780,2010,21417
21820,2010,4189
21860,2010,75
21900,2010,1827
21940,2010,7027
21980,2010,364
22020,2010,3725
22060,2010,1826
22100,2010,2727
22140,2010,817
22180,2010,126265
22220,2010,8659
22260,2010,475
22280,2010,533
22300,2010,1226
22340,2010,8908
22380,2010,1417
22420,2010,87527
22500,2010,83402
22520,2010,18140
22540,2010,1127
22580,2010,6583
22620,2010,14730
22660,2010,2192
22700,2010,1501
22780,2010,5785
22800,2010,1006
22820,2010,622
22840,2010,1120
22860,2010,7291
22900,2010,10358
22980,2010,12356
23060,2010,41342
23140,2010,174
23180,2010,5701
23240,2010,14
23300,2010,4252
23340,2010,181
23380,2010,1790
23420,2010,45704
23460,2010,15658
23500,2010,10881
23540,2010,49469
23580,2010,12743
23620,2010,1114
23660,2010,4274
23700,2010,495
23780,2010,736
23820,2010,90
23860,2010,20501
23900,2010,1518
23940,2010,234
23980,2010,2038
24020,2010,2525
24100,2010,1063
24140,2010,38103
24180,2010,318
24220,2010,1643
24260,2010,1100
24300,2010,856
24340,2010,61089
24380,2010,62
24420,2010,275
24460,2010,401
24500,2010,1083
24540,2010,1913
24580,2010,4663
24620,2010,1389
24660,2010,178305
24700,2010,92
24740,2010,36522
24780,2010,62640
24820,2010,185
24860,2010,102167
24900,2010,27136
24940,2010,21342
24980,2010,9164
25020,2010,8236
25060,2010,45884
25100,2010,291
25180,2010,20731
25220,2010,35253
25260,2010,11483
25300,2010,1463
25340,2010,1327
25380,2010,879
25420,2010,53730
25460,2010,91
25500,2010,4606
25540,2010,123509
25580,2010,166
25620,2010,38264
25660,2010,95
25700,2010,229
25720,2010,108
25740,2010,283
25760,2010,14204
25780,2010,22438
25820,2010,225
25860,2010,24517
25900,2010,1083
