GEOID,year,carpool
10020,2010,2149
10100,2010,1860
10140,2010,4001
10180,2010,8600
10220,2010,1959
10260,2010,486
10300,2010,4677
10380,2010,6552
10420,2010,22746
10460,2010,3605
10500,2010,8878
10540,2010,5039
10580,2010,36524
10620,2010,2830
10660,2010,1684
10700,2010,5677
10740,2010,46016
10760,2010,2852
10780,2010,6535
10820,2010,1644
10860,2010,1524
10880,2010,4223
10900,2010,34806
10940,2010,1776
10980,2010,1247
11020,2010,5925
11060,2010,1277
11100,2010,14216
11140,2010,2759
11180,2010,4774
11220,2010,2433
11260,2010,24702
11300,2010,5898
11340,2010,7727
11380,2010,816
11420,2010,1578
11460,2010,12940
11500,2010,4416
11540,2010,8479
11580,2010,2484
11620,2010,2879
11660,2010,1121
11700,2010,21896
11740,2010,1659
11780,2010,4017
11820,2010,2142
11860,2010,848
11900,2010,2313
11940,2010,2005
11980,2010,5336
12020,2010,9591
12060,2010,261013
12100,2010,11298
12140,2010,1885
12180,2010,3703
12220,2010,7162
12260,2010,26299
12300,2010,5329
12380,2010,1879
12420,2010,98933
12460,2010,1056
12540,2010,52166
12580,2010,129107
12620,2010,7310
12660,2010,3314
12700,2010,7225
12740,2010,3170
12780,2010,3290
12820,2010,878
12860,2010,2435
12900,2010,2143
12940,2010,38712
12980,2010,5947
13020,2010,3954
13060,2010,2244
13100,2010,1177
13140,2010,17133
13180,2010,4239
13220,2010,2346
13260,2010,1786
13300,2010,1053
13340,2010,1706
13380,2010,8861
13420,2010,2566
13460,2010,6501
13500,2010,1422
13540,2010,1927
13620,2010,1910
13660,2010,1695
13700,2010,1532
13740,2010,7846
13780,2010,10577
13820,2010,55062
13860,2010,1258
13900,2010,6423
13940,2010,2569
13980,2010,7730
14020,2010,9096
14060,2010,7986
14100,2010,3137
14140,2010,4165
14180,2010,2436
14220,2010,2261
14260,2010,27291
14300,2010,2028
14340,2010,1747
14380,2010,3172
14420,2010,1175
14460,2010,180561
14500,2010,13204
14540,2010,6591
14580,2010,6189
14620,2010,1859
14660,2010,4178
14700,2010,5409
14740,2010,14114
14780,2010,1530
14820,2010,1819
14860,2010,33728
14940,2010,3263
15020,2010,1254
15060,2010,1067
15100,2010,1617
15140,2010,749
15180,2010,19434
15220,2010,1455
15260,2010,5422
15340,2010,2140
15380,2010,43729
15420,2010,2090
15460,2010,2594
15500,2010,9273
15540,2010,12146
15580,2010,1494
15620,2010,2185
15660,2010,2318
15700,2010,1542
15740,2010,1474
15780,2010,1847
15820,2010,1100
15860,2010,2596
15900,2010,1666
15940,2010,15382
15980,2010,35915
16020,2010,4714
16060,2010,2130
16100,2010,3661
16180,2010,2346
16220,2010,4350
16260,2010,2818
16300,2010,11905
16340,2010,2439
16380,2010,1729
16420,2010,1290
16460,2010,1686
16500,2010,3960
16540,2010,7015
16580,2010,10608
16620,2010,12994
16660,2010,2920
16700,2010,29813
16740,2010,92854
16820,2010,10741
16860,2010,24973
16900,2010,1450
16940,2010,4305
16980,2010,392802
17020,2010,9437
17060,2010,2444
17140,2010,88317
17200,2010,2105
17220,2010,4500
17260,2010,1715
17300,2010,12326
17340,2010,2670
17380,2010,1439
17420,2010,4619
17460,2010,74742
17500,2010,2877
17540,2010,2074
17580,2010,2461
17620,2010,1291
17660,2010,6438
17700,2010,1719
17740,2010,1975
17780,2010,12381
17820,2010,29602
17860,2010,11188
17900,2010,34998
17940,2010,4541
17980,2010,12791
18020,2010,3383
18060,2010,2720
18100,2010,1267
18140,2010,71274
18180,2010,6277
18220,2010,991
18260,2010,4078
18300,2010,3018
18340,2010,1459
18380,2010,1405
18420,2010,1043
18460,2010,1917
18500,2010,4125
18580,2010,21977
18620,2010,3169
18660,2010,2089
18700,2010,3985
18740,2010,1370
18820,2010,1719
18860,2010,1304
