GEOID,year,drive
10020,2010,19959
10100,2010,17024
10140,2010,20720
10180,2010,59723
10220,2010,14072
10260,2010,3474
10300,2010,35770
10380,2010,61277
10420,2010,288236
10460,2010,20631
10500,2010,49306
10540,2010,37430
10580,2010,338826
10620,2010,21627
10660,2010,12005
10700,2010,30156
10740,2010,313236
10760,2010,17525
10780,2010,51642
10820,2010,14644
10860,2010,13287
10880,2010,42432
10900,2010,311727
10940,2010,13535
10980,2010,9988
11020,2010,46568
11060,2010,9600
11100,2010,96103
11140,2010,11363
11180,2010,34689
11220,2010,17133
11260,2010,136230
11300,2010,45708
11340,2010,66372
11380,2010,5108
11420,2010,14090
11460,2010,122046
11500,2010,39805
11540,2010,98518
11580,2010,7929
11620,2010,19387
11660,2010,7897
11700,2010,149064
11740,2010,19344
11780,2010,35862
11820,2010,12658
11860,2010,5735
11900,2010,17580
11940,2010,17637
11980,2010,24024
12020,2010,64759
12060,2010,1881294
12100,2010,94476
12140,2010,16010
12180,2010,29130
12220,2010,48794
12260,2010,190055
12300,2010,47167
12380,2010,14242
12420,2010,618506
12460,2010,8815
12540,2010,228547
12580,2010,1004703
12620,2010,57847
12660,2010,26224
12700,2010,83170
12740,2010,23284
12780,2010,18027
12820,2010,8417
12860,2010,24779
12900,2010,12250
12940,2010,298013
12980,2010,47053
13020,2010,40098
13060,2010,11369
13100,2010,8728
13140,2010,130578
13180,2010,35096
13220,2010,24638
13260,2010,16454
13300,2010,6665
13340,2010,17438
13380,2010,67972
13420,2010,15086
13460,2010,55316
13500,2010,7349
13540,2010,13603
13620,2010,14133
13660,2010,12055
13700,2010,9641
13740,2010,62519
13780,2010,91309
13820,2010,417400
13860,2010,5909
13900,2010,46981
13940,2010,14034
13980,2010,55621
14020,2010,65104
14060,2010,67985
14100,2010,31279
14140,2010,31872
14180,2010,14086
14220,2010,12199
14260,2010,215243
14300,2010,10913
14340,2010,10697
14380,2010,18336
14420,2010,7359
14460,2010,1570359
14500,2010,99407
14540,2010,46793
14580,2010,34073
14620,2010,14821
14660,2010,31889
14700,2010,27713
14740,2010,77368
14780,2010,11067
14820,2010,9671
14860,2010,314376
14940,2010,15407
15020,2010,11392
15060,2010,6072
15100,2010,12971
15140,2010,6363
15180,2010,106292
15220,2010,12742
15260,2010,38889
15340,2010,15482
15380,2010,421574
15420,2010,13274
15460,2010,17606
15500,2010,56390
15540,2010,81303
15580,2010,12497
15620,2010,15603
15660,2010,19821
15700,2010,12057
15740,2010,14001
15780,2010,9708
15820,2010,7817
15860,2010,10054
15900,2010,12311
15940,2010,156557
15980,2010,191232
16020,2010,36870
16060,2010,20747
16100,2010,17131
16180,2010,19914
16220,2010,30643
16260,2010,13469
16300,2010,107188
16340,2010,13140
16380,2010,16461
16420,2010,9297
16460,2010,13864
16500,2010,23327
16540,2010,56184
16580,2010,79257
16620,2010,105362
16660,2010,21950
16700,2010,249437
16740,2010,645418
16820,2010,69715
16860,2010,196203
16900,2010,10447
16940,2010,38343
16980,2010,3120815
17020,2010,65667
17060,2010,25844
17140,2010,821607
17200,2010,17625
17220,2010,31280
17260,2010,6368
17300,2010,94407
17340,2010,17475
17380,2010,10266
17420,2010,40708
17460,2010,784010
17500,2010,8892
17540,2010,19752
17580,2010,17188
17620,2010,13716
17660,2010,48314
17700,2010,12773
17740,2010,14142
17780,2010,75689
17820,2010,234943
17860,2010,66283
17900,2010,285876
17940,2010,29730
17980,2010,97343
18020,2010,30063
18060,2010,20609
18100,2010,13914
18140,2010,718806
18180,2010,60958
18220,2010,7914
18260,2010,36217
18300,2010,18615
18340,2010,9856
18380,2010,6731
18420,2010,12518
18460,2010,13348
18500,2010,34299
18580,2010,143929
18620,2010,15705
18660,2010,17432
18700,2010,25870
18740,2010,12661
18820,2010,14153
18860,2010,6511
18880,2010,72921
18900,2010,16983
18940,2010,20319
18980,2010,26552
19020,2010,16683
19060,2010,33560
19100,2010,2374424
19140,2010,49953
19180,2010,27292
19220,2010,16428
19260,2010,35877
19300,2010,64459
19340,2010,151132
19380,2010,321021
19460,2010,56105
19500,2010,41564
19540,2010,12002
19580,2010,15129
19620,2010,15374
19660,2010,171388
