GEOID,year,f85
10020,2010,586
10100,2010,815
10140,2010,693
10180,2010,1897
10220,2010,457
10260,2010,174
10300,2010,1324
10380,2010,3134
10420,2010,9316
10460,2010,375
10500,2010,1828
10540,2010,1657
10580,2010,13478
10620,2010,738
10660,2010,758
10700,2010,1045
10740,2010,8787
10760,2010,776
10780,2010,1322
10820,2010,602
10860,2010,463
10880,2010,1008
10900,2010,12324
10940,2010,784
10980,2010,575
11020,2010,2489
11060,2010,261
11100,2010,2685
11140,2010,528
11180,2010,991
11220,2010,1029
11260,2010,1446
11300,2010,2003
11340,2010,2128
11380,2010,84
11420,2010,232
11460,2010,3051
11500,2010,1210
11540,2010,2408
11580,2010,338
11620,2010,770
11660,2010,404
11700,2010,6342
11740,2010,976
11780,2010,1591
11820,2010,482
11860,2010,379
11900,2010,498
11940,2010,755
11980,2010,930
12020,2010,1584
12060,2010,34361
12100,2010,3371
12140,2010,551
12180,2010,1237
12220,2010,911
12260,2010,5009
12300,2010,1651
12380,2010,907
12420,2010,10493
12460,2010,354
12540,2010,5059
12580,2010,30089
12620,2010,1796
12660,2010,890
12700,2010,4422
12740,2010,737
12780,2010,956
12820,2010,303
12860,2010,1100
12900,2010,562
12940,2010,7330
12980,2010,2035
13020,2010,2015
13060,2010,476
13100,2010,614
13140,2010,3846
13180,2010,1492
13220,2010,1138
13260,2010,597
13300,2010,262
13340,2010,577
13380,2010,2099
13420,2010,457
13460,2010,1561
13500,2010,274
13540,2010,476
13620,2010,853
13660,2010,408
13700,2010,323
13740,2010,1883
13780,2010,4271
13820,2010,12667
13860,2010,290
13900,2010,1342
13940,2010,348
13980,2010,1572
14020,2010,2011
14060,2010,1747
14100,2010,1361
14140,2010,1649
14180,2010,472
14220,2010,564
14260,2010,5777
14300,2010,531
14340,2010,492
14380,2010,322
14420,2010,227
14460,2010,61383
14500,2010,2746
14540,2010,1130
14580,2010,639
14620,2010,822
14660,2010,1285
14700,2010,927
14740,2010,2731
14780,2010,596
14820,2010,595
14860,2010,13342
14940,2010,402
15020,2010,500
15060,2010,478
15100,2010,389
15140,2010,197
15180,2010,2691
15220,2010,702
15260,2010,957
15340,2010,720
15380,2010,17944
15420,2010,510
15460,2010,777
15500,2010,2328
15540,2010,2248
15580,2010,586
15620,2010,624
15660,2010,540
15700,2010,504
15740,2010,420
15780,2010,425
15820,2010,400
15860,2010,488
15900,2010,834
15940,2010,6413
15980,2010,9962
16020,2010,1541
16060,2010,779
