GEOID,year,foreign
10020,2010,1393
10100,2010,427
10140,2010,3940
10180,2010,7675
10220,2010,651
10260,2010,36
10300,2010,2422
10380,2010,2450
10420,2010,27007
10460,2010,6619
10500,2010,3233
10540,2010,4825
10580,2010,58307
10620,2010,1691
10660,2010,975
10700,2010,6768
10740,2010,85042
10760,2010,705
10780,2010,3478
10820,2010,382
10860,2010,1472
10880,2010,3463
10900,2010,60898
10940,2010,638
10980,2010,434
11020,2010,1262
11060,2010,1467
11100,2010,20894
11140,2010,1434
11180,2010,7061
11220,2010,2020
11260,2010,28964
11300,2010,2398
11340,2010,5086
11380,2010,1664
11420,2010,697
11460,2010,38122
11500,2010,2968
11540,2010,8402
11580,2010,6768
11620,2010,1904
11660,2010,516
11700,2010,23508
11740,2010,912
11780,2010,1667
11820,2010,1839
11860,2010,74
11900,2010,2705
11940,2010,1094
11980,2010,4556
12020,2010,15408
12060,2010,689361
12100,2010,42183
12140,2010,646
12180,2010,1743
12220,2010,6634
12260,2010,21844
12300,2010,2835
12380,2010,2658
12420,2010,235592
12460,2010,651
12540,2010,167349
12580,2010,232288
12620,2010,4099
12660,2010,2353
12700,2010,14487
12740,2010,1825
12780,2010,1579
12820,2010,90
12860,2010,1614
12900,2010,1450
12940,2010,27691
12980,2010,4986
13020,2010,1675
13060,2010,3724
13100,2010,204
13140,2010,27025
13180,2010,2226
13220,2010,1237
13260,2010,403
13300,2010,1510
13340,2010,563
13380,2010,21190
13420,2010,1140
13460,2010,7195
13500,2010,465
13540,2010,1256
13620,2010,1361
13660,2010,760
13700,2010,5418
13740,2010,2602
13780,2010,13040
13820,2010,44161
13860,2010,1886
13900,2010,1300
13940,2010,2868
13980,2010,8784
14020,2010,10223
14060,2010,8697
14100,2010,2024
14140,2010,1353
14180,2010,1012
14220,2010,312
14260,2010,41386
14300,2010,1468
14340,2010,216
14380,2010,1454
14420,2010,1291
14460,2010,731099
14500,2010,32413
14540,2010,8395
14580,2010,2675
14620,2010,421
14660,2010,972
14700,2010,1881
14740,2010,16111
14780,2010,1941
14820,2010,1240
14860,2010,182327
14940,2010,1668
15020,2010,248
15060,2010,851
15100,2010,1233
15140,2010,325
15180,2010,99367
15220,2010,1626
15260,2010,4411
15340,2010,409
15380,2010,64779
15420,2010,4305
15460,2010,1002
15500,2010,11041
15540,2010,12255
15580,2010,715
15620,2010,671
15660,2010,4838
15700,2010,1075
15740,2010,453
15780,2010,285
15820,2010,435
15860,2010,3061
15900,2010,944
15940,2010,7561
15980,2010,92740
16020,2010,1632
16060,2010,3011
16100,2010,2218
16180,2010,6426
16220,2010,1422
16260,2010,1563
16300,2010,6430
16340,2010,2897
16380,2010,284
16420,2010,255
16460,2010,418
16500,2010,3658
16540,2010,4962
16580,2010,21978
16620,2010,3457
16660,2010,871
16700,2010,33830
16740,2010,166047
16820,2010,15311
16860,2010,17980
16900,2010,383
16940,2010,2652
16980,2010,1642981
17020,2010,17296
17060,2010,777
17140,2010,81559
17200,2010,1211
17220,2010,781
17260,2010,213
17300,2010,9971
17340,2010,5720
17380,2010,246
17420,2010,3677
17460,2010,119136
17500,2010,10833
17540,2010,592
17580,2010,3730
17620,2010,488
17660,2010,3469
17700,2010,841
17740,2010,1516
17780,2010,25471
17820,2010,43660
17860,2010,9479
17900,2010,36109
17940,2010,2592
17980,2010,11687
18020,2010,5316
18060,2010,1032
18100,2010,2154
18140,2010,119102
18180,2010,5194
18220,2010,233
18260,2010,3313
18300,2010,2048
18340,2010,243
18380,2010,278
18420,2010,629
18460,2010,3589
18500,2010,2367
18580,2010,29513
18620,2010,5072
18660,2010,1105
18700,2010,6980
18740,2010,121
18820,2010,1096
18860,2010,2066
18880,2010,12401
18900,2010,1123
18940,2010,424
18980,2010,2093
19020,2010,3289
19060,2010,1225
19100,2010,1065070
19140,2010,21782
19180,2010,1782
19220,2010,810
19260,2010,2743
19300,2010,6415
19340,2010,16133
