GEOID,year,households
10020,2010,21786
10100,2010,16529
10140,2010,28191
10180,2010,60912
10220,2010,14782
10260,2010,5241
10300,2010,37831
10380,2010,97174
10420,2010,284941
10460,2010,24031
10500,2010,58366
10540,2010,44375
10580,2010,346139
10620,2010,22134
10660,2010,13186
10700,2010,34433
10740,2010,336709
10760,2010,20843
10780,2010,55534
10820,2010,16070
10860,2010,13441
10880,2010,42078
10900,2010,312520
10940,2010,14718
10980,2010,13357
11020,2010,51651
11060,2010,10384
11100,2010,90561
11140,2010,13198
11180,2010,34227
11220,2010,20320
11260,2010,133676
11300,2010,51436
11340,2010,71973
11380,2010,5205
11420,2010,13944
11460,2010,134161
11500,2010,46421
11540,2010,87327
11580,2010,10656
11620,2010,21243
11660,2010,8348
11700,2010,178865
11740,2010,20040
11780,2010,38911
11820,2010,16267
11860,2010,6220
11900,2010,22283
11940,2010,20810
11980,2010,30540
12020,2010,67266
12060,2010,1874002
12100,2010,101645
12140,2010,15930
12180,2010,32038
12220,2010,54016
12260,2010,203083
12300,2010,50869
12380,2010,16018
12420,2010,620073
12460,2010,10532
12540,2010,248057
12580,2010,1018225
12620,2010,62282
12660,2010,25438
12700,2010,98164
12740,2010,24621
12780,2010,21196
12820,2010,10282
12860,2010,23790
12900,2010,14799
12940,2010,288358
12980,2010,53925
13020,2010,44345
13060,2010,13786
13100,2010,9219
13140,2010,141653
13180,2010,33929
13220,2010,31196
13260,2010,18679
13300,2010,8485
13340,2010,18398
13380,2010,78186
13420,2010,16759
13460,2010,63190
13500,2010,9768
13540,2010,15559
13620,2010,17757
13660,2010,16081
13700,2010,11080
13740,2010,63895
13780,2010,101208
13820,2010,432183
13860,2010,7982
13900,2010,43725
13940,2010,14319
13980,2010,62034
14020,2010,72896
14060,2010,63145
14100,2010,33194
14140,2010,43359
14180,2010,17202
14220,2010,17292
14260,2010,221144
14300,2010,11676
14340,2010,10801
14380,2010,21153
14420,2010,8390
14460,2010,1735175
14500,2010,117629
14540,2010,46731
14580,2010,35753
14620,2010,17324
14660,2010,39857
14700,2010,33810
14740,2010,95758
14780,2010,12855
14820,2010,13847
14860,2010,331782
14940,2010,15612
15020,2010,13269
15060,2010,10473
15100,2010,11405
15140,2010,7445
15180,2010,113547
15220,2010,13559
15260,2010,42933
15340,2010,18105
15380,2010,466232
15420,2010,14301
15460,2010,20108
15500,2010,59000
15540,2010,83140
15580,2010,14847
15620,2010,18530
15660,2010,19229
15700,2010,13347
15740,2010,16217
15780,2010,12837
15820,2010,9628
15860,2010,16817
15900,2010,14673
15940,2010,162409
15980,2010,245751
16020,2010,37747
16060,2010,23773
16100,2010,19320
16180,2010,21467
16220,2010,29597
16260,2010,15155
16300,2010,103740
16340,2010,14623
16380,2010,15606
16420,2010,12364
16460,2010,16148
16500,2010,29290
16540,2010,58290
16580,2010,90044
16620,2010,125740
16660,2010,25078
16700,2010,245938
16740,2010,648431
16820,2010,77120
16860,2010,206602
16900,2010,12497
16940,2010,35790
16980,2010,3424098
17020,2010,85465
17060,2010,28107
17140,2010,813576
17200,2010,18227
17220,2010,37179
17260,2010,9351
17300,2010,97792
17340,2010,25180
17380,2010,12666
17420,2010,43787
17460,2010,846121
17500,2010,11200
17540,2010,20074
17580,2010,17318
17620,2010,22853
17660,2010,54560
17700,2010,14564
17740,2010,16350
17780,2010,79087
17820,2010,236155
17860,2010,67276
17900,2010,287784
17940,2010,31745
17980,2010,109062
18020,2010,29856
18060,2010,23067
18100,2010,12378
18140,2010,700135
18180,2010,56948
18220,2010,9864
18260,2010,41038
18300,2010,27247
18340,2010,13102
18380,2010,8835
18420,2010,13685
18460,2010,15046
18500,2010,40558
18580,2010,153704
18620,2010,17313
18660,2010,17901
18700,2010,33471
18740,2010,14582
18820,2010,14503
18860,2010,9906
18880,2010,72442
18900,2010,23035
18940,2010,21984
18980,2010,31263
19020,2010,15834
19060,2010,40085
19100,2010,2207246
19140,2010,48540
19180,2010,32236
19220,2010,20770
19260,2010,46011
19300,2010,69476
19340,2010,154067
19380,2010,343101
19460,2010,59787
19500,2010,44947
19540,2010,12243
19580,2010,15232
19620,2010,15042
19660,2010,200346
19700,2010,9204
19740,2010,978799
19760,2010,12787
19780,2010,219755
19820,2010,1667113
19860,2010,9997
19900,2010,11714
19940,2010,13731
19980,2010,11010
20020,2010,55411
20060,2010,17297
20100,2010,57396
20140,2010,21003
20180,2010,32823
20220,2010,36787
20260,2010,119423
20300,2010,6724
20340,2010,17781
20380,2010,39111
20420,2010,20512
20460,2010,16060
20500,2010,195551
20540,2010,15079
20580,2010,14552
20620,2010,42162
20660,2010,15603
20700,2010,59997
20740,2010,63463
20780,2010,20908
20820,2010,13462
20900,2010,14808
20940,2010,47304
20980,2010,16787
21020,2010,23358
21060,2010,42431
21120,2010,7778
21140,2010,70035
21220,2010,18048
21260,2010,16619
21300,2010,35418
21340,2010,242943
21380,2010,14927
21420,2010,23694
21460,2010,38473
21500,2010,108252
21540,2010,16339
21580,2010,14934
21640,2010,10810
21660,2010,143894
21700,2010,54276
21740,2010,7279
21780,2010,142593
21820,2010,34596
21860,2010,8982
21900,2010,22744
21940,2010,24267
21980,2010,8801
22020,2010,84600
22060,2010,22213
22100,2010,24122
22140,2010,41767
22180,2010,131543
22220,2010,168289
22260,2010,24691
22280,2010,17766
22300,2010,30632
22340,2010,9921
22380,2010,45478
22420,2010,168984
22500,2010,77441
22520,2010,59878
22540,2010,40484
22580,2010,27458
22620,2010,9086
22660,2010,117415
22700,2010,15936
22780,2010,15412
22800,2010,17045
22820,2010,10407
22840,2010,25937
22860,2010,18032
22900,2010,112174
22980,2010,9016
23060,2010,159781
23140,2010,11906
23180,2010,29197
23240,2010,10413
23300,2010,19645
23340,2010,14994
23380,2010,24109
23420,2010,283836
23460,2010,41584
23500,2010,20975
23540,2010,103516
23580,2010,60173
23620,2010,14547
23660,2010,28741
23700,2010,17631
23780,2010,11974
23820,2010,19183
23860,2010,22406
23900,2010,38331
23940,2010,16039
23980,2010,20718
24020,2010,53136
24100,2010,23006
24140,2010,46280
24180,2010,23163
24220,2010,39023
24260,2010,27704
24300,2010,57123
24340,2010,291617
24380,2010,8089
24420,2010,34325
24460,2010,11472
24500,2010,33164
24540,2010,86776
24580,2010,121653
24620,2010,28134
24660,2010,282317
24700,2010,9952
24740,2010,19039
24780,2010,71026
24820,2010,20769
24860,2010,240864
24900,2010,15260
24940,2010,26189
24980,2010,8945
25020,2010,27337
25060,2010,88803
25100,2010,7083
25180,2010,101217
25220,2010,42558
25260,2010,40606
25300,2010,15523
25340,2010,22572
25380,2010,10583
25420,2010,219490
25460,2010,17872
25500,2010,44666
25540,2010,469052
25580,2010,15024
25620,2010,53213
25660,2010,6086
25700,2010,11721
25720,2010,7154
25740,2010,30503
25760,2010,8325
25780,2010,16473
25820,2010,6053
25860,2010,138854
25900,2010,64382
25940,2010,71154
25980,2010,27179
26020,2010,21255
26100,2010,92526
26140,2010,59974
26180,2010,304827
26220,2010,7985
26260,2010,12497
26300,2010,40146
26340,2010,14948
26380,2010,72186
26420,2010,1966846
26460,2010,25686
26480,2010,19548
26500,2010,16876
26540,2010,14224
26580,2010,115862
26620,2010,156592
26660,2010,19902
26700,2010,7205
26740,2010,25876
26780,2010,14510
26820,2010,43139
26860,2010,34375
26900,2010,661968
26940,2010,8534
26980,2010,59752
27020,2010,13462
27060,2010,38446
27100,2010,60612
27140,2010,195301
27180,2010,43007
27220,2010,11256
27260,2010,503657
27300,2010,16143
27340,2010,56633
27380,2010,16799
27420,2010,8633
27460,2010,55044
27500,2010,62598
27540,2010,21193
27580,2010,4721
27620,2010,56530
27660,2010,11786
27700,2010,10362
27740,2010,80644
27780,2010,58802
27860,2010,45409
27900,2010,66123
27940,2010,12005
27980,2010,51281
28020,2010,128552
28060,2010,36348
28100,2010,40943
28140,2010,789432
28180,2010,21710
28260,2010,19898
28300,2010,30087
28340,2010,17498
28380,2010,12885
28420,2010,83460
28500,2010,20285
28540,2010,5629
28580,2010,29791
28620,2010,15465
28660,2010,129226
28700,2010,130522
28740,2010,70691
28780,2010,11016
28820,2010,24142
28860,2010,11681
28900,2010,27663
28940,2010,283776
28980,2010,4409
29020,2010,40981
29060,2010,24942
29100,2010,53271
29140,2010,75684
29180,2010,102741
29220,2010,15791
29260,2010,10269
29300,2010,23690
29340,2010,74264
29380,2010,24177
29420,2010,80361
29460,2010,223689
29500,2010,4424
29540,2010,191474
29580,2010,28180
29620,2010,180402
29660,2010,14591
29700,2010,64714
29740,2010,71748
29780,2010,11786
29820,2010,695701
29860,2010,31877
29900,2010,13236
29940,2010,42943
29980,2010,15786
30020,2010,43757
30060,2010,14352
30100,2010,71083
30140,2010,51543
30220,2010,8100
30260,2010,14963
30280,2010,11707
30300,2010,25140
30340,2010,44040
30380,2010,19051
30420,2010,9709
30460,2010,188309
30500,2010,36253
30580,2010,7472
30620,2010,40719
30660,2010,10981
30700,2010,118327
30740,2010,29407
30780,2010,270040
30820,2010,15238
30860,2010,37900
30900,2010,14981
30940,2010,21714
30980,2010,77643
31020,2010,39441
31060,2010,7566
31100,2010,4202392
31140,2010,501115
31180,2010,104314
31260,2010,31100
31300,2010,44504
31340,2010,98494
31380,2010,12923
31420,2010,84407
31460,2010,42089
31500,2010,12667
31540,2010,229033
31580,2010,18401
31620,2010,9895
31660,2010,19115
31700,2010,153120
31740,2010,43981
31820,2010,34171
31860,2010,36039
31900,2010,48557
31920,2010,16315
31940,2010,30012
31980,2010,26711
32020,2010,24863
32060,2010,26324
32100,2010,25638
32140,2010,10263
32180,2010,8939
32220,2010,22997
32260,2010,15517
32270,2010,31979
32280,2010,13781
32300,2010,28831
32340,2010,8341
32380,2010,23118
32420,2010,38718
32460,2010,14679
32500,2010,11704
32540,2010,18623
32580,2010,205971
32620,2010,19778
32660,2010,14994
32700,2010,11715
32740,2010,35456
32780,2010,83333
32820,2010,476388
32860,2010,15862
32900,2010,73586
32940,2010,40811
32980,2010,13113
33020,2010,9532
33060,2010,12164
33100,2010,2019604
33140,2010,42090
33180,2010,10902
33220,2010,33562
33260,2010,49122
33300,2010,18809
33340,2010,615847
33380,2010,16565
33420,2010,10513
33460,2010,1264311
33500,2010,27897
33540,2010,44172
33580,2010,9242
33620,2010,9070
33660,2010,153302
33700,2010,163841
33740,2010,64501
33780,2010,58298
33820,2010,14541
33860,2010,140457
33940,2010,16335
33980,2010,28632
34020,2010,20054
34060,2010,47923
34100,2010,52671
34140,2010,14635
34180,2010,29427
34220,2010,15695
34260,2010,18744
34300,2010,9522
34340,2010,29668
34380,2010,24804
34420,2010,10693
34460,2010,16749
34500,2010,18867
34540,2010,22582
34580,2010,45253
34620,2010,46212
34660,2010,14844
34700,2010,20761
34740,2010,65778
34780,2010,26927
34820,2010,112057
34860,2010,23082
34900,2010,49179
34940,2010,119517
34980,2010,597128
35020,2010,19924
35060,2010,14847
35100,2010,49751
35140,2010,14266
35220,2010,18971
35260,2010,36587
35300,2010,330785
35340,2010,26194
35380,2010,416300
35420,2010,36128
35460,2010,14757
35500,2010,15036
35580,2010,10798
35620,2010,6809482
35660,2010,62612
35700,2010,12078
35740,2010,18999
35820,2010,15562
35840,2010,300209
35860,2010,11007
35900,2010,27814
35940,2010,22972
35980,2010,106590
36020,2010,32976
36060,2010,18140
36100,2010,133966
36140,2010,45420
36180,2010,22016
36220,2010,47653
36260,2010,170977
36300,2010,42019
36340,2010,22457
36380,2010,13642
36420,2010,471209
36460,2010,32666
36500,2010,98491
36540,2010,327950
36580,2010,24926
36620,2010,18484
36660,2010,30082
36700,2010,34725
36740,2010,768754
36780,2010,66694
36820,2010,8988
36860,2010,62441
36900,2010,14764
36940,2010,14138
36980,2010,44614
37020,2010,27639
37060,2010,16418
37100,2010,264305
37140,2010,40802
37220,2010,17943
37260,2010,29168
37300,2010,15904
37340,2010,220871
37380,2010,36182
37420,2010,8549
37460,2010,68807
37500,2010,16154
37540,2010,13534
37580,2010,19053
37620,2010,66550
37660,2010,8952
37700,2010,56995
37740,2010,19704
37780,2010,3628
37800,2010,12522
37820,2010,30421
37860,2010,168173
37900,2010,150501
37940,2010,13506
37980,2010,2216763
38020,2010,22192
38060,2010,1500828
38100,2010,20628
38180,2010,8271
38200,2010,8467
38220,2010,35414
38260,2010,15484
38300,2010,985385
38340,2010,55623
38380,2010,11444
38420,2010,19157
38460,2010,31056
38500,2010,17631
38540,2010,32458
38580,2010,23178
38620,2010,18397
38660,2010,79135
38700,2010,14630
38740,2010,17071
38780,2010,6794
38820,2010,30987
38860,2010,211636
38900,2010,850849
38940,2010,162306
39020,2010,30162
39060,2010,60347
39100,2010,231331
39140,2010,89109
39220,2010,7966
39260,2010,8754
39300,2010,621094
39340,2010,138665
39380,2010,61418
39420,2010,15717
39460,2010,71991
39500,2010,30913
39540,2010,75546
39580,2010,407344
39660,2010,49653
39700,2010,5485
39740,2010,153307
39780,2010,23510
39820,2010,69100
39860,2010,18758
39900,2010,162623
39940,2010,14372
39980,2010,27953
40060,2010,471958
40080,2010,37231
40100,2010,15569
40140,2010,1263031
40180,2010,15541
40220,2010,128818
40260,2010,29967
40300,2010,20669
40340,2010,72166
40380,2010,410637
40420,2010,130374
40460,2010,17228
40500,2010,16945
40540,2010,16415
40580,2010,59363
40620,2010,16726
40660,2010,34977
40700,2010,43916
40740,2010,23479
40760,2010,8629
40780,2010,30447
40820,2010,22215
40860,2010,26405
40900,2010,775432
40940,2010,14149
40980,2010,76764
41060,2010,71351
41100,2010,45895
41140,2010,47630
41180,2010,1106719
41220,2010,17834
41260,2010,13743
41420,2010,140463
41460,2010,24243
41500,2010,124963
41540,2010,44629
41580,2010,52877
41620,2010,366393
41660,2010,42084
41700,2010,726502
41740,2010,1061789
41780,2010,31855
41820,2010,20986
41860,2010,1594554
41900,2010,44963
41940,2010,613559
41980,2010,821468
42020,2010,102434
42060,2010,141793
42100,2010,93802
42140,2010,60144
42180,2010,7680
42220,2010,184033
42300,2010,14836
42340,2010,128396
42380,2010,24861
42420,2010,15222
42460,2010,21173
42500,2010,9271
42540,2010,228196
42580,2010,75744
42620,2010,29049
42660,2010,1341462
42680,2010,57560
42700,2010,40374
42740,2010,16288
42780,2010,14258
42820,2010,16795
42860,2010,29910
42900,2010,13118
42940,2010,37583
42980,2010,16753
43060,2010,25069
43100,2010,46572
43140,2010,37679
43180,2010,16005
43220,2010,21808
43260,2010,12172
43300,2010,45545
43320,2010,35366
43340,2010,150600
43380,2010,18488
43420,2010,48935
43460,2010,15520
43500,2010,12531
43540,2010,10553
43580,2010,54208
43620,2010,86818
43660,2010,6181
43700,2010,25872
43740,2010,30319
43780,2010,120741
43860,2010,34030
43900,2010,106397
43940,2010,10651
43980,2010,7459
44020,2010,8103
44060,2010,184590
44100,2010,87024
44140,2010,266784
44180,2010,172468
44220,2010,55145
44260,2010,17933
44300,2010,54971
44340,2010,24245
44380,2010,58006
44420,2010,46863
44500,2010,13877
44540,2010,8146
44580,2010,23599
44600,2010,52250
44620,2010,27573
44660,2010,28735
44700,2010,212905
44740,2010,7551
44780,2010,22478
44860,2010,13045
44900,2010,8870
44940,2010,38856
44980,2010,39234
45000,2010,10276
45020,2010,5836
45060,2010,256142
45140,2010,16655
45180,2010,31151
45220,2010,141390
45260,2010,3973
45300,2010,1123163
45340,2010,13146
45380,2010,14135
45460,2010,65424
45500,2010,50150
45520,2010,9801
45540,2010,38589
45580,2010,10502
45620,2010,17399
45640,2010,64484
45660,2010,22138
45700,2010,14442
45740,2010,9307
45780,2010,261914
45820,2010,95272
45860,2010,76688
45900,2010,58525
45940,2010,129213
45980,2010,13013
46020,2010,41255
46060,2010,381880
46100,2010,39015
46140,2010,361758
46180,2010,50615
46220,2010,78540
46260,2010,7969
46300,2010,34855
46340,2010,76427
46380,2010,34374
46420,2010,12106
46460,2010,15593
46500,2010,15161
46540,2010,118349
46580,2010,10126
46620,2010,8824
46660,2010,49266
46700,2010,139011
46740,2010,13681
46780,2010,11472
46820,2010,4936
46860,2010,10474
46900,2010,5201
46980,2010,19267
47020,2010,42808
47080,2010,13371
47180,2010,14856
47220,2010,50825
47260,2010,620833
47300,2010,126664
47340,2010,13055
47380,2010,82998
47420,2010,9296
47460,2010,21367
47500,2010,15228
47540,2010,18209
47580,2010,50199
47620,2010,17630
47660,2010,19184
47700,2010,30555
47780,2010,11016
47820,2010,20059
47900,2010,2014467
47920,2010,11597
47940,2010,66261
47980,2010,13361
48020,2010,31442
48060,2010,44109
48100,2010,7694
48140,2010,52708
48180,2010,19824
48220,2010,10391
48300,2010,40478
48460,2010,15404
48500,2010,7857
48540,2010,61851
48580,2010,39082
48620,2010,237351
48660,2010,56415
48700,2010,46612
48740,2010,44321
48780,2010,9192
48820,2010,17069
48900,2010,149297
48940,2010,16323
48980,2010,31677
49020,2010,48534
49060,2010,13583
49100,2010,19414
49180,2010,186111
49260,2010,7604
49300,2010,42395
49340,2010,298162
49380,2010,8065
49420,2010,79075
49460,2010,8688
49500,2010,34376
49540,2010,8640
49620,2010,166600
49660,2010,232168
49700,2010,55123
49740,2010,69563
49780,2010,34121
10020,2011,21737
10100,2011,16817
10140,2011,27570
10180,2011,60482
10220,2011,14775
10260,2011,5498
10300,2011,37673
10380,2011,97968
10420,2011,283244
10460,2011,24375
10500,2011,58263
10540,2011,44787
10580,2011,345936
10620,2011,22629
10660,2011,13210
10700,2011,34587
10740,2011,340666
10760,2011,21071
10780,2011,54649
10820,2011,16222
10860,2011,13541
10880,2011,41914
10900,2011,313091
10940,2011,14717
10980,2011,13234
11020,2011,51771
11060,2011,10470
11100,2011,91526
11140,2011,13216
11180,2011,34613
11220,2011,20059
11260,2011,135732
11300,2011,51028
11340,2011,72519
11380,2011,5193
11420,2011,13943
11460,2011,134165
11500,2011,45923
11540,2011,87318
11580,2011,10462
11620,2011,21137
11660,2011,8072
11700,2011,180830
11740,2011,20125
11780,2011,38771
11820,2011,15999
11860,2011,6096
11900,2011,22496
11940,2011,20802
11980,2011,30552
12020,2011,66676
12060,2011,1890208
12100,2011,101418
12140,2011,16140
12180,2011,31807
12220,2011,55176
12260,2011,204886
12300,2011,51043
12380,2011,16042
12420,2011,637294
12460,2011,10371
12540,2011,250999
12580,2011,1020744
12620,2011,62570
12660,2011,25504
12700,2011,96775
12740,2011,24728
12780,2011,21371
12820,2011,10264
12860,2011,23965
12900,2011,14776
12940,2011,291547
12980,2011,53481
13020,2011,44005
13060,2011,13461
13100,2011,9121
13140,2011,142797
13180,2011,33964
13220,2011,31211
13260,2011,18659
13300,2011,8507
13340,2011,18095
13380,2011,79003
13420,2011,16536
13460,2011,63935
13500,2011,9830
13540,2011,15512
13620,2011,17668
13660,2011,15842
13700,2011,11016
13740,2011,64528
13780,2011,100715
13820,2011,432911
13860,2011,7910
13900,2011,44355
13940,2011,14432
13980,2011,62173
14020,2011,74488
14060,2011,63431
14100,2011,33106
14140,2011,43630
14180,2011,17136
14220,2011,17444
14260,2011,223931
14300,2011,11817
14340,2011,10565
14380,2011,20655
14420,2011,8372
14460,2011,1745155
14500,2011,118545
14540,2011,47680
14580,2011,36528
14620,2011,17180
14660,2011,39849
14700,2011,33822
14740,2011,96683
14780,2011,12613
14820,2011,13914
14860,2011,332139
14940,2011,15891
15020,2011,13220
15060,2011,10350
15100,2011,11597
15140,2011,7199
15180,2011,114881
15220,2011,13412
15260,2011,43298
15340,2011,17905
15380,2011,468067
15420,2011,14297
15460,2011,20162
15500,2011,59948
15540,2011,83744
15580,2011,14981
15620,2011,18287
15660,2011,19085
15700,2011,13528
15740,2011,15913
15780,2011,12819
15820,2011,9633
15860,2011,17294
15900,2011,14717
15940,2011,161557
15980,2011,243017
16020,2011,37408
16060,2011,23718
16100,2011,19557
16180,2011,21289
16220,2011,29850
16260,2011,15313
16300,2011,104425
16340,2011,14675
16380,2011,15689
16420,2011,12117
16460,2011,16108
16500,2011,29586
16540,2011,58032
16580,2011,91116
16620,2011,125314
16660,2011,25198
16700,2011,250406
16740,2011,660504
16820,2011,77441
16860,2011,207386
16900,2011,12605
16940,2011,36566
16980,2011,3427501
17020,2011,85219
17060,2011,28158
17140,2011,814307
17200,2011,18156
17220,2011,37111
17260,2011,9367
17300,2011,99383
17340,2011,25654
17380,2011,12396
17420,2011,43744
17460,2011,846344
17500,2011,11013
17540,2011,19938
17580,2011,17498
17620,2011,23637
17660,2011,55301
17700,2011,14179
17740,2011,16078
17780,2011,80073
17820,2011,239671
17860,2011,67584
17900,2011,291897
17940,2011,31811
17980,2011,109628
18020,2011,30037
18060,2011,23243
18100,2011,12333
18140,2011,705771
18180,2011,57045
18220,2011,9604
18260,2011,41570
18300,2011,27077
18340,2011,13197
18380,2011,8826
18420,2011,13867
18460,2011,15055
18500,2011,41101
18580,2011,154556
18620,2011,17299
18660,2011,17915
18700,2011,33427
18740,2011,14375
18820,2011,14446
18860,2011,9818
18880,2011,71609
18900,2011,23231
18940,2011,22083
18980,2011,31364
19020,2011,15750
19060,2011,39872
19100,2011,2246574
19140,2011,48814
19180,2011,31979
19220,2011,20709
19260,2011,45263
19300,2011,70757
19340,2011,154412
19380,2011,343789
19460,2011,59660
19500,2011,44568
19540,2011,12220
19580,2011,15183
19620,2011,14909
19660,2011,197382
19700,2011,9222
19740,2011,989823
19760,2011,12853
19780,2011,221804
19820,2011,1657772
19860,2011,10157
19900,2011,11785
19940,2011,13721
19980,2011,10982
20020,2011,56175
20060,2011,17459
20100,2011,57629
20140,2011,21002
20180,2011,32715
20220,2011,36984
20260,2011,119437
20300,2011,6669
20340,2011,17809
20380,2011,40262
20420,2011,20769
20460,2011,16354
20500,2011,198761
20540,2011,15283
20580,2011,14749
20620,2011,42235
20660,2011,15539
20700,2011,59941
20740,2011,63511
20780,2011,21010
20820,2011,13496
20900,2011,14600
20940,2011,48117
20980,2011,16757
21020,2011,23325
21060,2011,42918
21120,2011,7715
21140,2011,70088
21220,2011,17963
21260,2011,16658
21300,2011,35528
21340,2011,247305
21380,2011,14579
21420,2011,24022
21460,2011,38253
21500,2011,108303
21540,2011,16038
21580,2011,14987
21640,2011,10535
21660,2011,144806
21700,2011,53724
21740,2011,7265
21780,2011,142905
21820,2011,35583
21860,2011,8943
21900,2011,22794
21940,2011,24255
21980,2011,8849
22020,2011,85829
22060,2011,22117
22100,2011,24519
22140,2011,42215
22180,2011,132925
22220,2011,171108
22260,2011,24560
22280,2011,18373
22300,2011,30425
22340,2011,9506
22380,2011,45266
22420,2011,166479
22500,2011,77787
22520,2011,60637
22540,2011,40832
22580,2011,27229
22620,2011,9060
22660,2011,118791
22700,2011,15855
22780,2011,15708
22800,2011,16886
22820,2011,10513
22840,2011,26196
22860,2011,18025
22900,2011,112570
22980,2011,9188
23060,2011,160073
23140,2011,11965
23180,2011,29322
23240,2011,10610
23300,2011,19515
23340,2011,15097
23380,2011,24031
23420,2011,285338
23460,2011,41160
23500,2011,21012
23540,2011,103551
23580,2011,60939
