GEOID,year,income
10020,2010,42693.0
10100,2010,45694.0
10140,2010,41899.0
10180,2010,42286.0
10220,2010,37484.0
10260,2010,11983.0
10300,2010,48618.0
10380,2010,13489.0
10420,2010,48570.0
10460,2010,39615.0
10500,2010,36828.0
10540,2010,45832.0
10580,2010,57781.0
10620,2010,44802.0
10660,2010,43090.0
10700,2010,37661.0
10740,2010,48107.0
10760,2010,36488.0
10780,2010,40571.0
10820,2010,46789.0
10860,2010,37020.0
10880,2010,50240.0
10900,2010,56908.0
10940,2010,40114.0
10980,2010,36695.0
11020,2010,42363.0
11060,2010,41437.0
11100,2010,46384.0
11140,2010,32873.0
11180,2010,48248.0
11220,2010,42603.0
11260,2010,71769.0
11300,2010,43256.0
11340,2010,42871.0
11380,2010,48699.0
11420,2010,47479.0
11460,2010,59065.0
11500,2010,38407.0
11540,2010,57036.0
11580,2010,35979.0
11620,2010,39172.0
11660,2010,31968.0
11700,2010,44059.0
11740,2010,44542.0
11780,2010,42139.0
11820,2010,42223.0
11860,2010,44175.0
11900,2010,31559.0
11940,2010,37146.0
11980,2010,39779.0
12020,2010,40627.0
12060,2010,57550.0
12100,2010,54766.0
12140,2010,46722.0
12180,2010,48415.0
12220,2010,40894.0
12260,2010,44354.0
12300,2010,45973.0
12380,2010,44497.0
12420,2010,57561.0
12460,2010,33297.0
12540,2010,47089.0
12580,2010,66195.0
12620,2010,42658.0
12660,2010,50390.0
12700,2010,60317.0
12740,2010,55313.0
12780,2010,44823.0
12820,2010,31781.0
12860,2010,49750.0
12900,2010,34625.0
12940,2010,48536.0
12980,2010,42568.0
13020,2010,44659.0
13060,2010,43205.0
13100,2010,43311.0
13140,2010,45029.0
13180,2010,52571.0
13220,2010,38036.0
13260,2010,40380.0
13300,2010,40278.0
13340,2010,46493.0
13380,2010,49031.0
13420,2010,43394.0
13460,2010,53071.0
13500,2010,27688.0
13540,2010,47396.0
13620,2010,41081.0
13660,2010,35887.0
13700,2010,39574.0
13740,2010,48661.0
13780,2010,46038.0
13820,2010,47760.0
13860,2010,44808.0
13900,2010,52882.0
13940,2010,44128.0
13980,2010,41377.0
14020,2010,39915.0
14060,2010,57642.0
14100,2010,43233.0
14140,2010,33352.0
14180,2010,33407.0
14220,2010,30363.0
14260,2010,50998.0
14300,2010,44551.0
14340,2010,49578.0
14380,2010,31967.0
14420,2010,42213.0
14460,2010,69983.0
14500,2010,64839.0
14540,2010,43088.0
14580,2010,50136.0
14620,2010,40097.0
14660,2010,44075.0
14700,2010,39811.0
14740,2010,59549.0
14780,2010,43159.0
14820,2010,39408.0
14860,2010,81268.0
14940,2010,55135.0
15020,2010,38405.0
15060,2010,37469.0
15100,2010,45134.0
15140,2010,32414.0
15180,2010,31264.0
15220,2010,38832.0
15260,2010,46440.0
15340,2010,41228.0
15380,2010,47093.0
15420,2010,40134.0
15460,2010,42140.0
15500,2010,44167.0
15540,2010,58075.0
15580,2010,37986.0
15620,2010,40128.0
15660,2010,40916.0
15700,2010,45151.0
15740,2010,37573.0
15780,2010,31505.0
15820,2010,35378.0
15860,2010,37847.0
15900,2010,41268.0
15940,2010,44788.0
15980,2010,50014.0
16020,2010,42278.0
16060,2010,32169.0
16100,2010,46583.0
16180,2010,52067.0
16220,2010,50936.0
16260,2010,42247.0
16300,2010,53334.0
16340,2010,38646.0
16380,2010,49719.0
16420,2010,36750.0
16460,2010,38974.0
16500,2010,43874.0
16540,2010,51035.0
16580,2010,46354.0
16620,2010,42795.0
16660,2010,37428.0
16700,2010,50335.0
16740,2010,53471.0
16820,2010,56592.0
16860,2010,43623.0
16900,2010,32743.0
16940,2010,52824.0
16980,2010,60574.0
17020,2010,43170.0
17060,2010,42626.0
17140,2010,53651.0
17200,2010,50689.0
17220,2010,37758.0
17260,2010,24726.0
17300,2010,44415.0
17340,2010,39491.0
17380,2010,26005.0
17420,2010,39501.0
17460,2010,48514.0
17500,2010,37298.0
17540,2010,46170.0
17580,2010,38090.0
17620,2010,14059.0
17660,2010,46336.0
17700,2010,40603.0
17740,2010,42133.0
17780,2010,38426.0
17820,2010,56358.0
17860,2010,45556.0
17900,2010,48311.0
17940,2010,46278.0
17980,2010,41323.0
18020,2010,52742.0
18060,2010,37607.0
18100,2010,49523.0
18140,2010,52910.0
18180,2010,63012.0
18220,2010,37038.0
18260,2010,34505.0
18300,2010,37491.0
18340,2010,28122.0
18380,2010,29960.0
18420,2010,32342.0
18460,2010,40192.0
18500,2010,43867.0
18580,2010,43534.0
18620,2010,41654.0
18660,2010,45338.0
18700,2010,48012.0
18740,2010,39469.0
18820,2010,47694.0
18860,2010,36118.0
18880,2010,54242.0
18900,2010,36813.0
18940,2010,37261.0
18980,2010,38567.0
19020,2010,65132.0
19060,2010,37327.0
19100,2010,56349.0
19140,2010,41111.0
19180,2010,39456.0
19220,2010,36209.0
19260,2010,35049.0
19300,2010,50147.0
19340,2010,48410.0
19380,2010,47381.0
19460,2010,43470.0
19500,2010,44337.0
19540,2010,43317.0
19580,2010,44480.0
19620,2010,36993.0
19660,2010,44400.0
19700,2010,27997.0
19740,2010,60137.0
19760,2010,45202.0
19780,2010,57454.0
19820,2010,52409.0
19860,2010,49712.0
19900,2010,26818.0
19940,2010,48502.0
19980,2010,46621.0
20020,2010,38846.0
20060,2010,34844.0
20100,2010,53183.0
20140,2010,36676.0
20180,2010,37130.0
20220,2010,48573.0
20260,2010,45479.0
20300,2010,44216.0
20340,2010,43524.0
20380,2010,42853.0
20420,2010,56422.0
20460,2010,37230.0
20500,2010,50889.0
20540,2010,36856.0
20580,2010,28813.0
20620,2010,39502.0
20660,2010,63017.0
20700,2010,56733.0
20740,2010,46975.0
20780,2010,67078.0
20820,2010,49509.0
20900,2010,41148.0
20940,2010,38685.0
20980,2010,36464.0
21020,2010,45876.0
21060,2010,46467.0
21120,2010,43642.0
21140,2010,47258.0
21220,2010,66850.0
21260,2010,41232.0
21300,2010,44502.0
21340,2010,36333.0
21380,2010,37282.0
21420,2010,40636.0
21460,2010,42961.0
21500,2010,43595.0
21540,2010,41951.0
21580,2010,41437.0
21640,2010,32716.0
21660,2010,42923.0
21700,2010,40089.0
21740,2010,58346.0
21780,2010,46284.0
21820,2010,66598.0
21860,2010,43960.0
21900,2010,38115.0
21940,2010,19627.0
21980,2010,51597.0
22020,2010,48284.0
22060,2010,58771.0
22100,2010,38589.0
22140,2010,46189.0
22180,2010,43741.0
22220,2010,45466.0
22260,2010,43478.0
22280,2010,48433.0
22300,2010,49070.0
22340,2010,31497.0
22380,2010,49510.0
22420,2010,43483.0
22500,2010,39886.0
22520,2010,39460.0
22540,2010,51549.0
22580,2010,35364.0
22620,2010,27019.0
22660,2010,56447.0
22700,2010,40806.0
22780,2010,43155.0
22800,2010,41643.0
22820,2010,43111.0
22840,2010,35065.0
22860,2010,42554.0
22900,2010,38295.0
22980,2010,41014.0
23060,2010,48866.0
23140,2010,48416.0
23180,2010,49486.0
23240,2010,52682.0
23300,2010,43304.0
23340,2010,42849.0
23380,2010,48056.0
23420,2010,46430.0
23460,2010,36422.0
23500,2010,34132.0
23540,2010,40528.0
23580,2010,50876.0
23620,2010,48899.0
