GEOID,year,jobs
12060,2010,1785069
12060,2011,1848905
12060,2012,1891701
12060,2013,1949680
12060,2014,2021101
12060,2015,2095212
12060,2016,2177847
12060,2017,2224466
12420,2010,538585
12420,2011,578918
12420,2012,611205
12420,2013,640758
12420,2014,668824
12420,2015,720925
12420,2016,751779
12420,2017,771318
12580,2010,931657
12580,2011,949985
12580,2012,962254
12580,2013,978817
12580,2014,996153
12580,2015,1020981
12580,2016,1044417
12580,2017,1047100
13820,2010,376244
13820,2011,382640
13820,2012,394371
13820,2013,400453
13820,2014,401345
13820,2015,409051
13820,2016,413838
13820,2017,415694
14460,2010,151043
14460,2011,1961985
14460,2012,1980676
14460,2013,2018015
14460,2014,2053837
14460,2015,2104806
14460,2016,2161399
14460,2017,2195490
15380,2010,407038
15380,2011,413752
15380,2012,417918
15380,2013,421338
15380,2014,425812
15380,2015,421014
15380,2016,427919
15380,2017,421306
16740,2010,747139
16740,2011,793353
16740,2012,827150
16740,2013,854812
16740,2014,885263
16740,2015,930968
16740,2016,977525
16740,2017,994782
16980,2010,3363184
16980,2011,3448425
16980,2012,3493609
16980,2013,3547277
16980,2014,3606944
16980,2015,3671795
16980,2016,3751527
16980,2017,3773782
17140,2010,781297
17140,2011,789935
17140,2012,797040
17140,2013,816214
17140,2014,836358
17140,2015,849757
17140,2016,868120
17140,2017,883481
17460,2010,776821
17460,2011,801172
17460,2012,819396
17460,2013,825797
17460,2014,826665
17460,2015,838121
17460,2016,849135
17460,2017,850020
18140,2010,691452
18140,2011,727605
18140,2012,753205
18140,2013,772939
18140,2014,781879
18140,2015,807784
18140,2016,823024
18140,2017,841042
19100,2010,2338137
19100,2011,2428854
19100,2012,2501933
19100,2013,2582165
19100,2014,2674352
19100,2015,2767517
19100,2016,2871110
19100,2017,2950441
19740,2010,971045
19740,2011,981818
19740,2012,1015234
19740,2013,1046154
19740,2014,1092133
19740,2015,1140761
19740,2016,1174531
19740,2017,1198605
19820,2010,1397665
19820,2011,1464388
19820,2012,1515601
19820,2013,1545976
19820,2014,1581632
19820,2015,1625220
19820,2016,1652004
19820,2017,1685650
24340,2010,385740
24340,2011,396934
24340,2012,413739
24340,2013,422800
24340,2014,439685
24340,2015,448254
24340,2016,484637
24340,2017,490145
25540,2010,470355
25540,2011,483272
25540,2012,488039
25540,2013,492638
25540,2014,493490
25540,2015,503002
25540,2016,508963
25540,2017,507132
26420,2010,2007310
26420,2011,2111231
26420,2012,2168537
26420,2013,2255938
26420,2014,2351296
26420,2015,2438015
26420,2016,2425009
26420,2017,2421450
26900,2010,723675
26900,2011,754935
26900,2012,779314
26900,2013,793680
26900,2014,807284
26900,2015,834092
26900,2016,860455
26900,2017,873077
27260,2010,554797
27260,2011,491844
27260,2012,499404
27260,2013,520386
27260,2014,545500
27260,2015,534259
27260,2016,557674
27260,2017,591728
28140,2010,725288
28140,2011,747093
28140,2012,762051
28140,2013,774786
28140,2014,802781
28140,2015,823329
28140,2016,844635
28140,2017,858574
29820,2010,651488
29820,2011,662442
29820,2012,663763
29820,2013,684859
29820,2014,711420
29820,2015,744408
29820,2016,769181
29820,2017,788964
31080,2010,4323931
31080,2011,4395680
31080,2012,4411832
31080,2013,4549276
31080,2014,4650046
31080,2015,4747995
31080,2016,4895708
31080,2017,4941014
31140,2010,466743
31140,2011,472702
31140,2012,487935
31140,2013,503791
31140,2014,511896
31140,2015,523275
31140,2016,542974
31140,2017,551118
32820,2010,456176
32820,2011,459239
32820,2012,473518
32820,2013,478413
32820,2014,486702
32820,2015,491395
32820,2016,504520
32820,2017,508839
33100,2010,1709918
33100,2011,1831117
33100,2012,1837414
33100,2013,1873538
33100,2014,1934395
33100,2015,2037171
33100,2016,2094600
