GEOID,year,latino
10020,2010,1364
10100,2010,601
10140,2010,5867
10180,2010,33546
10220,2010,1475
10260,2010,19316
10300,2010,7557
10380,2010,301755
10420,2010,10213
10460,2010,21313
10500,2010,3078
10540,2010,8321
10580,2010,33467
10620,2010,2065
10660,2010,2565
10700,2010,9891
10740,2010,394042
10760,2010,901
10780,2010,4087
10820,2010,349
10860,2010,31710
10880,2010,7370
10900,2010,96944
10940,2010,2232
10980,2010,319
11020,2010,1231
11060,2010,5301
11100,2010,59467
11140,2010,1763
11180,2010,2425
11220,2010,5211
11260,2010,24119
11300,2010,3845
11340,2010,4904
11380,2010,6633
11420,2010,964
11460,2010,13122
11500,2010,3555
11540,2010,7382
11580,2010,10046
11620,2010,3359
11660,2010,884
11700,2010,24594
11740,2010,553
11780,2010,3340
11820,2010,2682
11860,2010,422
11900,2010,1053
11940,2010,1446
11980,2010,7949
12020,2010,14162
12060,2010,503252
12100,2010,43558
12140,2010,1038
12180,2010,1893
12220,2010,4062
12260,2010,21990
12300,2010,1533
12380,2010,3619
12420,2010,498642
12460,2010,1299
12540,2010,388756
12580,2010,110651
12620,2010,1658
12660,2010,2301
12700,2010,4540
12740,2010,1019
12780,2010,2378
12820,2010,270
12860,2010,1530
12900,2010,1841
12940,2010,24091
12980,2010,5969
13020,2010,4902
13060,2010,13489
13100,2010,383
13140,2010,45596
13180,2010,3389
13220,2010,1060
13260,2010,584
13300,2010,17772
13340,2010,575
13380,2010,14429
13420,2010,517
13460,2010,10864
13500,2010,474
13540,2010,537
13620,2010,435
13660,2010,763
13700,2010,12914
13740,2010,6751
13780,2010,7103
13820,2010,42336
13860,2010,3310
13900,2010,1405
13940,2010,7290
13980,2010,3402
14020,2010,4305
14060,2010,6808
14100,2010,1534
14140,2010,570
14180,2010,1615
14220,2010,818
14260,2010,71957
14300,2010,3055
14340,2010,469
14380,2010,1509
14420,2010,4131
14460,2010,382902
14500,2010,37374
14540,2010,4804
14580,2010,2385
14620,2010,740
14660,2010,1093
14700,2010,2731
14740,2010,14636
14780,2010,4219
14820,2010,889
14860,2010,144440
14940,2010,3867
15020,2010,364
15060,2010,1208
15100,2010,626
15140,2010,631
15180,2010,344031
15220,2010,7260
15260,2010,5022
15340,2010,535
15380,2010,43789
15420,2010,11222
15460,2010,1114
15500,2010,15356
15540,2010,3401
15580,2010,1209
15620,2010,781
15660,2010,7282
15700,2010,1024
15740,2010,411
15780,2010,607
15820,2010,411
15860,2010,7629
15900,2010,917
15940,2010,5834
15980,2010,106696
16020,2010,1606
16060,2010,2297
16100,2010,22555
16180,2010,11141
16220,2010,4822
16260,2010,3199
16300,2010,5569
16340,2010,4633
16380,2010,567
16420,2010,319
16460,2010,591
16500,2010,6038
16540,2010,5674
16580,2010,10180
16620,2010,2563
16660,2010,1234
16700,2010,31189
16740,2010,154142
16820,2010,8612
16860,2010,16538
16900,2010,488
16940,2010,11280
16980,2010,1873987
17020,2010,29512
17060,2010,783
17140,2010,49618
17200,2010,512
17220,2010,1040
17260,2010,297
17300,2010,17007
17340,2010,10505
17380,2010,188
17420,2010,4351
17460,2010,93086
17500,2010,18621
17540,2010,1203
17580,2010,17843
17620,2010,71129
17660,2010,4888
17700,2010,1703
17740,2010,1909
17780,2010,46975
17820,2010,87859
17860,2010,4776
17900,2010,34039
17940,2010,3687
17980,2010,15803
18020,2010,4235
18060,2010,959
18100,2010,3787
18140,2010,60057
18180,2010,2335
18220,2010,234
18260,2010,3731
18300,2010,3328
18340,2010,328
18380,2010,695
18420,2010,922
18460,2010,4957
18500,2010,1346
18580,2010,240569
18620,2010,10579
18660,2010,1077
18700,2010,5181
18740,2010,301
18820,2010,1503
18860,2010,4896
18880,2010,11733
18900,2010,1195
18940,2010,1009
18980,2010,3170
19020,2010,3855
19060,2010,1299
19100,2010,1638650
19140,2010,35948
19180,2010,3292
19220,2010,1141
19260,2010,2424
19300,2010,6848
19340,2010,27279
19380,2010,16429
19460,2010,8585
19500,2010,1976
19540,2010,1337
19580,2010,3304
19620,2010,38215
19660,2010,52754
19700,2010,15187
19740,2010,540315
19760,2010,975
19780,2010,34438
19820,2010,163291
19860,2010,397
19900,2010,841
19940,2010,1691
19980,2010,15920
20020,2010,3792
20060,2010,6004
20100,2010,8496
20140,2010,1122
20180,2010,1735
20220,2010,1746
20260,2010,3503
20300,2010,10914
20340,2010,2616
20380,2010,10841
20420,2010,5790
20460,2010,1985
20500,2010,51073
20540,2010,952
20580,2010,50042
20620,2010,1429
20660,2010,1800
20700,2010,20528
20740,2010,2533
20780,2010,17458
20820,2010,524
20900,2010,14845
20940,2010,132679
20980,2010,1306
21020,2010,1845
21060,2010,5051
21120,2010,2377
21140,2010,26625
21220,2010,10715
21260,2010,2865
21300,2010,2194
21340,2010,632410
21380,2010,7078
21420,2010,4714
21460,2010,5318
21500,2010,8751
21540,2010,354
21580,2010,28607
21640,2010,1302
21660,2010,24229
21700,2010,12251
21740,2010,1636
21780,2010,6480
21820,2010,5382
21860,2010,669
21900,2010,563
21940,2010,71657
21980,2010,2869
22020,2010,4953
22060,2010,4872
22100,2010,811
22140,2010,23493
22180,2010,33111
22220,2010,62903
22260,2010,1458
22280,2010,7456
22300,2010,3200
22340,2010,1274
22380,2010,17334
22420,2010,12701
22500,2010,3935
22520,2010,2953
22540,2010,4038
22580,2010,2195
22620,2010,1184
22660,2010,29712
22700,2010,1348
22780,2010,4215
22800,2010,1131
22820,2010,9232
22840,2010,8574
22860,2010,3466
22900,2010,22715
22980,2010,1734
23060,2010,22663
23140,2010,4089
23180,2010,1545
23240,2010,4583
23300,2010,1314
23340,2010,3186
23380,2010,5158
23420,2010,446727
23460,2010,3204
23500,2010,1868
23540,2010,20310
23580,2010,44480
23620,2010,5583
23660,2010,3693
23700,2010,9393
23780,2010,16512
23820,2010,4858
23860,2010,1799
23900,2010,5651
23940,2010,2922
23980,2010,1100
24020,2010,2633
24100,2010,1289
24140,2010,10900
24180,2010,6269
24220,2010,3664
24260,2010,12419
24300,2010,18045
24340,2010,62563
24380,2010,9763
24420,2010,5023
24460,2010,3377
24500,2010,2720
24540,2010,68111
24580,2010,17202
24620,2010,1611
24660,2010,49976
24700,2010,366
24740,2010,560
24780,2010,10924
24820,2010,674
24860,2010,38301
24900,2010,751
24940,2010,3463
24980,2010,197
25020,2010,83836
25060,2010,10234
25100,2010,7789
25180,2010,8456
25220,2010,3711
25260,2010,74726
25300,2010,515
25340,2010,752
25380,2010,377
25420,2010,23420
25460,2010,711
25500,2010,10600
25540,2010,142332
25580,2010,2638
25620,2010,3442
25660,2010,377
25700,2010,1140
25720,2010,2560
25740,2010,1731
25760,2010,277
25780,2010,2850
25820,2010,12368
25860,2010,21940
25900,2010,20338
25940,2010,20630
25980,2010,7572
26020,2010,30570
26100,2010,22010
26140,2010,6171
26180,2010,74077
26220,2010,6164
26260,2010,2623
26300,2010,4317
26340,2010,456
26380,2010,7111
26420,2010,1953864
26460,2010,2367
26480,2010,987
26500,2010,660
26540,2010,633
26580,2010,2523
26620,2010,16951
26660,2010,10706
26700,2010,1018
26740,2010,4865
26780,2010,1844
26820,2010,12935
26860,2010,920
26900,2010,96375
26940,2010,391
26980,2010,6575
27020,2010,280
27060,2010,4112
27100,2010,4764
27140,2010,10418
27180,2010,3417
27220,2010,4088
27260,2010,85188
27300,2010,714
27340,2010,16235
27380,2010,9622
27420,2010,321
27460,2010,7670
27500,2010,11195
27540,2010,2472
27580,2010,16722
27620,2010,3135
27660,2010,552
27700,2010,1592
27740,2010,4795
27780,2010,1985
27860,2010,4409
27900,2010,9736
27940,2010,1647
27980,2010,14868
28020,2010,16663
28060,2010,2083
28100,2010,9247
28140,2010,153703
28180,2010,6150
28260,2010,3328
28300,2010,1132
28340,2010,4429
28380,2010,1628
28420,2010,65052
28500,2010,11340
28540,2010,581
28580,2010,14324
28620,2010,1887
28660,2010,76007
28700,2010,3830
28740,2010,15065
28780,2010,21981
28820,2010,3595
28860,2010,534
28900,2010,6676
28940,2010,20895
28980,2010,1025
29020,2010,2489
29060,2010,766
29100,2010,1802
29140,2010,13043
29180,2010,8495
29220,2010,453
29260,2010,994
29300,2010,2023
29340,2010,4539
29380,2010,3161
29420,2010,28650
29460,2010,97811
29500,2010,7139
29540,2010,41186
29580,2010,2901
29620,2010,27420
29660,2010,2959
29700,2010,229399
29740,2010,131663
29780,2010,22489
29820,2010,533916
29860,2010,3132
29900,2010,801
29940,2010,5344
29980,2010,691
30020,2010,12755
30060,2010,741
30100,2010,2703
30140,2010,10883
30220,2010,9651
30260,2010,2268
30280,2010,1319
30300,2010,1768
30340,2010,1678
30380,2010,521
30420,2010,7480
30460,2010,24152
30500,2010,3623
30580,2010,12191
30620,2010,2411
30660,2010,836
30700,2010,15502
30740,2010,5264
30780,2010,29114
30820,2010,402
30860,2010,10841
30900,2010,4503
30940,2010,714
30980,2010,27129
31020,2010,7315
31060,2010,2567
31100,2010,5573157
31140,2010,44418
31180,2010,86913
31260,2010,16012
31300,2010,10142
31340,2010,4894
31380,2010,850
31420,2010,5237
31460,2010,76719
31500,2010,710
31540,2010,28093
31580,2010,724
31620,2010,492
31660,2010,1702
31700,2010,19875
31740,2010,8675
31820,2010,2336
31860,2010,2683
31900,2010,1737
31920,2010,8102
31940,2010,822
31980,2010,2433
32020,2010,1415
32060,2010,1274
32100,2010,813
32140,2010,1495
32180,2010,1778
32220,2010,6412
32260,2010,6303
32270,2010,1477
32280,2010,666
32300,2010,2988
