GEOID,year,m85
10020,2010,251
10100,2010,421
10140,2010,446
10180,2010,912
10220,2010,207
10260,2010,84
10300,2010,640
10380,2010,1768
10420,2010,4098
10460,2010,249
10500,2010,640
10540,2010,758
10580,2010,5792
10620,2010,231
10660,2010,457
10700,2010,453
10740,2010,4540
10760,2010,358
10780,2010,799
10820,2010,363
10860,2010,246
10880,2010,467
10900,2010,5675
10940,2010,315
10980,2010,140
11020,2010,917
11060,2010,101
11100,2010,1137
11140,2010,248
11180,2010,588
11220,2010,585
11260,2010,693
11300,2010,815
11340,2010,1062
11380,2010,102
11420,2010,145
11460,2010,1384
11500,2010,548
11540,2010,1070
11580,2010,185
11620,2010,331
11660,2010,146
11700,2010,3393
11740,2010,297
11780,2010,683
11820,2010,261
11860,2010,122
11900,2010,278
11940,2010,334
11980,2010,454
12020,2010,569
12060,2010,14013
12100,2010,1323
12140,2010,260
12180,2010,533
12220,2010,422
12260,2010,2307
12300,2010,856
12380,2010,421
12420,2010,4665
12460,2010,135
12540,2010,2880
12580,2010,14408
12620,2010,832
12660,2010,463
12700,2010,2270
12740,2010,272
12780,2010,445
12820,2010,202
12860,2010,448
12900,2010,175
12940,2010,2773
12980,2010,850
13020,2010,701
13060,2010,267
13100,2010,249
13140,2010,2034
13180,2010,678
13220,2010,536
13260,2010,278
13300,2010,102
13340,2010,353
13380,2010,1096
13420,2010,284
13460,2010,849
13500,2010,119
13540,2010,311
13620,2010,291
13660,2010,201
13700,2010,262
13740,2010,955
13780,2010,1910
13820,2010,5011
13860,2010,140
13900,2010,702
13940,2010,245
13980,2010,762
14020,2010,822
14060,2010,861
14100,2010,632
14140,2010,674
14180,2010,203
14220,2010,287
14260,2010,2961
14300,2010,244
14340,2010,185
14380,2010,181
14420,2010,90
14460,2010,26524
14500,2010,1404
14540,2010,471
14580,2010,484
14620,2010,387
14660,2010,548
14700,2010,580
14740,2010,1133
14780,2010,237
14820,2010,330
14860,2010,6114
14940,2010,194
15020,2010,156
15060,2010,219
15100,2010,131
15140,2010,103
15180,2010,1896
15220,2010,309
15260,2010,394
15340,2010,258
15380,2010,8428
15420,2010,387
15460,2010,457
15500,2010,877
15540,2010,934
15580,2010,259
15620,2010,261
15660,2010,163
15700,2010,200
15740,2010,310
15780,2010,196
15820,2010,209
15860,2010,215
15900,2010,333
15940,2010,2885
15980,2010,6170
16020,2010,592
16060,2010,205
16100,2010,280
16180,2010,443
16220,2010,383
16260,2010,254
16300,2010,1534
16340,2010,182
16380,2010,267
16420,2010,115
16460,2010,410
16500,2010,657
16540,2010,1173
16580,2010,982
16620,2010,1960
16660,2010,435
16700,2010,2488
16740,2010,5393
16820,2010,1020
16860,2010,2574
16900,2010,152
16940,2010,367
16980,2010,43389
17020,2010,1813
17060,2010,309
17140,2010,9710
17200,2010,202
17220,2010,575
17260,2010,180
17300,2010,841
17340,2010,621
17380,2010,122
17420,2010,359
17460,2010,14424
17500,2010,206
17540,2010,328
17580,2010,161
17620,2010,427
17660,2010,962
17700,2010,317
17740,2010,202
17780,2010,698
17820,2010,2437
17860,2010,679
17900,2010,2948
17940,2010,316
17980,2010,889
18020,2010,276
18060,2010,234
18100,2010,234
18140,2010,6871
18180,2010,964
18220,2010,147
18260,2010,510
18300,2010,667
18340,2010,123
18380,2010,119
18420,2010,142
18460,2010,265
18500,2010,682
18580,2010,2187
18620,2010,290
18660,2010,320
18700,2010,613
18740,2010,220
18820,2010,219
18860,2010,150
18880,2010,1089
18900,2010,431
18940,2010,247
18980,2010,505
19020,2010,230
19060,2010,597
19100,2010,18554
19140,2010,463
19180,2010,512
19220,2010,316
19260,2010,687
19300,2010,1104
19340,2010,2671
19380,2010,5033
19460,2010,608
19500,2010,933
19540,2010,240
19580,2010,160
19620,2010,279
19660,2010,5248
19700,2010,185
19740,2010,9852
19760,2010,131
19780,2010,2621
19820,2010,24087
19860,2010,216
19900,2010,136
19940,2010,305
19980,2010,146
20020,2010,833
20060,2010,162
20100,2010,668
20140,2010,341
20180,2010,560
20220,2010,559
20260,2010,1778
20300,2010,96
20340,2010,371
20380,2010,315
20420,2010,192
20460,2010,317
20500,2010,2325
20540,2010,147
20580,2010,154
20620,2010,654
20660,2010,398
20700,2010,845
20740,2010,1166
20780,2010,74
20820,2010,268
20900,2010,283
20940,2010,807
20980,2010,305
21020,2010,360
21060,2010,498
21120,2010,88
21140,2010,898
21220,2010,141
21260,2010,164
21300,2010,653
21340,2010,2904
21380,2010,295
21420,2010,618
21460,2010,497
21500,2010,1841
21540,2010,438
21580,2010,205
21640,2010,68
21660,2010,2612
21700,2010,788
21740,2010,64
21780,2010,2205
21820,2010,118
21860,2010,198
21900,2010,358
21940,2010,328
21980,2010,193
22020,2010,1050
22060,2010,280
22100,2010,406
22140,2010,447
22180,2010,870
22220,2010,2043
22260,2010,613
22280,2010,317
22300,2010,382
22340,2010,112
22380,2010,459
22420,2010,1624
22500,2010,768
22520,2010,855
22540,2010,658
22580,2010,303
22620,2010,122
22660,2010,1663
22700,2010,292
22780,2010,99
22800,2010,384
22820,2010,197
22840,2010,170
22860,2010,115
22900,2010,1451
22980,2010,118
23060,2010,1892
23140,2010,188
23180,2010,260
23240,2010,189
23300,2010,341
23340,2010,378
23380,2010,392
23420,2010,4712
23460,2010,618
23500,2010,254
23540,2010,1382
23580,2010,724
23620,2010,172
23660,2010,499
23700,2010,222
23780,2010,178
23820,2010,290
23860,2010,513
23900,2010,643
23940,2010,111
23980,2010,341
24020,2010,773
24100,2010,420
24140,2010,369
24180,2010,294
24220,2010,572
24260,2010,477
24300,2010,964
24340,2010,3850
24380,2010,162
24420,2010,981
24460,2010,250
24500,2010,468
24540,2010,675
24580,2010,1752
24620,2010,435
24660,2010,3204
24700,2010,166
24740,2010,224
24780,2010,626
24820,2010,308
24860,2010,2659
24900,2010,244
24940,2010,345
24980,2010,132
25020,2010,475
25060,2010,893
25100,2010,129
25180,2010,1441
25220,2010,369
25260,2010,499
25300,2010,368
25340,2010,326
25380,2010,158
25420,2010,3106
25460,2010,360
25500,2010,705
25540,2010,8639
25580,2010,376
25620,2010,614
25660,2010,0
25700,2010,242
25720,2010,40
25740,2010,230
25760,2010,177
25780,2010,137
