GEOID,year,no_vehicle
10020,2010,1503.0
10100,2010,1140.0
10140,2010,1892.0
10180,2010,3333.0
10220,2010,917.0
10260,2010,1287.0
10300,2010,1824.0
10380,2010,19186.0
10420,2010,21207.0
10460,2010,984.0
10500,2010,5663.0
10540,2010,2680.0
10580,2010,33637.0
10620,2010,1024.0
10660,2010,778.0
10700,2010,2064.0
10740,2010,18607.0
10760,2010,1654.0
10780,2010,4134.0
10820,2010,808.0
10860,2010,1323.0
10880,2010,1619.0
10900,2010,25032.0
10940,2010,701.0
10980,2010,834.0
11020,2010,4453.0
11060,2010,765.0
11100,2010,5148.0
11140,2010,1641.0
11180,2010,1903.0
11220,2010,2167.0
11260,2010,7213.0
11300,2010,3835.0
11340,2010,4422.0
11380,2010,357.0
11420,2010,579.0
11460,2010,9644.0
11500,2010,2980.0
11540,2010,4078.0
11580,2010,621.0
11620,2010,1362.0
11660,2010,689.0
11700,2010,10557.0
11740,2010,1522.0
11780,2010,2853.0
11820,2010,1133.0
11860,2010,540.0
11900,2010,1794.0
11940,2010,1156.0
11980,2010,1466.0
12020,2010,4361.0
12060,2010,115190.0
12100,2010,13707.0
12140,2010,594.0
12180,2010,2987.0
12220,2010,2781.0
12260,2010,14588.0
12300,2010,4372.0
12380,2010,1137.0
12420,2010,31572.0
12460,2010,1057.0
12540,2010,18445.0
12580,2010,113882.0
12620,2010,4350.0
12660,2010,1144.0
12700,2010,4519.0
12740,2010,1554.0
12780,2010,1124.0
12820,2010,1073.0
12860,2010,1566.0
12900,2010,667.0
12940,2010,20079.0
12980,2010,3924.0
13020,2010,3365.0
13060,2010,1041.0
13100,2010,589.0
13140,2010,10235.0
13180,2010,1264.0
13220,2010,2841.0
13260,2010,1169.0
13300,2010,547.0
13340,2010,1301.0
13380,2010,5293.0
13420,2010,1281.0
13460,2010,2563.0
13500,2010,1408.0
13540,2010,998.0
13620,2010,1219.0
13660,2010,938.0
13700,2010,857.0
13740,2010,3241.0
13780,2010,10487.0
13820,2010,26741.0
13860,2010,567.0
13900,2010,1928.0
13940,2010,560.0
13980,2010,4071.0
14020,2010,5066.0
14060,2010,3487.0
14100,2010,2367.0
14140,2010,3857.0
14180,2010,2130.0
14220,2010,1722.0
14260,2010,9310.0
14300,2010,464.0
14340,2010,599.0
14380,2010,884.0
14420,2010,389.0
14460,2010,228831.0
14500,2010,5901.0
14540,2010,2956.0
14580,2010,1376.0
14620,2010,1620.0
14660,2010,2077.0
14700,2010,1195.0
14740,2010,5181.0
14780,2010,889.0
14820,2010,758.0
14860,2010,28074.0
14940,2010,529.0
15020,2010,859.0
15060,2010,560.0
15100,2010,611.0
15140,2010,873.0
15180,2010,10670.0
15220,2010,709.0
15260,2010,2564.0
15340,2010,1189.0
15380,2010,60284.0
15420,2010,493.0
15460,2010,1409.0
15500,2010,3618.0
15540,2010,5425.0
