GEOID,year,pop
10020,2010,57280
10100,2010,40058
10140,2010,72092
10180,2010,163092
10220,2010,36644
10260,2010,19541
10300,2010,100911
10380,2010,309197
10420,2010,703093
10460,2010,62782
10500,2010,157528
10540,2010,114315
10580,2010,865982
10620,2010,60109
10660,2010,31387
10700,2010,90867
10740,2010,862165
10760,2010,53004
10780,2010,152475
10820,2010,35909
10860,2010,40631
10880,2010,111385
10900,2010,812027
10940,2010,42612
10980,2010,29958
11020,2010,127071
11060,2010,26386
11100,2010,245177
11140,2010,37620
11180,2010,87594
11220,2010,49945
11260,2010,368414
11300,2010,131444
11340,2010,183691
11380,2010,14048
11420,2010,34092
11460,2010,343947
11500,2010,117149
11540,2010,222359
11580,2010,34557
11620,2010,56299
11660,2010,23083
11700,2010,416276
11740,2010,53341
11780,2010,101867
11820,2010,36858
11860,2010,16889
11900,2010,64455
11940,2010,52075
11980,2010,78299
12020,2010,188932
12060,2010,5125113
12100,2010,273162
12140,2010,41968
12180,2010,80431
12220,2010,135010
12260,2010,544180
12300,2010,121925
12380,2010,38855
12420,2010,1627571
12460,2010,27920
12540,2010,815693
12580,2010,2683160
12620,2010,152934
12660,2010,60957
12700,2010,217483
12740,2010,59379
12780,2010,50339
12820,2010,28388
12860,2010,59952
12900,2010,35994
12940,2010,787961
12980,2010,137112
13020,2010,108156
13060,2010,36647
13100,2010,22591
13140,2010,384583
13180,2010,88935
13220,2010,78513
13260,2010,46192
13300,2010,31896
13340,2010,46006
13380,2010,195993
13420,2010,43781
13460,2010,154568
13500,2010,29112
13540,2010,37122
13620,2010,39804
13660,2010,42730
13700,2010,34285
13740,2010,154044
13780,2010,252181
13820,2010,1115485
13860,2010,18434
13900,2010,105488
13940,2010,44496
13980,2010,161013
14020,2010,189263
14060,2010,166706
14100,2010,84794
14140,2010,106550
14180,2010,46815
14220,2010,46578
14260,2010,598730
14300,2010,33765
14340,2010,26424
14380,2010,49705
14420,2010,22094
14460,2010,4489250
14500,2010,290177
14540,2010,121861
14580,2010,87676
14620,2010,43853
14660,2010,90484
14700,2010,81327
14740,2010,247336
14780,2010,32949
14820,2010,32404
14860,2010,905342
14940,2010,48221
15020,2010,34622
15060,2010,22411
15100,2010,31250
15140,2010,19010
15180,2010,393566
15220,2010,38199
15260,2010,109099
15340,2010,44294
15380,2010,1137266
15420,2010,41633
15460,2010,47728
15500,2010,147072
15540,2010,209381
15580,2010,33797
15620,2010,47615
15660,2010,54059
15700,2010,32287
15740,2010,40351
15780,2010,31822
15820,2010,24247
15860,2010,46941
15900,2010,37205
15940,2010,405334
15980,2010,606165
16020,2010,95177
16060,2010,59864
16100,2010,52665
16180,2010,55375
16220,2010,73520
16260,2010,44439
16300,2010,254571
16340,2010,41095
16380,2010,40958
16420,2010,31541
16460,2010,39722
16500,2010,74650
16540,2010,146558
16580,2010,228688
16620,2010,304033
16660,2010,64641
16700,2010,641930
16740,2010,1687440
16820,2010,197279
16860,2010,518288
16900,2010,33246
16940,2010,89221
16980,2010,9384661
17020,2010,218635
17060,2010,77537
17140,2010,2110398
17200,2010,43643
17220,2010,93257
17260,2010,26681
17300,2010,263531
17340,2010,64371
17380,2010,35063
17420,2010,113882
17460,2010,2086589
17500,2010,39030
17540,2010,49274
17580,2010,46924
17620,2010,71494
17660,2010,134851
17700,2010,35453
17740,2010,46083
17780,2010,219058
17820,2010,622809
17860,2010,168187
17900,2010,744145
17940,2010,79029
17980,2010,290204
18020,2010,75855
18060,2010,59482
18100,2010,31675
18140,2010,1798377
18180,2010,146785
18220,2010,24367
18260,2010,103838
18300,2010,63319
18340,2010,36006
18380,2010,23182
18420,2010,36708
18460,2010,42212
18500,2010,98724
18580,2010,423717
18620,2010,47483
18660,2010,49452
18700,2010,84158
18740,2010,37046
18820,2010,38138
18860,2010,28471
18880,2010,182076
18900,2010,54977
18940,2010,61139
18980,2010,79941
19020,2010,45749
19060,2010,102434
19100,2010,6154265
19140,2010,139835
19180,2010,82033
19220,2010,53024
19260,2010,106934
19300,2010,175791
19340,2010,376736
19380,2010,843218
19460,2010,151867
19500,2010,110719
19540,2010,34162
19580,2010,39119
19620,2010,48088
19660,2010,496053
19700,2010,25252
19740,2010,2464415
19760,2010,35000
19780,2010,552889
19820,2010,4345978
19860,2010,24383
19900,2010,31666
19940,2010,36100
19980,2010,32727
20020,2010,142718
20060,2010,49979
20100,2010,156918
20140,2010,58001
20180,2010,82131
20220,2010,92547
20260,2010,278337
20300,2010,21102
20340,2010,44454
20380,2010,109031
20420,2010,50149
20460,2010,41195
20500,2010,488508
20540,2010,38174
20580,2010,52493
20620,2010,108609
20660,2010,37361
20700,2010,168080
20740,2010,158847
20780,2010,57832
20820,2010,34232
20900,2010,41036
20940,2010,168052
20980,2010,42180
21020,2010,62977
21060,2010,114956
21120,2010,21817
21140,2010,196855
21220,2010,49431
21260,2010,39869
21300,2010,88708
21340,2010,772280
21380,2010,37808
21420,2010,59093
21460,2010,98079
21500,2010,279234
21540,2010,37403
21580,2010,40195
21640,2010,30227
21660,2010,347156
21700,2010,133058
21740,2010,20537
21780,2010,355854
21820,2010,94439
21860,2010,20865
21900,2010,56356
21940,2010,72499
21980,2010,24946
22020,2010,201499
22060,2010,63087
22100,2010,64239
22140,2010,127517
22180,2010,357122
22220,2010,445626
22260,2010,57539
22280,2010,51515
22300,2010,74670
22340,2010,27273
22380,2010,131824
22420,2010,433054
22500,2010,203499
22520,2010,146208
22540,2010,100919
22580,2010,66928
22620,2010,28302
22660,2010,291162
22700,2010,38286
22780,2010,49114
22800,2010,43160
22820,2010,27911
22840,2010,70038
22860,2010,50451
22900,2010,294478
22980,2010,26883
23060,2010,412067
23140,2010,33270
23180,2010,70147
23240,2010,24197
23300,2010,47791
23340,2010,36621
23380,2010,61284
23420,2010,908830
23460,2010,104066
23500,2010,54832
23540,2010,260930
23580,2010,175001
23620,2010,38316
23660,2010,70677
23700,2010,70663
23780,2010,36139
23820,2010,47042
23860,2010,60236
23900,2010,100839
23940,2010,43179
23980,2010,51815
24020,2010,128795
24100,2010,55497
24140,2010,120102
24180,2010,58016
24220,2010,98107
24260,2010,70985
24300,2010,142284
24340,2010,772621
24380,2010,27179
24420,2010,82172
24460,2010,27499
24500,2010,80562
24540,2010,242860
24580,2010,302755
