GEOID,year,rent
10020,2010,551.0
10100,2010,469.0
10140,2010,655.0
10180,2010,709.0
10220,2010,522.0
10260,2010,387.0
10300,2010,646.0
10380,2010,380.0
10420,2010,727.0
10460,2010,582.0
10500,2010,615.0
10540,2010,737.0
10580,2010,831.0
10620,2010,584.0
10660,2010,539.0
10700,2010,550.0
10740,2010,723.0
10760,2010,494.0
10780,2010,680.0
10820,2010,590.0
10860,2010,645.0
10880,2010,645.0
10900,2010,828.0
10940,2010,596.0
10980,2010,479.0
11020,2010,557.0
11060,2010,608.0
11100,2010,671.0
11140,2010,565.0
11180,2010,703.0
11220,2010,666.0
11260,2010,996.0
11300,2010,647.0
11340,2010,620.0
11380,2010,621.0
11420,2010,636.0
11460,2010,866.0
11500,2010,569.0
11540,2010,661.0
11580,2010,715.0
11620,2010,563.0
11660,2010,566.0
11700,2010,715.0
11740,2010,637.0
11780,2010,607.0
11820,2010,720.0
11860,2010,531.0
11900,2010,657.0
11940,2010,558.0
11980,2010,636.0
12020,2010,724.0
12060,2010,914.0
12100,2010,955.0
12140,2010,591.0
12180,2010,629.0
12220,2010,650.0
12260,2010,674.0
12300,2010,626.0
12380,2010,608.0
12420,2010,897.0
12460,2010,526.0
12540,2010,810.0
12580,2010,1018.0
12620,2010,669.0
12660,2010,700.0
12700,2010,1075.0
12740,2010,780.0
12780,2010,597.0
12820,2010,560.0
12860,2010,670.0
12900,2010,558.0
12940,2010,738.0
12980,2010,642.0
13020,2010,556.0
13060,2010,609.0
13100,2010,553.0
13140,2010,675.0
13180,2010,704.0
13220,2010,510.0
13260,2010,547.0
13300,2010,688.0
13340,2010,641.0
13380,2010,798.0
13420,2010,588.0
13460,2010,866.0
13500,2010,508.0
13540,2010,720.0
13620,2010,593.0
13660,2010,629.0
13700,2010,618.0
13740,2010,650.0
13780,2010,610.0
13820,2010,733.0
13860,2010,793.0
13900,2010,555.0
13940,2010,541.0
13980,2010,672.0
14020,2010,694.0
14060,2010,692.0
14100,2010,619.0
14140,2010,510.0
14180,2010,554.0
14220,2010,520.0
14260,2010,757.0
14300,2010,645.0
14340,2010,572.0
14380,2010,740.0
14420,2010,612.0
14460,2010,1133.0
14500,2010,986.0
14540,2010,620.0
14580,2010,807.0
14620,2010,553.0
14660,2010,616.0
14700,2010,652.0
14740,2010,914.0
14780,2010,725.0
14820,2010,649.0
14860,2010,1206.0
14940,2010,593.0
15020,2010,543.0
15060,2010,757.0
15100,2010,575.0
15140,2010,598.0
15180,2010,584.0
15220,2010,582.0
15260,2010,724.0
15340,2010,613.0
15380,2010,673.0
15420,2010,512.0
15460,2010,568.0
15500,2010,699.0
15540,2010,932.0
15580,2010,517.0
15620,2010,638.0
15660,2010,629.0
15700,2010,704.0
15740,2010,510.0
15780,2010,479.0
15820,2010,511.0
15860,2010,650.0
15900,2010,565.0
15940,2010,619.0
15980,2010,962.0
16020,2010,584.0
16060,2010,577.0
16100,2010,605.0
16180,2010,885.0
16220,2010,648.0
16260,2010,643.0
16300,2010,610.0
16340,2010,641.0
16380,2010,606.0
16420,2010,482.0
16460,2010,565.0
16500,2010,704.0
16540,2010,680.0
16580,2010,723.0
16620,2010,571.0
16660,2010,590.0
16700,2010,863.0
16740,2010,786.0
16820,2010,955.0
16860,2010,658.0
16900,2010,559.0
16940,2010,668.0
16980,2010,900.0
17020,2010,861.0
17060,2010,616.0
17140,2010,692.0
17200,2010,760.0
17220,2010,544.0
17260,2010,545.0
17300,2010,706.0
17340,2010,845.0
17380,2010,578.0
17420,2010,621.0
17460,2010,707.0
17500,2010,764.0
17540,2010,535.0
17580,2010,547.0
17620,2010,384.0
17660,2010,768.0
17700,2010,533.0
17740,2010,609.0
17780,2010,734.0
17820,2010,819.0
17860,2010,723.0
17900,2010,751.0
17940,2010,640.0
17980,2010,716.0
18020,2010,731.0
18060,2010,586.0
18100,2010,541.0
18140,2010,754.0
18180,2010,902.0
18220,2010,592.0
18260,2010,555.0
18300,2010,646.0
18340,2010,532.0
18380,2010,562.0
18420,2010,476.0
18460,2010,616.0
18500,2010,597.0
18580,2010,782.0
18620,2010,670.0
18660,2010,655.0
18700,2010,740.0
18740,2010,514.0
18820,2010,608.0
18860,2010,845.0
18880,2010,962.0
18900,2010,566.0
18940,2010,514.0
18980,2010,563.0
19020,2010,963.0
19060,2010,527.0
19100,2010,850.0
19140,2010,636.0
19180,2010,584.0
19220,2010,567.0
19260,2010,564.0
19300,2010,821.0
19340,2010,618.0
19380,2010,696.0
19460,2010,550.0
19500,2010,595.0
19540,2010,564.0
19580,2010,591.0
19620,2010,584.0
19660,2010,879.0
19700,2010,487.0
19740,2010,871.0
19760,2010,583.0
19780,2010,706.0
19820,2010,786.0
19860,2010,571.0
19900,2010,518.0
19940,2010,571.0
19980,2010,596.0
20020,2010,582.0
20060,2010,527.0
20100,2010,916.0
20140,2010,542.0
20180,2010,534.0
20220,2010,584.0
20260,2010,617.0
20300,2010,608.0
20340,2010,556.0
20380,2010,701.0
20420,2010,944.0
20460,2010,582.0
20500,2010,787.0
20540,2010,594.0
20580,2010,524.0
20620,2010,554.0
20660,2010,912.0
20700,2010,936.0
20740,2010,644.0
20780,2010,1157.0
20820,2010,541.0
20900,2010,616.0
20940,2010,682.0
20980,2010,562.0
21020,2010,744.0
21060,2010,616.0
21120,2010,620.0
21140,2010,695.0
21220,2010,752.0
21260,2010,757.0
21300,2010,647.0
21340,2010,618.0
21380,2010,567.0
21420,2010,594.0
21460,2010,603.0
21500,2010,616.0
21540,2010,522.0
21580,2010,614.0
21640,2010,516.0
21660,2010,769.0
21700,2010,827.0
21740,2010,601.0
21780,2010,626.0
21820,2010,1009.0
21860,2010,521.0
21900,2010,574.0
21940,2010,433.0
21980,2010,782.0
22020,2010,607.0
22060,2010,729.0
22100,2010,530.0
22140,2010,683.0
22180,2010,778.0
22220,2010,675.0
22260,2010,532.0
22280,2010,935.0
22300,2010,633.0
22340,2010,579.0
22380,2010,888.0
22420,2010,662.0
22500,2010,591.0
22520,2010,556.0
22540,2010,635.0
22580,2010,526.0
22620,2010,544.0
22660,2010,849.0
22700,2010,523.0
22780,2010,823.0
22800,2010,497.0
22820,2010,676.0
22840,2010,514.0
22860,2010,743.0
22900,2010,564.0
22980,2010,628.0
23060,2010,624.0
23140,2010,651.0
23180,2010,610.0
23240,2010,787.0
23300,2010,573.0
23340,2010,613.0
23380,2010,568.0
23420,2010,819.0
23460,2010,587.0
23500,2010,541.0
23540,2010,852.0
23580,2010,817.0
23620,2010,739.0
23660,2010,557.0
23700,2010,495.0
23780,2010,599.0
23820,2010,1030.0
23860,2010,720.0
23900,2010,728.0
23940,2010,795.0
23980,2010,525.0
24020,2010,759.0
24100,2010,635.0
24140,2010,626.0
24180,2010,811.0
24220,2010,618.0
24260,2010,585.0
24300,2010,810.0
24340,2010,690.0
24380,2010,518.0
24420,2010,692.0
24460,2010,521.0
24500,2010,557.0
24540,2010,770.0
24580,2010,656.0
24620,2010,527.0
24660,2010,676.0
24700,2010,610.0
24740,2010,570.0
24780,2010,664.0
24820,2010,564.0
24860,2010,671.0
24900,2010,483.0
24940,2010,591.0
24980,2010,521.0
25020,2010,393.0
25060,2010,830.0
25100,2010,570.0
25180,2010,733.0
25220,2010,683.0
25260,2010,815.0
25300,2010,523.0
25340,2010,569.0
25380,2010,523.0
25420,2010,754.0
25460,2010,517.0
25500,2010,754.0
25540,2010,917.0
25580,2010,564.0
25620,2010,667.0
25660,2010,493.0
25700,2010,611.0
25720,2010,888.0
25740,2010,657.0
25760,2010,537.0
25780,2010,624.0
25820,2010,640.0
25860,2010,594.0
25900,2010,1009.0
25940,2010,966.0
25980,2010,767.0
26020,2010,629.0
26100,2010,726.0
26140,2010,749.0
26180,2010,1312.0
26220,2010,702.0
26260,2010,550.0
26300,2010,662.0
26340,2010,545.0
26380,2010,653.0
26420,2010,830.0
26460,2010,751.0
26480,2010,537.0
26500,2010,492.0
26540,2010,596.0
26580,2010,562.0
26620,2010,653.0
26660,2010,699.0
26700,2010,443.0
26740,2010,578.0
26780,2010,631.0
26820,2010,669.0
26860,2010,594.0
26900,2010,742.0
26940,2010,508.0
26980,2010,726.0
27020,2010,500.0
27060,2010,851.0
27100,2010,678.0
27140,2010,767.0
27180,2010,676.0
27220,2010,873.0
27260,2010,897.0
27300,2010,541.0
27340,2010,802.0
27380,2010,583.0
27420,2010,496.0
27460,2010,581.0
27500,2010,698.0
27540,2010,599.0
27580,2010,354.0
27620,2010,564.0
27660,2010,579.0
27700,2010,523.0
27740,2010,556.0
27780,2010,509.0
27860,2010,581.0
27900,2010,597.0
27940,2010,1084.0
27980,2010,1313.0
28020,2010,662.0
28060,2010,707.0
28100,2010,721.0
28140,2010,759.0
28180,2010,1187.0
28260,2010,615.0
28300,2010,906.0
28340,2010,592.0
28380,2010,469.0
28420,2010,716.0
28500,2010,728.0
28540,2010,956.0
28580,2010,1257.0
28620,2010,1010.0
28660,2010,815.0
28700,2010,537.0
28740,2010,939.0
28780,2010,636.0
28820,2010,622.0
28860,2010,497.0
28900,2010,681.0
28940,2010,670.0
28980,2010,968.0
29020,2010,638.0
29060,2010,817.0
29100,2010,645.0
29140,2010,719.0
29180,2010,675.0
29220,2010,447.0
29260,2010,626.0
29300,2010,662.0
29340,2010,678.0
29380,2010,669.0
29420,2010,801.0
29460,2010,835.0
29500,2010,441.0
29540,2010,789.0
29580,2010,603.0
29620,2010,724.0
29660,2010,646.0
29700,2010,690.0
29740,2010,631.0
29780,2010,579.0
29820,2010,1036.0
29860,2010,583.0
29900,2010,561.0
29940,2010,779.0
29980,2010,494.0
30020,2010,660.0
30060,2010,555.0
30100,2010,845.0
30140,2010,635.0
30220,2010,608.0
30260,2010,631.0
30280,2010,628.0
30300,2010,598.0
30340,2010,644.0
30380,2010,520.0
30420,2010,563.0
30460,2010,682.0
30500,2010,1123.0
30580,2010,623.0
30620,2010,611.0
30660,2010,568.0
30700,2010,663.0
30740,2010,631.0
30780,2010,710.0
30820,2010,614.0
30860,2010,649.0
30900,2010,571.0
30940,2010,522.0
30980,2010,667.0
31020,2010,681.0
31060,2010,974.0
31100,2010,1174.0
31140,2010,667.0
31180,2010,728.0
31260,2010,695.0
31300,2010,539.0
31340,2010,627.0
31380,2010,652.0
31420,2010,688.0
31460,2010,864.0
31500,2010,589.0
31540,2010,819.0
31580,2010,539.0
31620,2010,517.0
31660,2010,583.0
31700,2010,1007.0
31740,2010,751.0
31820,2010,547.0
31860,2010,680.0
31900,2010,587.0
31920,2010,683.0
31940,2010,519.0
31980,2010,571.0
32020,2010,641.0
32060,2010,586.0
32100,2010,548.0
32140,2010,543.0
32180,2010,511.0
32220,2010,627.0
32260,2010,552.0
32270,2010,559.0
32280,2010,513.0
32300,2010,535.0
32340,2010,488.0
32380,2010,560.0
32420,2010,375.0
32460,2010,539.0
32500,2010,499.0
32540,2010,588.0
32580,2010,601.0
32620,2010,562.0
32660,2010,536.0
32700,2010,576.0
32740,2010,553.0
32780,2010,814.0
32820,2010,774.0
32860,2010,653.0
32900,2010,798.0
32940,2010,580.0
32980,2010,548.0
33020,2010,556.0
33060,2010,520.0
33100,2010,1072.0
33140,2010,664.0
33180,2010,399.0
33220,2010,631.0
33260,2010,768.0
33300,2010,658.0
33340,2010,769.0
33380,2010,510.0
33420,2010,717.0
33460,2010,842.0
33500,2010,565.0
33540,2010,705.0
33580,2010,535.0
33620,2010,560.0
33660,2010,695.0
33700,2010,941.0
33740,2010,615.0
33780,2010,733.0
33820,2010,644.0
33860,2010,747.0
33940,2010,788.0
33980,2010,699.0
34020,2010,598.0
34060,2010,630.0
34100,2010,581.0
34140,2010,634.0
34180,2010,606.0
34220,2010,539.0
34260,2010,585.0
34300,2010,658.0
34340,2010,526.0
34380,2010,652.0
34420,2010,585.0
34460,2010,527.0
34500,2010,521.0
34540,2010,643.0
34580,2010,872.0
34620,2010,632.0
34660,2010,523.0
34700,2010,599.0
34740,2010,628.0
34780,2010,561.0
34820,2010,788.0
34860,2010,641.0
34900,2010,1211.0
34940,2010,1054.0
34980,2010,774.0
35020,2010,519.0
35060,2010,572.0
35100,2010,721.0
35140,2010,595.0
35220,2010,616.0
35260,2010,597.0
35300,2010,996.0
35340,2010,626.0
35380,2010,885.0
35420,2010,590.0
35460,2010,481.0
35500,2010,586.0
35580,2010,493.0
35620,2010,1109.0
35660,2010,592.0
35700,2010,655.0
35740,2010,521.0
35820,2010,596.0
35840,2010,969.0
35860,2010,657.0
35900,2010,512.0
35940,2010,598.0
35980,2010,974.0
36020,2010,941.0
36060,2010,480.0
36100,2010,829.0
36140,2010,973.0
36180,2010,808.0
36220,2010,651.0
36260,2010,753.0
36300,2010,610.0
36340,2010,534.0
36380,2010,788.0
36420,2010,681.0
36460,2010,582.0
36500,2010,928.0
36540,2010,730.0
36580,2010,733.0
36620,2010,573.0
36660,2010,504.0
36700,2010,585.0
36740,2010,994.0
36780,2010,623.0
36820,2010,521.0
36860,2010,629.0
36900,2010,565.0
36940,2010,650.0
36980,2010,545.0
37020,2010,637.0
37060,2010,737.0
37100,2010,1391.0
37140,2010,540.0
37220,2010,852.0
37260,2010,587.0
37300,2010,647.0
37340,2010,897.0
37380,2010,1032.0
37420,2010,598.0
37460,2010,889.0
37500,2010,568.0
37540,2010,534.0
37580,2010,587.0
37620,2010,560.0
37660,2010,499.0
37700,2010,800.0
37740,2010,696.0
37780,2010,447.0
37800,2010,625.0
37820,2010,612.0
37860,2010,831.0
37900,2010,657.0
37940,2010,573.0
37980,2010,918.0
38020,2010,901.0
38060,2010,909.0
38100,2010,675.0
38180,2010,523.0
38200,2010,545.0
38220,2010,605.0
38260,2010,612.0
38300,2010,644.0
38340,2010,715.0
38380,2010,550.0
38420,2010,535.0
38460,2010,659.0
38500,2010,620.0
38540,2010,572.0
38580,2010,510.0
38620,2010,578.0
38660,2010,362.0
38700,2010,593.0
38740,2010,529.0
38780,2010,534.0
38820,2010,766.0
38860,2010,846.0
38900,2010,852.0
38940,2010,1010.0
39020,2010,520.0
39060,2010,543.0
39100,2010,1034.0
39140,2010,834.0
39220,2010,542.0
39260,2010,744.0
39300,2010,846.0
39340,2010,772.0
39380,2010,652.0
39420,2010,639.0
39460,2010,927.0
39500,2010,541.0
39540,2010,708.0
39580,2010,831.0
39660,2010,664.0
39700,2010,585.0
39740,2010,743.0
39780,2010,770.0
39820,2010,857.0
39860,2010,667.0
39900,2010,910.0
39940,2010,597.0
39980,2010,590.0
40060,2010,883.0
40080,2010,545.0
40100,2010,454.0
40140,2010,1087.0
40180,2010,567.0
40220,2010,680.0
40260,2010,574.0
40300,2010,642.0
40340,2010,712.0
40380,2010,740.0
40420,2010,679.0
40460,2010,493.0
40500,2010,726.0
40540,2010,801.0
40580,2010,656.0
