GEOID,year,transit
10020,2010,83
10100,2010,73
10140,2010,403
10180,2010,293
10220,2010,9
10260,2010,9
10300,2010,100
10380,2010,594
10420,2010,4538
10460,2010,100
10500,2010,624
10540,2010,218
10580,2010,13280
10620,2010,13
10660,2010,91
10700,2010,44
10740,2010,6637
10760,2010,171
10780,2010,555
10820,2010,41
10860,2010,49
10880,2010,92
10900,2010,6480
10940,2010,2
10980,2010,41
11020,2010,192
11060,2010,0
11100,2010,702
11140,2010,49
11180,2010,2731
11220,2010,188
11260,2010,2317
11300,2010,291
11340,2010,329
11380,2010,46
11420,2010,18
11460,2010,6302
11500,2010,152
11540,2010,829
11580,2010,1641
11620,2010,99
11660,2010,35
11700,2010,1103
11740,2010,42
11780,2010,180
11820,2010,278
11860,2010,0
11900,2010,493
11940,2010,49
11980,2010,77
12020,2010,1874
12060,2010,81646
12100,2010,10335
12140,2010,25
12180,2010,476
12220,2010,526
12260,2010,1828
12300,2010,83
12380,2010,501
12420,2010,21479
12460,2010,97
12540,2010,3117
12580,2010,82747
12620,2010,708
12660,2010,27
12700,2010,1261
12740,2010,268
12780,2010,61
12820,2010,36
12860,2010,91
12900,2010,38
12940,2010,3866
12980,2010,188
13020,2010,283
13060,2010,0
13100,2010,4
13140,2010,929
13180,2010,136
13220,2010,60
13260,2010,112
13300,2010,48
13340,2010,25
13380,2010,2604
13420,2010,406
13460,2010,466
13500,2010,72
13540,2010,61
13620,2010,52
13660,2010,38
13700,2010,1
13740,2010,1067
13780,2010,2488
13820,2010,3563
13860,2010,16
13900,2010,190
13940,2010,384
13980,2010,1307
14020,2010,2174
14060,2010,1414
14100,2010,109
14140,2010,154
14180,2010,31
14220,2010,101
14260,2010,1442
14300,2010,38
14340,2010,93
14380,2010,192
14420,2010,19
14460,2010,270130
14500,2010,8022
14540,2010,110
14580,2010,399
14620,2010,23
14660,2010,228
14700,2010,115
14740,2010,8926
14780,2010,55
14820,2010,0
14860,2010,39612
14940,2010,155
15020,2010,27
15060,2010,10
15100,2010,144
15140,2010,6
15180,2010,981
15220,2010,11
15260,2010,279
15340,2010,78
15380,2010,19070
15420,2010,9
15460,2010,127
15500,2010,114
15540,2010,2122
15580,2010,144
15620,2010,123
15660,2010,90
15700,2010,155
15740,2010,23
15780,2010,26
15820,2010,34
15860,2010,16
15900,2010,15
15940,2010,2094
15980,2010,2441
16020,2010,129
16060,2010,144
16100,2010,207
16180,2010,99
16220,2010,206
16260,2010,25
16300,2010,1042
16340,2010,98
16380,2010,96
16420,2010,34
16460,2010,102
16500,2010,91
16540,2010,213
16580,2010,5476
16620,2010,1991
16660,2010,106
16700,2010,3723
16740,2010,16361
16820,2010,2730
16860,2010,1762
16900,2010,58
16940,2010,319
16980,2010,500299
17020,2010,1053
17060,2010,198
17140,2010,24402
17200,2010,43
17220,2010,240
17260,2010,181
17300,2010,376
17340,2010,141
17380,2010,36
17420,2010,67
17460,2010,37311
17500,2010,1922
17540,2010,207
17580,2010,65
17620,2010,142
17660,2010,345
17700,2010,26
17740,2010,73
17780,2010,2432
17820,2010,3784
17860,2010,402
17900,2010,2794
17940,2010,9
17980,2010,913
18020,2010,138
18060,2010,103
18100,2010,13
18140,2010,14376
18180,2010,254
18220,2010,31
18260,2010,42
18300,2010,53
18340,2010,97
18380,2010,53
18420,2010,79
18460,2010,24
18500,2010,294
18580,2010,2628
18620,2010,0
18660,2010,187
18700,2010,779
18740,2010,45
18820,2010,8
18860,2010,13
18880,2010,398
18900,2010,81
18940,2010,43
18980,2010,41
19020,2010,110
19060,2010,254
19100,2010,45941
19140,2010,87
19180,2010,180
19220,2010,30
19260,2010,596
19300,2010,241
19340,2010,1457
19380,2010,6446
19460,2010,137
19500,2010,569
19540,2010,20
19580,2010,44
19620,2010,45
19660,2010,1817
19700,2010,67
19740,2010,58009
19760,2010,57
19780,2010,4113
19820,2010,27611
19860,2010,5
19900,2010,156
19940,2010,246
19980,2010,4
20020,2010,145
20060,2010,46
20100,2010,868
20140,2010,18
20180,2010,75
20220,2010,423
20260,2010,2383
20300,2010,9
20340,2010,34
20380,2010,121
20420,2010,268
20460,2010,44
20500,2010,9028
20540,2010,7
20580,2010,63
20620,2010,159
20660,2010,59
20700,2010,3757
20740,2010,628
20780,2010,2145
20820,2010,44
20900,2010,62
20940,2010,543
20980,2010,45
21020,2010,137
21060,2010,68
21120,2010,21
21140,2010,359
21220,2010,2163
21260,2010,79
21300,2010,463
21340,2010,5711
21380,2010,28
21420,2010,182
21460,2010,81
21500,2010,1803
21540,2010,146
21580,2010,242
21640,2010,30
21660,2010,6080
21700,2010,730
21740,2010,365
21780,2010,1227
21820,2010,536
21860,2010,36
21900,2010,157
21940,2010,462
21980,2010,21
22020,2010,1059
22060,2010,303
22100,2010,65
22140,2010,44
22180,2010,592
22220,2010,769
22260,2010,154
22280,2010,0
22300,2010,44
22340,2010,80
22380,2010,539
22420,2010,1666
22500,2010,376
22520,2010,50
22540,2010,209
22580,2010,46
22620,2010,18
22660,2010,1157
22700,2010,48
22780,2010,129
22800,2010,33
22820,2010,30
22840,2010,39
22860,2010,53
22900,2010,379
22980,2010,0
23060,2010,1045
23140,2010,3
23180,2010,264
23240,2010,0
23300,2010,192
23340,2010,6
23380,2010,187
23420,2010,5164
23460,2010,24
23500,2010,12
23540,2010,3898
23580,2010,219
23620,2010,119
23660,2010,211
23700,2010,61
23780,2010,55
23820,2010,92
23860,2010,247
23900,2010,170
23940,2010,668
23980,2010,33
24020,2010,298
24100,2010,84
24140,2010,258
24180,2010,79
24220,2010,804
24260,2010,130
24300,2010,350
24340,2010,4394
24380,2010,12
24420,2010,10
24460,2010,103
24500,2010,491
24540,2010,717
24580,2010,1367
24620,2010,59
24660,2010,3559
24700,2010,67
24740,2010,66
24780,2010,373
24820,2010,118
24860,2010,1446
24900,2010,22
24940,2010,65
24980,2010,70
25020,2010,343
25060,2010,459
25100,2010,75
25180,2010,1663
25220,2010,260
25260,2010,916
25300,2010,81
25340,2010,55
25380,2010,40
25420,2010,3976
25460,2010,26
25500,2010,412
25540,2010,16246
25580,2010,52
25620,2010,148
25660,2010,10
25700,2010,59
25720,2010,27
25740,2010,84
25760,2010,5
25780,2010,18
25820,2010,0
25860,2010,266
25900,2010,1256
25940,2010,339
25980,2010,120
26020,2010,0
26100,2010,793
26140,2010,178
26180,2010,36935
26220,2010,137
26260,2010,45
26300,2010,187
26340,2010,197
26380,2010,662
26420,2010,68129
26460,2010,826
26480,2010,14
26500,2010,10
26540,2010,55
26580,2010,1005
26620,2010,686
26660,2010,36
26700,2010,46
26740,2010,120
26780,2010,45
26820,2010,1969
26860,2010,282
26900,2010,8611
26940,2010,6
26980,2010,4241
27020,2010,8
27060,2010,3344
27100,2010,338
27140,2010,977
27180,2010,365
27220,2010,353
27260,2010,7051
27300,2010,182
27340,2010,269
27380,2010,0
27420,2010,109
27460,2010,242
27500,2010,541
27540,2010,6
27580,2010,25
27620,2010,242
27660,2010,63
27700,2010,49
27740,2010,340
27780,2010,623
27860,2010,57
27900,2010,121
27940,2010,928
27980,2010,1300
28020,2010,1286
28060,2010,163
28100,2010,973
