GEOID,year,white
10020,2010,46011
10100,2010,37437
10140,2010,59208
10180,2010,112303
10220,2010,25686
10260,2010,170
10300,2010,88657
10380,2010,6149
10420,2010,582187
10460,2010,33670
10500,2010,70226
10540,2010,100237
10580,2010,724692
10620,2010,49454
10660,2010,28065
10700,2010,77468
10740,2010,372121
10760,2010,36509
10780,2010,98860
10820,2010,34951
10860,2010,8211
10880,2010,99899
10900,2010,650298
10940,2010,37437
10980,2010,29017
11020,2010,121828
11060,2010,17627
11100,2010,160718
11140,2010,16775
11180,2010,76616
11220,2010,42945
11260,2010,252114
11300,2010,113978
11340,2010,145546
11380,2010,6901
11420,2010,30773
11460,2010,250013
11500,2010,86996
11540,2010,201923
11580,2010,19446
11620,2010,41714
11660,2010,16316
11700,2010,361634
11740,2010,51595
11780,2010,92715
11820,2010,32357
11860,2010,15113
11900,2010,58779
11940,2010,47289
11980,2010,63846
12020,2010,129192
12060,2010,2668095
12100,2010,162414
12140,2010,40177
12180,2010,73730
12220,2010,94891
12260,2010,309627
12300,2010,116652
12380,2010,33413
12420,2010,902049
12460,2010,14820
12540,2010,327013
12580,2010,1636647
12620,2010,145175
12660,2010,56845
12700,2010,201262
12740,2010,56497
12780,2010,38516
12820,2010,14695
12860,2010,55220
12900,2010,32576
12940,2010,460373
12980,2010,110146
13020,2010,98971
13060,2010,17619
13100,2010,21717
13140,2010,230228
13180,2010,81687
13220,2010,69125
13260,2010,44567
13300,2010,10864
13340,2010,43617
13380,2010,162089
13420,2010,32681
13460,2010,137508
13500,2010,11849
13540,2010,35570
13620,2010,38390
13660,2010,39584
13700,2010,18414
13740,2010,136982
13780,2010,224020
13820,2010,735469
13860,2010,12442
13900,2010,97966
13940,2010,33705
13980,2010,142456
14020,2010,169938
14060,2010,138304
14100,2010,80296
14140,2010,99090
14180,2010,28560
14220,2010,30654
14260,2010,495133
14300,2010,27461
14340,2010,25418
14380,2010,46308
14420,2010,16673
14460,2010,3418944
14500,2010,231746
14540,2010,101906
14580,2010,81979
14620,2010,41537
14660,2010,83917
14700,2010,72472
14740,2010,197374
14780,2010,22106
14820,2010,29480
14860,2010,612055
14940,2010,42683
15020,2010,23589
15060,2010,19964
15100,2010,29036
15140,2010,8527
15180,2010,44389
15220,2010,28769
15260,2010,75780
15340,2010,42789
15380,2010,911104
15420,2010,29216
15460,2010,43356
15500,2010,100158
15540,2010,193808
15580,2010,31248
15620,2010,45599
15660,2010,43529
15700,2010,21530
15740,2010,38484
15780,2010,18876
15820,2010,22176
15860,2010,34067
15900,2010,34590
15940,2010,359928
15980,2010,436429
16020,2010,83069
16060,2010,45869
16100,2010,28053
16180,2010,39966
16220,2010,65704
16260,2010,39043
16300,2010,231961
16340,2010,30511
16380,2010,39732
16420,2010,29393
16460,2010,36718
16500,2010,64848
16540,2010,133329
16580,2010,172042
16620,2010,279859
16660,2010,60128
16700,2010,407333
16740,2010,1054303
16820,2010,152130
16860,2010,414127
16900,2010,19718
16940,2010,72579
16980,2010,5229034
17020,2010,166463
17060,2010,69943
17140,2010,1735201
17200,2010,42016
17220,2010,89352
17260,2010,6203
17300,2010,185143
17340,2010,48392
17380,2010,11474
17420,2010,102839
17460,2010,1507791
17500,2010,14119
17540,2010,45829
17580,2010,24376
17620,2010,214
17660,2010,124587
17700,2010,29018
17740,2010,41795
17780,2010,133476
17820,2010,457430
17860,2010,138064
17900,2010,438892
17940,2010,63416
17980,2010,146696
18020,2010,66756
18060,2010,31933
18100,2010,27268
18140,2010,1378770
18180,2010,138873
18220,2010,23472
18260,2010,96151
18300,2010,55479
18340,2010,34821
18380,2010,12090
18420,2010,31218
18460,2010,34178
18500,2010,93554
18580,2010,157835
18620,2010,28963
18660,2010,46480
18700,2010,70850
18740,2010,35785
18820,2010,35638
18860,2010,18757
18880,2010,141597
18900,2010,52851
18940,2010,48118
18980,2010,74469
19020,2010,33077
19060,2010,92913
19100,2010,3171029
19140,2010,96914
19180,2010,66411
19220,2010,48002
19260,2010,67748
19300,2010,147801
19340,2010,311502
19380,2010,668348
19460,2010,118946
19500,2010,87708
19540,2010,32343
19580,2010,34498
19620,2010,8623
19660,2010,377031
19700,2010,9363
19740,2010,1638713
19760,2010,28312
19780,2010,467263
19820,2010,2964394
19860,2010,23111
19900,2010,15038
19940,2010,32098
19980,2010,15159
20020,2010,102705
20060,2010,30015
20100,2010,104319
20140,2010,35072
20180,2010,77803
20220,2010,86583
20260,2010,256832
20300,2010,8539
20340,2010,36996
20380,2010,71042
20420,2010,40454
20460,2010,30754
20500,2010,274467
20540,2010,31129
20580,2010,1540
20620,2010,103139
20660,2010,29755
20700,2010,121062
20740,2010,148412
20780,2010,38659
20820,2010,33135
20900,2010,19957
20940,2010,24627
20980,2010,26315
21020,2010,39558
21060,2010,92473
21120,2010,17399
21140,2010,153266
21220,2010,34782
21260,2010,34575
21300,2010,78096
21340,2010,104318
21380,2010,28307
21420,2010,48395
21460,2010,70777
21500,2010,243363
21540,2010,35274
21580,2010,5506
21640,2010,14160
21660,2010,296315
21700,2010,104123
21740,2010,18328
21780,2010,317910
21820,2010,70247
21860,2010,19825
21900,2010,52937
21940,2010,622
21980,2010,19253
22020,2010,183708
22060,2010,54000
22100,2010,59766
22140,2010,54270
22180,2010,169014
22220,2010,345119
22260,2010,54690
22280,2010,40654
22300,2010,67952
22340,2010,17003
22380,2010,72977
22420,2010,316816
22500,2010,111997
22520,2010,122456
22540,2010,93324
22580,2010,56505
22620,2010,12060
22660,2010,247341
22700,2010,34613
22780,2010,35799
22800,2010,40052
22820,2010,17516
22840,2010,58127
22860,2010,36562
22900,2010,225888
22980,2010,12377
23060,2010,330465
23140,2010,28679
23180,2010,61203
23240,2010,19165
23300,2010,41049
23340,2010,32585
23380,2010,53215
23420,2010,308759
23460,2010,83090
23500,2010,40898
23540,2010,172588
23580,2010,112923
23620,2010,30506
23660,2010,61187
23700,2010,7489
23780,2010,17315
23820,2010,39506
23860,2010,37438
23900,2010,91685
23940,2010,38811
23980,2010,48117
24020,2010,121670
24100,2010,52190
24140,2010,67556
24180,2010,50033
24220,2010,88022
24260,2010,56164
24300,2010,119251
24340,2010,618011
