GEOID,year,workers
10020,2010,23545
10100,2010,21416
10140,2010,27644
10180,2010,74051
10220,2010,17257
10260,2010,4384
10300,2010,44152
10380,2010,75110
10420,2010,335045
10460,2010,25957
10500,2010,62005
10540,2010,48632
10580,2010,425427
10620,2010,25745
10660,2010,15315
10700,2010,37809
10740,2010,399169
10760,2010,21451
10780,2010,62124
10820,2010,17872
10860,2010,15861
10880,2010,50016
10900,2010,380179
10940,2010,16604
10980,2010,12378
11020,2010,56450
11060,2010,12117
11100,2010,117664
11140,2010,15169
11180,2010,48514
11220,2010,21972
11260,2010,182195
11300,2010,55560
11340,2010,77915
11380,2010,6419
11420,2010,16832
11460,2010,163823
11500,2010,46345
11540,2010,116819
11580,2010,12646
11620,2010,24597
11660,2010,9982
11700,2010,188415
11740,2010,23470
11780,2010,42523
11820,2010,17221
11860,2010,7495
11900,2010,25478
11940,2010,21048
11980,2010,31023
12020,2010,84681
12060,2010,2426787
12100,2010,125903
12140,2010,19349
12180,2010,36799
12220,2010,60913
12260,2010,232196
12300,2010,58044
12380,2010,18804
12420,2010,823119
12460,2010,11035
12540,2010,304506
12580,2010,1320217
12620,2010,72656
12660,2010,32501
12700,2010,101796
12740,2010,31645
12780,2010,22740
12820,2010,9804
12860,2010,29211
12900,2010,15335
12940,2010,360063
12980,2010,57633
13020,2010,47653
13060,2010,14854
13100,2010,10919
13140,2010,156125
13180,2010,43296
13220,2010,29582
13260,2010,19171
13300,2010,8571
13340,2010,20947
13380,2010,92557
13420,2010,19974
13460,2010,71038
13500,2010,9233
13540,2010,18280
13620,2010,18060
13660,2010,15992
13700,2010,11990
13740,2010,78557
13780,2010,114642
13820,2010,499403
13860,2010,8442
13900,2010,57994
13940,2010,18622
13980,2010,71339
14020,2010,85393
14060,2010,85869
14100,2010,38281
14140,2010,38615
14180,2010,17279
14220,2010,15886
14260,2010,273462
14300,2010,13661
14340,2010,13629
14380,2010,24576
14420,2010,9177
14460,2010,2267604
14500,2010,150237
14540,2010,57295
14580,2010,48509
14620,2010,18418
14660,2010,40541
14700,2010,35584
14740,2010,114631
14780,2010,13848
14820,2010,12706
14860,2010,428570
14940,2010,20756
15020,2010,13303
15060,2010,8470
15100,2010,16939
15140,2010,7351
15180,2010,135993
15220,2010,15243
15260,2010,47937
15340,2010,19119
15380,2010,518632
15420,2010,16993
15460,2010,21740
15500,2010,69357
15540,2010,111928
15580,2010,15613
15620,2010,19538
15660,2010,23521
15700,2010,14712
15740,2010,16635
15780,2010,12337
15820,2010,9792
15860,2010,14052
15900,2010,15097
15940,2010,184125
15980,2010,250778
16020,2010,44627
16060,2010,26514
16100,2010,22937
16180,2010,24378
16220,2010,37280
16260,2010,18647
16300,2010,130431
16340,2010,16393
16380,2010,19909
16420,2010,11123
16460,2010,16969
16500,2010,29728
16540,2010,68796
16580,2010,112461
16620,2010,127528
16660,2010,28053
16700,2010,308044
16740,2010,812451
16820,2010,95298
16860,2010,235773
16900,2010,12496
16940,2010,46267
16980,2010,4392010
17020,2010,87034
17060,2010,30029
17140,2010,998219
17200,2010,22317
17220,2010,38242
17260,2010,8803
17300,2010,114593
17340,2010,23156
17380,2010,12674
17420,2010,48667
17460,2010,958330
17500,2010,15022
17540,2010,23946
17580,2010,21357
17620,2010,16682
17660,2010,61538
17700,2010,15895
17740,2010,17663
17780,2010,99584
17820,2010,304558
17860,2010,86633
17900,2010,358181
17940,2010,36062
17980,2010,127597
18020,2010,35843
18060,2010,24529
18100,2010,16708
18140,2010,870414
18180,2010,75202
18220,2010,9437
18260,2010,42496
18300,2010,25074
18340,2010,12003
18380,2010,8558
18420,2010,14029
18460,2010,16809
18500,2010,42951
18580,2010,183966
18620,2010,20195
18660,2010,22318
18700,2010,40086
18740,2010,15365
18820,2010,17636
18860,2010,9089
18880,2010,90114
18900,2010,20273
18940,2010,24372
18980,2010,33093
19020,2010,21599
19060,2010,41809
19100,2010,2945952
19140,2010,60134
19180,2010,33960
19220,2010,21218
19260,2010,44337
19300,2010,77184
19340,2010,179604
19380,2010,384547
19460,2010,65723
19500,2010,48208
19540,2010,15339
19580,2010,17173
19620,2010,19617
19660,2010,208931
19700,2010,8418
19740,2010,1252889
19760,2010,14085
19780,2010,291561
19820,2010,1840867
19860,2010,13195
19900,2010,11625
19940,2010,16688
19980,2010,15987
20020,2010,60809
20060,2010,19248
20100,2010,70667
20140,2010,22558
20180,2010,33601
20220,2010,48424
20260,2010,130272
20300,2010,9492
20340,2010,18808
20380,2010,45627
20420,2010,26888
20460,2010,17131
20500,2010,235361
20540,2010,15577
20580,2010,18477
20620,2010,45826
20660,2010,17956
20700,2010,74928
20740,2010,82765
20780,2010,33932
20820,2010,17120
20900,2010,18904
20940,2010,55565
20980,2010,16182
21020,2010,27371
21060,2010,51516
21120,2010,9649
21140,2010,90354
21220,2010,24742
21260,2010,17919
21300,2010,38223
21340,2010,308705
21380,2010,18456
21420,2010,28449
21460,2010,42267
21500,2010,124720
21540,2010,15962
21580,2010,16311
21640,2010,10542
21660,2010,156251
21700,2010,58829
21740,2010,9935
21780,2010,168165
21820,2010,48056
21860,2010,10022
21900,2010,24572
21940,2010,21591
21980,2010,10621
22020,2010,114202
22060,2010,31755
22100,2010,24971
22140,2010,51956
22180,2010,159086
22220,2010,207110
22260,2010,27174
22280,2010,20022
22300,2010,36398
22340,2010,9192
22380,2010,63138
22420,2010,165835
22500,2010,85908
22520,2010,60565
22540,2010,52139
22580,2010,25591
22620,2010,8768
22660,2010,148674
22700,2010,18553
22780,2010,26484
22800,2010,18954
22820,2010,12620
22840,2010,27818
22860,2010,22541
22900,2010,124228
22980,2010,10458
23060,2010,192383
23140,2010,15012
23180,2010,33251
23240,2010,11307
23300,2010,21919
23340,2010,17801
23380,2010,28890
23420,2010,351673
23460,2010,40160
23500,2010,20907
23540,2010,119873
23580,2010,77936
23620,2010,17761
23660,2010,30210
23700,2010,23617
23780,2010,18045
23820,2010,21446
23860,2010,22722
23900,2010,50770
23940,2010,23902
23980,2010,21938
24020,2010,59132
24100,2010,23590
24140,2010,52682
24180,2010,25281
24220,2010,52409
24260,2010,36495
24300,2010,67278
24340,2010,352577
24380,2010,8517
24420,2010,30990
24460,2010,13855
24500,2010,38730
24540,2010,115789
24580,2010,153134
24620,2010,28016
24660,2010,328698
24700,2010,11890
24740,2010,17743
24780,2010,83608
24820,2010,24233
24860,2010,278702
24900,2010,14080
24940,2010,28988
24980,2010,8646
25020,2010,21130
25060,2010,107131
25100,2010,9630
25180,2010,124016
25220,2010,48026
25260,2010,56356
25300,2010,17924
25340,2010,22177
25380,2010,9751
25420,2010,268655
25460,2010,19171
25500,2010,56321
25540,2010,589357
25580,2010,18925
25620,2010,61539
25660,2010,7103
25700,2010,16233
25720,2010,10537
25740,2010,37150
25760,2010,7550
25780,2010,16879
25820,2010,7853
25860,2010,158456
25900,2010,83240
25940,2010,80565
25980,2010,33927
26020,2010,24477
26100,2010,124875
26140,2010,45131
26180,2010,467598
26220,2010,11094
26260,2010,13295
26300,2010,38240
26340,2010,16151
26380,2010,90074
26420,2010,2654557
26460,2010,30262
26480,2010,20014
26500,2010,18598
26540,2010,17556
26580,2010,113171
26620,2010,188090
26660,2010,20706
26700,2010,8689
26740,2010,29643
26780,2010,18946
26820,2010,55694
26860,2010,38689
26900,2010,821516
26940,2010,8429
26980,2010,81490
27020,2010,13797
27060,2010,49414
27100,2010,66254
27140,2010,238219
27180,2010,49832
27220,2010,17231
27260,2010,621153
27300,2010,19002
27340,2010,86602
27380,2010,19275
27420,2010,10474
27460,2010,58434
27500,2010,75781
27540,2010,26426
27580,2010,4276
27620,2010,71375
27660,2010,12082
27700,2010,11195
27740,2010,83978
27780,2010,60689
27860,2010,51716
27900,2010,77668
27940,2010,16967
27980,2010,75530
28020,2010,147480
28060,2010,41373
28100,2010,49498
28140,2010,983004
28180,2010,31890
28260,2010,27809
28300,2010,39495
28340,2010,21018
28380,2010,10961
28420,2010,105218
28500,2010,20291
28540,2010,6604
28580,2010,37837
28620,2010,17663
28660,2010,178154
28700,2010,128618
28740,2010,86995
28780,2010,13007
28820,2010,24418
28860,2010,12916
28900,2010,28229
28940,2010,318062
28980,2010,6885
29020,2010,40649
29060,2010,29976
29100,2010,69564
29140,2010,92454
29180,2010,127201
29220,2010,13721
29260,2010,11018
29300,2010,27370
29340,2010,86139
29380,2010,24794
29420,2010,73133
29460,2010,240951
29500,2010,4502
29540,2010,245474
29580,2010,28168
29620,2010,217689
29660,2010,19605
29700,2010,93763
29740,2010,84249
29780,2010,10967
29820,2010,894892
29860,2010,33436
29900,2010,11616
29940,2010,57974
29980,2010,16180
30020,2010,55903
30060,2010,15459
30100,2010,88129
30140,2010,63025
30220,2010,9733
30260,2010,17531
30280,2010,12919
30300,2010,27239
30340,2010,51319
30380,2010,18870
30420,2010,12885
30460,2010,229098
30500,2010,51585
30580,2010,10293
30620,2010,46651
30660,2010,12489
30700,2010,159610
30740,2010,33923
30780,2010,323099
30820,2010,16625
30860,2010,56010
30900,2010,16975
30940,2010,22993
30980,2010,90938
31020,2010,40367
31060,2010,9205
31100,2010,5810839
31140,2010,587219
31180,2010,130613
31260,2010,34900
31300,2010,47344
31340,2010,114070
31380,2010,14431
31420,2010,93336
31460,2010,46267
31500,2010,14175
31540,2010,308437
31580,2010,19445
31620,2010,9719
31660,2010,20169
31700,2010,208769
31740,2010,61503
31820,2010,40973
31860,2010,53232
31900,2010,53419
31920,2010,18657
31940,2010,30024
31980,2010,28918
32020,2010,28036
32060,2010,27598
32100,2010,30935
32140,2010,13861
32180,2010,10462
32220,2010,27733
32260,2010,18165
32270,2010,36084
32280,2010,14375
32300,2010,27655
32340,2010,11511
32380,2010,26683
32420,2010,29149
32460,2010,14591
32500,2010,11765
32540,2010,17625
32580,2010,260986
32620,2010,18904
32660,2010,15895
32700,2010,15028
32740,2010,37331
32780,2010,86340
32820,2010,576082
32860,2010,21345
32900,2010,91438
32940,2010,41983
32980,2010,14365
33020,2010,10568
33060,2010,13132
33100,2010,2504316
33140,2010,47646
