year,fares,opexp_total,vrm,bus_upt,bus_vrm,bus_vrh,bus_fares,bus_opexp,rail_upt,rail_vrm,rail_vrh,rail_fares,rail_opexp,para_upt,upt,avg_fare,bus_avg_fare,rail_avg_fare,speed,bus_speed,rail_speed,recovery,bus_recovery,rail_recovery,vrm_per_ride,bus_vrm_per_ride,rail_vrm_per_ride,headways,trip_length,failures,capita,gas
2006,9698906118.0,25709229512.0,2962496540.0,4681792603.0,1512329654.0,123078379.0,4081929058.0,13685034477.0,3758127744.0,983766338.0,45294957.0,5391283895.0,10137777273.0,49705803.0,8556763398.0,1.4168479463080277,1.0898413823864124,1.7932080354397872,15.089920469939333,12.287533084913314,21.71911407267701,0.3772538618270514,0.2982768559962613,0.5318013751750729,2.8883623263235947,3.0957487282068463,3.8201426485483183,7.907843732603499,5.358896566161663,9746.84070937477,33.883546400154984,2.641687900432901
2007,9977250136.0,28031981292.0,3108415472.0,4688468582.0,1536289736.0,125644106.0,4033640165.0,14635872689.0,4356447612.0,1014930769.0,46743256.0,5673678523.0,11111089368.0,56914330.0,9176252628.0,1.315621218592283,1.0410018781800168,1.5758598804034003,15.071661271267645,12.227312405724787,21.712881297785504,0.35592382971685954,0.2755995662651258,0.5106320663156779,2.9520676082904274,3.0518127356674603,4.29235938554938,7.934078354782135,5.27850490822385,12118.52521523521,35.92500493671381,2.871831272727273
2008,10735166860.0,29943104745.0,3226227037.0,4824940070.0,1548418900.0,127286114.0,4259026919.0,15573227049.0,4479961244.0,1047323305.0,48171260.0,6175784882.0,11691503860.0,63977878.0,9448833379.0,1.3292799991705726,1.0327716868885377,1.6128863439649879,15.118593963050095,12.16486898170212,21.741663078773527,0.3585188293405878,0.27348390321410515,0.528228443145722,2.928756491913312,3.1160431263142034,4.277534188929368,7.4990918971737734,5.293099940481023,11823.53162298644,36.685820332528486,3.3292454025974023
2009,11096277671.0,30965314328.0,3281910323.0,4711981355.0,1549625436.0,127256063.0,4399685146.0,15864520967.0,4425403228.0,1063029441.0,48797842.0,6373721362.0,12232472600.0,68317578.0,9285603897.0,1.398147607746271,1.0924558551908785,1.6851015849487239,15.128649623121072,12.17722283298989,21.7843535171084,0.35834539102244245,0.27732858465451576,0.5210493062539131,2.8293289526911916,3.0407227743775884,4.163010973465598,7.31882487739642,5.386627233492038,10717.469644730925,35.43549218185892,2.4179745454545465
2010,11396565576.0,31308425583.0,3216170581.0,4505656460.0,1498220909.0,123290596.0,4435888001.0,15915381279.0,4474467372.0,1049101905.0,47779587.0,6625962359.0,12454675663.0,61724024.0,9125515011.0,1.4361984388389935,1.1321926663600979,1.7029639685234919,15.219076142711115,12.151947979876747,21.95711538904679,0.36400953940616426,0.2787170425412967,0.5320060143102902,2.837385263365793,3.0073378584786523,4.26504551242808,7.229414614234218,5.342233190590935,10932.89123820807,34.98654708422182,2.8866340259740255
2011,12375640958.0,32045761919.0,3191173962.0,4482707654.0,1459777940.0,120670475.0,4719412194.0,16116592112.0,4599749392.0,1037875639.0,47661268.0,7306551357.0,12881961885.0,64247708.0,9231931288.0,1.5013887604402631,1.1791403913131473,1.779083341816984,15.162795557663776,12.097225439777212,21.776081135734785,0.3861865100689791,0.2928294121488653,0.5671924371634639,2.892957700812426,3.07081476652538,4.431888772754979,7.303245828718072,5.458040263200018,11755.973365617434,32.06547426788884,3.6393197922077927
2012,12894365054.0,33506208358.0,3228424540.0,4612061793.0,1458981782.0,121434350.0,4925305729.0,16684318707.0,4727131593.0,1052198210.0,48389511.0,7578508070.0,13596608848.0,66022798.0,9496216748.0,1.480048137256355,1.1640310745094997,1.74748124391806,15.225372279782302,12.0145723347636,21.74434476099583,0.3848351002963103,0.2952056847807373,0.5573822233707021,2.9414398974925398,3.1611510506167515,4.492624629156136,7.369740496377218,5.407361899549599,16918.199175577425,17.4163926054612,3.7461676493506477
2013,13738123223.0,34769080871.0,3283566290.0,4574475189.0,1467092985.0,122862945.0,5126033870.0,17075157721.0,4820875504.0,1086007138.0,50183015.0,8206312034.0,14380479100.0,65884830.0,9554232288.0,1.5529424692212381,1.2102189542775112,1.8384247818402075,15.235571162561321,11.940890599684062,21.640930462229104,0.3951247165253257,0.30020418866735926,0.570656372220589,2.9097120155902196,3.118054026411966,4.439082705181998,7.15254837518933,5.506138605932123,17549.8150153864,32.19417544900331,3.6399929740259735
2014,14170480100.0,36596190888.0,3343039810.0,4529450151.0,1487729473.0,124949279.0,5196891946.0,17821865280.0,4965557291.0,1104722469.0,50926961.0,8545846951.0,15319402843.0,67388720.0,9657061239.0,1.5554119969063602,1.216197392423847,1.8242862255317398,15.210178643172494,11.9066671285074,21.692291220754367,0.3872118861596206,0.2916020216936574,0.5578446522088106,2.888706622671059,3.044538831287911,4.494845927678873,7.157899036330611,5.496777218376299,16913.304300766904,31.650229066957362,3.4990445714285703
2015,14661285731.0,37400983271.0,3409752463.0,4466968207.0,1507339188.0,127547086.0,5219767966.0,18170924979.0,4903197822.0,1129983116.0,52018229.0,8982108819.0,15701993997.0,68602072.0,9538086536.0,1.6293585528085839,1.2386374354063092,1.9418011864461953,15.156058969510347,11.817903766143274,21.722829433504934,0.39200268144736394,0.287259342715489,0.5720361898441757,2.7972958856984333,2.963479117747186,4.339177951044713,7.1659557097770055,5.445398214827017,17785.32483150206,33.252262310807176,2.596043948051948
