taid,taname,talong,tashort,msaid,display,msa_color
1,NYCT,New York City Transit,NYC Transit,35620,True,#0f8fff
1,MTA New York City Transit,MTA New York City Transit,NYCT,35620,False,#0f8fff
1,MTA Bus Company,MTA Bus Company,MTABUS,35620,False,#0f8fff
2,NJTransit,New Jersey Transit,NJ TRANSIT,35620,True,#ff5e4d
3,Long Island Rail Road,MTA Long Island Rail Road,MTA LIRR,35620,True,#8c6112
4,PATH,Port Authority Trans-Hudson Corporation,PATH,35620,True,#ff9d2e
5,Metro-North Railroad,MTA Metro-North Railroad,MTA MNR,35620,True,#c2ab00
6,Westchester County Bee-Line System,Westchester County Bee-Line System,Westchester County Bee-Line System,35620,True,#33a02c
7,Nassau Inter County Express,Nassau Inter County Express,Nassau Inter County Express,35620,True,#eb52d6
8,NYC DOT,New York City Department of Transportation,NYCDOT,35620,True,#707070
9,Adirondack Transit Lines,Adirondack Transit Lines,Adirondack Trailways,35620,False,#00ad91
9,Monsey New Square Trails Corporation,Monsey New Square Trails Corporation,,35620,False,#00ad91
9,Community Transit,Community Transit,Community Transit,35620,False,#00ad91
9,Somerset County Transportation,Somerset County Transportation,SCT,35620,False,#00ad91
9,Long Beach Bus,Long Beach Bus,Long Beach Bus,35620,False,#00ad91
9,Middlesex County Area Transit,Middlesex County Area Transit,MCAT,35620,False,#00ad91
9,Bergen County Community Transportation,Bergen County Community Transportation,BCCT,35620,False,#00ad91
9,EZ Ride,EZ Ride,EZ Ride,35620,False,#00ad91
9,Essex County Division of Training and Employment,Essex County Division of Training and Employment,ECDTE,35620,False,#00ad91
9,Huntington Area Rapid Transit,Huntington Area Rapid Transit,HART,35620,False,#00ad91
9,Putnam County Transit,Putnam County Transit,PART,35620,False,#00ad91
9,County of Hunterdon,County of Hunterdon,HCLink,35620,False,#00ad91
9,Olympia Trails Bus Company,Olympia Trails Bus Company,Coach USA,35620,False,#00ad91
9,County of Morris,County of Morris,MAPS,35620,False,#00ad91
9,Kaser Bus Service,Kaser Bus Service,Kaser,35620,False,#00ad91
9,Village of Spring Valley Bus,Village of Spring Valley Bus,Spring Valley Jitney,35620,False,#00ad91
9,Saddle River Trail,Saddle River Trail,STR,35620,False,#00ad91
9,Broadway Bus Corporation,Broadway Bus Corporation,,35620,False,#00ad91
9,Clarkstown Mini-Trans,Clarkstown Mini-Trans,,35620,False,#00ad91
9,Private Transportation Corporation,Private Transportation Corporation,,35620,False,#00ad91
9,New York City Other,,New York City Other,35620,True,#00ad91
9,Staten Island Railway,Staten Island Railway,SIRTOA,35620,False,#00ad91
9,NY Waterway,NY Waterway,Port Imperial Ferry Corporation,35620,False,#00ad91
9,Hampton Jitney,Hampton Jitney,,35620,False,#00ad91
9,Orange-Newark-Elizabeth,Orange-Newark-Elizabeth,Coach USA,35620,False,#00ad91
9,Suffolk County DPW - Transportation,Suffolk County DPW - Transportation,ST,35620,False,#00ad91
9,Hudson Transit Lines,Hudson Transit Lines,Short Line,35620,False,#00ad91
9,A&C Bus Corporation & Montgomery & Westside Owners Association,A&C Bus Corporation & Montgomery & Westside Owners Association,,35620,False,#00ad91
9,Academy Lines,Academy Lines,,35620,False,#00ad91
9,Suburban Transit Corporation,Suburban Transit Corporation,Coach USA,35620,False,#00ad91
9,Transport of Rockland,Transport of Rockland,TOR,35620,False,#00ad91
9,Rockland Coaches,Rockland Coaches,,35620,False,#00ad91
9,DeCamp Bus Lines,DeCamp Bus Lines,,35620,False,#00ad91
9,NYC Economic Development Corporation,NYC Economic Development Corporation,NYCEDC,35620,False,#00ad91
9,BillyBey Ferry Company,BillyBey Ferry Company,,35620,False,#00ad91
9,Lakeland Bus Lines,Lakeland Bus Lines,,35620,False,#00ad91
9,Trans-Bridge Lines,Trans-Bridge Lines,,35620,False,#00ad91
10,LA Metro,Los Angeles County Metropolitan Transportation Authority,LA Metro,31080,True,#0f8fff
11,Orange County Transportation Authority,Orange County Transportation Authority,OCTA,31080,True,#ff5e4d
12,Long Beach Transit,Long Beach Transit,LBT,31080,True,#8c6112
13,LA DOT,City of Los Angeles Department of Transportation,LADOT,31080,True,#ff9d2e
14,Metrolink,Southern California Regional Rail Authority,Metrolink,31080,True,#c2ab00
15,Foothill Transit,Foothill Transit,Foothill Transit,31080,True,#33a02c
16,Big Blue Bus,Santa Monica's Big Blue Bus,Big Blue Bus,31080,True,#eb52d6
17,Anaheim Transportation Network,Anaheim Transportation Network,ATN,31080,True,#707070
18,City of Bell,City of Bell,Bell,31080,False,#00ad91
18,City of Inglewood,City of Inglewood,,31080,False,#00ad91
18,Los Angeles County DPW - East Valinda,Los Angeles County DPW - East Valinda,LACDPW,31080,False,#00ad91
18,City of Glendora,City of Glendora,,31080,False,#00ad91
18,City of Avalon,City of Avalon,,31080,False,#00ad91
18,Los Angeles County Dept. of Public Works - Willowbrook Shuttle,Los Angeles County Dept. of Public Works - Willowbrook Shuttle,,31080,False,#00ad91
18,City of Whittier,City of Whittier,,31080,False,#00ad91
18,City of Arcadia Transit,City of Arcadia Transit,Arcadia Transit,31080,False,#00ad91
18,City of La Mirada Transit,City of La Mirada Transit,LMT,31080,False,#00ad91
18,LA County DPW - Lennox Shuttle,LA County DPW - Lennox Shuttle,,31080,False,#00ad91
18,City of Maywood,City of Maywood,COM,31080,False,#00ad91
18,City of West Covina,City of West Covina,,31080,False,#00ad91
18,LA County DPW - Athens Shuttle Service,LA County DPW - Athens Shuttle Service,,31080,False,#00ad91
18,City of Lawndale,City of Lawndale,,31080,False,#00ad91
18,LA County DPW - Avocado Heights,LA County DPW - Avocado Heights,LACDPW,31080,False,#00ad91
18,City of Artesia,City of Artesia,,31080,False,#00ad91
18,LA County DPW - Whittier,LA County DPW - Whittier,LACDPW,31080,False,#00ad91
18,Claremont Dial-a-Ride,Claremont Dial-a-Ride,CLDAR,31080,False,#00ad91
18,City of Manhattan Beach Dial A Ride,City of Manhattan Beach Dial A Ride,CMB DAR,31080,False,#00ad91
18,City of Lakewood - DASH Transit,City of Lakewood - DASH Transit,DASH,31080,False,#00ad91
18,City of Covina,City of Covina,,31080,False,#00ad91
18,City of Beverly Hills,City of Beverly Hills,,31080,False,#00ad91
18,City of South Pasadena,City of South Pasadena,,31080,False,#00ad91
18,City of Agoura Hills,City of Agoura Hills,,31080,False,#00ad91
18,City of Pico Rivera,City of Pico Rivera,,31080,False,#00ad91
18,LA County DPW - Willowbrook et al.,LA County DPW - Willowbrook et al.,,31080,False,#00ad91
18,City of Santa Fe Springs,City of Santa Fe Springs,SFS,31080,False,#00ad91
18,City of Malibu,City of Malibu,,31080,False,#00ad91
18,LA County DPW - King Medical Center Shuttle Service,LA County DPW - King Medical Center Shuttle Service,,31080,False,#00ad91
18,City of Bellflower,City of Bellflower,BLF,31080,False,#00ad91
18,City of Monrovia,City of Monrovia,,31080,False,#00ad91
18,City of Rosemead,City of Rosemead,,31080,False,#00ad91
18,City of Azusa,City of Azusa,,31080,False,#00ad91
18,City of West Hollywood,City of West Hollywood,WEHO,31080,False,#00ad91
18,Los Angeles Other,,Los Angeles Other,31080,True,#00ad91
18,Compton Renaissance Transit Service,Compton Renaissance Transit Service,CRT,31080,False,#00ad91
18,Culver City Municipal Bus Lines,Culver City Municipal Bus Lines,Culver CityBus,31080,False,#00ad91
18,Access Services,Access Services,AS,31080,False,#00ad91
18,Torrance Transit System,Torrance Transit System,TTS,31080,False,#00ad91
18,City of Gardena Transportation Department,City of Gardena Transportation Department,GTrans,31080,False,#00ad91
18,City of Glendale,City of Glendale,,31080,False,#00ad91
18,City of Pasadena,City of Pasadena,ARTS,31080,False,#00ad91
18,Norwalk Transit System,Norwalk Transit System,NTS,31080,False,#00ad91
18,LA County DPW - East L.A.,LA County DPW - East L.A.,LACDPW,31080,False,#00ad91
18,City of El Monte Transportation Division,City of El Monte Transportation Division,,31080,False,#00ad91
18,City of Commerce Municipal Buslines,City of Commerce Municipal Buslines,CBL,31080,False,#00ad91
18,City of Alhambra,City of Alhambra,ALH,31080,False,#00ad91
18,City of South Gate,City of South Gate,,31080,False,#00ad91
18,City of Redondo Beach - Beach Cities Transit,City of Redondo Beach - Beach Cities Transit,BCT,31080,False,#00ad91
18,Montebello Bus Lines,Montebello Bus Lines,MBL,31080,False,#00ad91
18,City of Monterey Park,City of Monterey Park,,31080,False,#00ad91
18,City of Carson,City of Carson,,31080,False,#00ad91
18,City of Calabasas,City of Calabasas,COC,31080,False,#00ad91
18,"City of Baldwin Park, Baldwin Park Transit","City of Baldwin Park, Baldwin Park Transit",,31080,False,#00ad91
18,City of Cerritos,City of Cerritos,,31080,False,#00ad91
18,Palos Verdes Peninsula Transit Authority,Palos Verdes Peninsula Transit Authority,,31080,False,#00ad91
18,Pomona Valley Transportation Authority,Pomona Valley Transportation Authority,PVTA,31080,False,#00ad91
18,City of Bell Gardens,City of Bell Gardens,BG,31080,False,#00ad91
18,City of Cudahy,City of Cudahy,COC,31080,False,#00ad91
18,City of Duarte,City of Duarte,,31080,False,#00ad91
18,City of Lynwood,City of Lynwood,COL,31080,False,#00ad91
18,LA County DPW - Florence-Firestone,LA County DPW - Florence-Firestone,LACDPW,31080,False,#00ad91
18,City of Burbank,City of Burbank,,31080,False,#00ad91
