id,year,upt
1,1991,1981811674
1,1992,2024147703
1,1993,1798879235
1,1994,1914777792
1,1995,1893771366
1,1996,1990541463
1,1997,2215331424
1,1998,2225622676
1,1999,2429165659
1,2000,2499974471
1,2001,2667001290
1,2002,2671728275
1,2003,2614249644
1,2004,2655645263
1,2005,2782891350
1,2006,2902633316
1,2007,3367247569
1,2008,3457415254
1,2009,3326847031
1,2010,3394533120
1,2011,3421911067
1,2012,3501939832
1,2013,3591948035
1,2014,3670751880
1,2015,3570944246
1,2016,3590360584
1,2017,3562857708
2,1991,167728001
2,1992,160560860
2,1993,169449273
2,1994,182544954
2,1995,188871139
2,1996,191225443
2,1997,197376087
2,1998,206459470
2,1999,212063872
2,2000,218609688
2,2001,225939144
2,2002,225436331
2,2003,222348751
2,2004,229887632
2,2005,244084365
2,2006,255294278
2,2007,268289345
2,2008,277153754
2,2009,281447641
2,2010,267719204
2,2011,257831099
2,2012,266823218
2,2013,264373715
2,2014,270958026
2,2015,276498375
2,2016,277012293
2,2017,269089006
3,1991,90534000
3,1992,89834000
3,1993,92462000
3,1994,97393000
3,1995,97736000
3,1996,98015000
3,1997,96535000
3,1998,99602000
3,1999,101191000
3,2000,105148000
3,2001,101923000
3,2002,100504000
3,2003,97958000
3,2004,96202000
3,2005,95519000
3,2006,99520000
3,2007,102143717
3,2008,99599386
3,2009,97350595
3,2010,98373179
3,2011,96457658
3,2012,96953120
3,2013,99256047
3,2014,97869572
3,2015,98699512
3,2016,103196857
3,2017,103630405
4,1991,61585249
4,1992,61966230
4,1993,64139889
4,1994,66961167
4,1995,67125160
4,1996,68619112
4,1997,70264626
4,1998,72427600
4,1999,74939764
4,2000,82264978
4,2001,82038154
4,2002,68322298
4,2003,66284718
4,2004,67855949
4,2005,71305202
4,2006,78283045
4,2007,82406648
4,2008,85405220
4,2009,81553198
4,2010,84434317
4,2011,87375827
4,2012,81292016
4,2013,71725863
4,2014,84168208
4,2015,86652206
4,2016,89466496
4,2017,94198861
5,1991,57398642
5,1992,57836795
5,1993,59119405
5,1994,62376196
5,1995,62649804
5,1996,63380273
5,1997,64296849
5,1998,66705342
5,1999,68778173
5,2000,71980528
5,2001,73212712
5,2002,73461083
5,2003,72933707
5,2004,72617899
5,2005,74652827
5,2006,77070688
5,2007,80324201
5,2008,83622106
5,2009,80045924
5,2010,81269535
5,2011,82400576
5,2012,83357303
5,2013,83828218
5,2014,84976450
5,2015,86299452
5,2016,86872761
5,2017,86949250
6,1991,646234
6,1992,618288
6,1993,657391
6,1994,718629
6,1995,769691
6,1996,772487
6,1997,778067
6,1998,830204
6,1999,488205
6,2000,523450
6,2001,492806
6,2002,485291
6,2003,451563
6,2004,453045
6,2005,25143961
6,2006,29118230
